"interface_id"	"source_path"	"source_range"	"original_symbol_group"	"original_interface_shape"	"exclusive_owner_chain"	"mapping_rule"	"unavailable_or_successor"	"implementation_status"
"T280-S2-001"	"softpc.new/host/src/nt_bop.c"	"146-727"	"MS_bop_0 through MS_bop_F and illegal_bop"	"original void BOP entry procedures and dispatcher ordering"	"adapter-bop -> opennt-mvdm-host"	"fixed-width CPU frame and checked guest-memory copy only"	"VDD/monitor branches retain their named successors; no selector is enabled by this mapping"	"adapter-backed source body; declaration mapped; not enabled"
"T280-S2-002"	"softpc.new/host/src/nt_bop.c"	"181-247, 898-919"	"TerminateVDM"	"original void termination/notification calls and ordering"	"opennt-mvdm-host -> session -> adapter-win32"	"session event/resource identity only; no guest address or host pointer token"	"controlled stop terminates this session, never the app; VDD/CSRSS branches remain successors"	"adapter-backed source body; declaration mapped; not enabled"
"T280-S2-003"	"softpc.new/host/src/nt_bop.c"	"329-336"	"DBGDispatch"	"original debugger/monitor dispatch call form"	"opennt-mvdm-host -> adapter-vdm-monitor -> adapter-debugger or adapter-vdd"	"copied diagnostic frame or scoped guest-memory lease only"	"private NT4 monitor/debug/VDD transport remains explicit successor"	"adapter-backed source body; declaration mapped; not enabled"
"T280-S2-004"	"softpc.new/host/src/nt_bop.c"	"623-625"	"host_direct_access_error"	"original host direct-access error endpoint"	"opennt-mvdm-host -> adapter-win32 -> session"	"session host-resource identity; no guest pointer"	"unsupported physical endpoint preserves source failure/controlled-stop route"	"adapter-backed source body; declaration mapped; not enabled"
"T280-S2-005"	"softpc.new/host/src/nt_aorc.c"	"159-546"	"instruction pointer, CPL, EIP/EFLAGS/FLAGS/ESP/SS queries and setters"	"original CPU4 global getter/setter forms"	"adapter-softpc -> adapter-bochs"	"CPU state is typed mechanical state, never a host pointer or mapping token"	"original wrapper is not-host-runtime; same-shaped adapter declaration is evidence only"	"not-host-runtime source body; declaration mapped; not enabled"
"T280-S2-006"	"softpc.new/host/src/nt_aorc.c"	"561-832"	"Cpu function-table register, segment, flag, control-register and descriptor accessors"	"original Cpu.* function-pointer table shapes"	"adapter-softpc -> adapter-bochs"	"typed CPU-frame/register values only; no raw Bochs object escapes"	"original wrapper is not-host-runtime; no CCPU executor is linked"	"not-host-runtime source body; declaration mapped; not enabled"
"T280-S2-007"	"softpc.new/host/src/nt_aorc.c"	"852-858"	"Sas A20 wrapping and overwrite-memory function-table accessors"	"original Sas.* function-pointer table shapes"	"adapter-softpc -> adapter-bochs"	"guest numeric range resolves through session guest-memory mapping manager"	"original wrapper is not-host-runtime; adapter retains only same-shaped declaration"	"not-host-runtime source body; declaration mapped; not enabled"
"T280-S2-008"	"softpc.new/host/src/nt_sas.c"	"65, 135-159"	"sas_hw_at and host_as_init"	"original SAS hardware-address and initialisation forms"	"opennt-mvdm-host -> adapter-softpc -> adapter-bochs"	"SAS numeric address resolves through session guest-memory mapping manager"	"no direct host-RAM alias and no parallel SAS backing store"	"adapter-backed source body; declaration mapped; not enabled"
"T280-S2-009"	"softpc.new/host/src/sim32.c"	"148-196"	"Sim32pGetVDMPointer, ExpSim32GetVDMPointer, Flush/FreeVDMPointer"	"original pointer-returning VDM memory transport forms"	"opennt-mvdm-host overlay -> adapter-softpc -> adapter-bochs"	"opaque scoped guest-memory lease; never a raw host pointer cast from a guest address"	"original body remains overlay-required until lease form is proved"	"overlay-required; not enabled"
"T280-S2-010"	"softpc.new/host/src/sim32.c"	"202-213"	"Sim32GetVDMMemory and Sim32SetVDMMemory"	"original BOOL copy-in/copy-out VDM memory forms"	"opennt-mvdm-host overlay -> adapter-softpc -> adapter-bochs"	"numeric guest range via session guest-memory mapping manager; buffers remain native caller buffers"	"original body remains overlay-required until checked copy seam is proved"	"overlay-required; not enabled"
"T280-S2-011"	"softpc.new/host/src/sim32.c"	"226-287"	"sim32_effective_addr"	"original effective-address translation form"	"opennt-mvdm-host overlay -> adapter-softpc -> adapter-bochs"	"guest numeric address and A20 state only"	"original body remains overlay-required; no host virtual address is exposed"	"overlay-required; not enabled"
"T280-S2-012"	"softpc.new/host/src/sim32.c"	"303-445"	"sas_clear_map, host_sas_init, host_sas_term, sas_alter_size"	"original SAS lifecycle and map-management forms"	"opennt-mvdm-host overlay -> adapter-softpc -> adapter-bochs"	"session guest-memory mapping manager owns numerical range identity; Bochs owns backing RAM lifecycle"	"original body remains overlay-required; no second SAS allocator"	"overlay-required; not enabled"
"T280-S2-013"	"softpc.new/host/src/sim32.c"	"79-145"	"GetVideoMemory and SetVideoMemory"	"original video-memory helper forms"	"opennt-mvdm-host overlay -> adapter-softpc -> adapter-bochs"	"typed video-range request; not a generic host pointer mapping"	"display/device implementation remains machine owner decision"	"overlay-required; not enabled"
