"source_path"	"original_subdomain"	"original_selection"	"boundary_owners"	"mapping_requirement"	"provisional_disposition"	"source_evidence"
"wow32/mapembed.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/mapembed.c source header and includes"
"wow32/waccel.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/waccel.c source header and includes"
"wow32/walias.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/walias.c source header and includes"
"wow32/walloc16.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/walloc16.c source header and includes"
"wow32/wcall16.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wcall16.c source header and includes"
"wow32/wcall32.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wcall32.c source header and includes"
"wow32/wcntl32.c"	"message-and-window-procedure"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wcntl32.c source header and includes"
"wow32/wcommdlg.c"	"shell-ole-and-printing"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for converted structures plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wcommdlg.c source header and includes"
"wow32/wcuricon.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wcuricon.c source header and includes"
"wow32/wdde.c"	"message-and-window-procedure"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wdde.c source header and includes"
"wow32/wdib.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wdib.c source header and includes"
"wow32/wdos.c"	"kernel-task-and-dos-session"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wdos.c source header and includes"
