symbol	direct_call_site_count	runtime_direct_call_site_count	caller_paths	caller_packages	caller_dispositions	provisional_first_hop	stage1_final_disposition	stage1_owner	stage1_basis	upstream_header_state	upstream_package_roots	upstream_declaration_candidates	next_stage
"_close"	"4"	"4"	"softpc.new/host/src/nt_rez.c"	"softpc.new"	"adapter-backed"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"base/crts/crtw32;base/crts/libw32;public/sdk/inc;sdktools/jetadmin/inc;sdktools/wap/crtdll;windows/diamond/chuck;windows/diamond/crc32.h;windows/diamond/quantum"	"base/crts/crtw32/h/io.h:245;base/crts/crtw32/h/io.h:321;base/crts/crtw32/h/io.h:345;base/crts/libw32/include/io.h:171;base/crts/libw32/include/io.h:248;public/sdk/inc/crt/io.h:171;public/sdk/inc/crt/io.h:248;public/sdk/inc/diamondd.h:899;sdktools/jetadmin/inc/io.h:171;sdktools/jetadmin/inc/io.h:248;sdktools/wap/crtdll/crtapi.h:29;windows/diamond/chuck/fdi_int.h:707;windows/diamond/crc32.h:105;windows/diamond/quantum/qdi.h:129;windows/diamond/quantum/qdi.h:175;windows/diamond/quantum/qdi.h:202"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_llseek"	"20"	"6"	"bde/bdesym.c;softpc.new/host/src/nt_pif.c;vdmexts/sym.c;vdmutils/pifedit/pifsubs.c"	"bde;softpc.new;vdmexts;vdmutils"	"adapter-backed;tool-only"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/base;shell/lz/lib;windows/core/ntgdi;windows/port1632/preport.h"	"admin/netui/common/hack/dos/pwin16.h:290;admin/netui/common/hack/dos/windows.h:736;com/ole32/olethunk/ole16/inc/windows.h:781;com/ole32/olethunk/ole16/inc/windows.h:783;public/sdk/inc/pwin16.h:284;public/sdk/inc/winbase.h:3788;sdktools/jetadmin/inc/winbase.h:3265;sdktools/jetadmin/sdk/inc32/winbase.h:3173;sdktools/wap/base/baseapi.h:467;shell/lz/lib/translat.h:150;windows/core/ntgdi/direct/misc/logger.h:236;windows/core/ntgdi/direct/misc/logger.h:369;windows/core/ntgdi/direct/misc/logger.h:370;windows/port1632/preport.h:43"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_lopen"	"1"	"1"	"softpc.new/host/src/nt_pif.c"	"softpc.new"	"adapter-backed"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/fontedit/lio.h;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/vmmreg32/pch.h;sdktools/wap/base;shell/lz/lib;windows/port1632/preport.h"	"admin/netui/common/hack/dos/pwin16.h:291;admin/netui/common/hack/dos/windows.h:726;admin/netui/common/hack/dos/windows.h:731;com/ole32/olethunk/ole16/inc/windows.h:771;com/ole32/olethunk/ole16/inc/windows.h:776;public/sdk/inc/pwin16.h:285;public/sdk/inc/pwin32.h:299;public/sdk/inc/winbase.h:3729;sdktools/fontedit/lio.h:12;sdktools/jetadmin/inc/winbase.h:3206;sdktools/jetadmin/sdk/inc32/winbase.h:3114;sdktools/vmmreg32/pch.h:120;sdktools/wap/base/baseapi.h:468;shell/lz/lib/translat.h:142;shell/lz/lib/translat.h:144;windows/port1632/preport.h:44"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_lread"	"82"	"7"	"bde/bdesym.c;softpc.new/host/src/nt_pif.c;vdmexts/sym.c;vdmutils/pifedit/pifsubs.c"	"bde;softpc.new;vdmexts;vdmutils"	"adapter-backed;tool-only"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/slmnew/util;sdktools/wap/base;shell/lz/lib;windows/core/ntgdi;windows/port1632/preport.h"	"admin/netui/common/hack/dos/pwin16.h:292;admin/netui/common/hack/dos/windows.h:738;com/ole32/olethunk/ole16/inc/windows.h:788;public/sdk/inc/pwin16.h:286;public/sdk/inc/pwin32.h:300;public/sdk/inc/winbase.h:3745;sdktools/jetadmin/inc/winbase.h:3222;sdktools/jetadmin/sdk/inc32/winbase.h:3130;sdktools/slmnew/util/setup/cpydis.h:26;sdktools/wap/base/baseapi.h:469;shell/lz/lib/translat.h:148;windows/core/ntgdi/direct/misc/logger.h:382;windows/port1632/preport.h:45"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_lseek"	"2"	"2"	"softpc.new/host/src/nt_rez.c"	"softpc.new"	"adapter-backed"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"base/crts/crtw32;base/crts/libw32;public/sdk/inc;sdktools/jetadmin/inc;sdktools/wap/crtdll;shell/lz/lib;windows/diamond/chuck;windows/diamond/quantum"	"base/crts/crtw32/h/io.h:259;base/crts/crtw32/h/io.h:322;base/crts/crtw32/h/io.h:353;base/crts/libw32/include/io.h:185;base/crts/libw32/include/io.h:256;public/sdk/inc/crt/io.h:185;public/sdk/inc/crt/io.h:256;public/sdk/inc/diamondd.h:899;sdktools/jetadmin/inc/io.h:185;sdktools/jetadmin/inc/io.h:256;sdktools/wap/crtdll/crtapi.h:104;shell/lz/lib/translat.h:205;windows/diamond/chuck/fdi_int.h:707;windows/diamond/quantum/qdi.h:129;windows/diamond/quantum/qdi.h:171"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_lwrite"	"1"	"0"	"vdmutils/pifedit/pifsubs.c"	"vdmutils"	"tool-only"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-upstream-header-candidate"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_open"	"4"	"4"	"softpc.new/host/src/nt_rez.c"	"softpc.new"	"adapter-backed"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"base/crts/libw32;public/sdk/inc;sdktools/jetadmin/inc;sdktools/wap/crtdll;windows/diamond/chuck;windows/diamond/crc32.h;windows/diamond/quantum"	"base/crts/libw32/include/fcntl.h:8;base/crts/libw32/include/io.h:187;base/crts/libw32/include/io.h:258;base/crts/libw32/include/tchar.h:564;public/sdk/inc/crt/fcntl.h:8;public/sdk/inc/crt/io.h:187;public/sdk/inc/crt/io.h:258;public/sdk/inc/crt/tchar.h:564;public/sdk/inc/diamondd.h:898;public/sdk/inc/diamondd.h:900;sdktools/jetadmin/inc/io.h:187;sdktools/jetadmin/inc/io.h:258;sdktools/jetadmin/inc/tchar.h:585;sdktools/wap/crtdll/crtapi.h:116;windows/diamond/chuck/fdi_int.h:706;windows/diamond/chuck/fdi_int.h:708;windows/diamond/crc32.h:81;windows/diamond/quantum/qdi.h:128;windows/diamond/quantum/qdi.h:130;windows/diamond/quantum/qdi.h:167"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_read"	"1"	"1"	"softpc.new/host/src/nt_rez.c"	"softpc.new"	"adapter-backed"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"base/crts/crtw32;base/crts/libw32;public/sdk/inc;sdktools/jetadmin/inc;sdktools/slmnew/slm;sdktools/wap/crtdll;windows/diamond/chuck;windows/diamond/crc32.h;windows/diamond/quantum"	"base/crts/crtw32/h/io.h:265;base/crts/crtw32/h/io.h:324;base/crts/crtw32/h/io.h:356;base/crts/libw32/include/io.h:191;base/crts/libw32/include/io.h:259;public/sdk/inc/crt/io.h:191;public/sdk/inc/crt/io.h:259;public/sdk/inc/diamondd.h:898;sdktools/jetadmin/inc/io.h:191;sdktools/jetadmin/inc/io.h:259;sdktools/slmnew/slm/proto.h:14;sdktools/wap/crtdll/crtapi.h:124;windows/diamond/chuck/fdi_int.h:706;windows/diamond/crc32.h:89;windows/diamond/quantum/qdi.h:128"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_snwprintf"	"1"	"0"	"base/win32/server/srvinit.c"	"base/win32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-upstream-header-candidate"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_splitpath"	"1"	"1"	"dos/dem/demfcb.c"	"dos"	"adapter-backed"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/ntsdsapi/inc;sdktools/vctools/cvpack;sdktools/vctools/debugger;sdktools/wap/crtdll"	"base/crts/crtw32/h/stdlib.h:17;base/crts/crtw32/h/stdlib.h:339;base/crts/crtw32/h/stdlib.h:43;base/crts/crtw32/h/stdlib.h:694;base/crts/crtw32/h/tchar.h:614;base/crts/libw32/include/stdlib.h:187;base/crts/libw32/include/stdlib.h:488;base/crts/libw32/include/tchar.h:531;com/ole32/olethunk/ole16/inc/stdlib.h:191;com/ole32/olethunk/ole16/inc/stdlib.h:95;public/sdk/inc/crt/stdlib.h:187;public/sdk/inc/crt/stdlib.h:488;public/sdk/inc/crt/tchar.h:531;sdktools/jetadmin/inc/stdlib.h:187;sdktools/jetadmin/inc/stdlib.h:508;sdktools/jetadmin/inc/tchar.h:552;sdktools/ntsdsapi/inc/cvproto.h:45;sdktools/vctools/cvpack/inlines.h:419;sdktools/vctools/debugger/sapi/inc/cvproto.h:42;sdktools/wap/crtdll/crtapi.h:146"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
