id	original_source	original_message_or_record	original_contract	current_disposition	future_bounded_broker_requirement
T343-S2-01	src/opennt-host/base/win32/client/vdm.c::GetNextVDMCommand	BASE_GET_NEXT_VDM_COMMAND_MSG and client capture buffer	Copy the caller VDMINFO request into a capture buffer; submit it; wait only on the returned DOS wait object; retry with ASKING_FOR_SECOND_TIME; copy result sizes and values back only after the call returns.	Selected current local binding retains the copied request/result, DOS wait/retry and no-retained-caller-pointer rule for one bound session.	Retain exactly this fixed-width copied request/result boundary. A broker message may carry lengths, scalar state and copied byte spans only; it must never carry a capture pointer, guest pointer, native HANDLE or local mapping identity.
T343-S2-02	src/opennt-host/base/win32/server/srvvdm.h::DOSRECORD	VDMState, ErrorCode, parent wait pair, VDMINFO and next link	A DOS task record owns command state, parent completion/error delivery, an owned VDMINFO payload and list membership beneath one console record.	Only the selected local command payload/error/reentry subset exists. Parent wait-pair state and linked task records are not implemented.	If admitted later, define an internal copied DOS-task record with broker-issued task ID, command state, exit code and owned copied payload. Parent completion is a broker-owned event/result, never a duplicated native event handle.
T343-S2-03	src/opennt-host/base/win32/server/srvvdm.h::CONSOLERECORD	console/process/wait/reentry/sequence/current-directory/DOS-list fields	The server groups DOS task records by console and process identity, holds paired server/client wait handles, preserves reentry count and owns copied directory state until its documented transfer/free point.	One session-local record preserves reentry count and one-shot current-directory MULTI_SZ only. It has no console registry, process sequence, DOS-task list or cross-process wait pair.	Use a broker-issued console/session ID and an owned directory blob; keep reentry count and explicit lifecycle states. Do not serialize ConsoleHandle, hVDM, hWaitForVDM or hWaitForVDMDup.
T343-S2-04	src/opennt-host/base/win32/server/srvvdm.h::WOWRECORD and WOWHEAD	shared-WOW task record, dispatch flag, parent wait pair, process sequence	The shared WOW queue has its own task IDs, dispatch state and parent-completion lifecycle, distinct from DOS records.	Current local binding distinguishes an empty WOW request from a DOS wait but owns no WOW task queue, registration or parent completion.	Reserve a distinct copied WOW task record and broker-issued task ID; do not reuse a DOS command record or the COMMAND dispatcher. Full WOW lifecycle remains a later WOW owner cohort.
T343-S2-05	src/opennt-host/base/win32/server/srvvdm.c::BaseSrvGetNextVDMCommand	DOS no-command branch	For DOS, find the eligible task; if none, create/reset the paired wait event, return the client wait handle, then let the client wait and retry. RETURN_ON_NO_COMMAND and separate-WOW have distinct non-wait failures.	Selected local binding retains normal DOS pending/wake/retry and RETURN_ON_NO_COMMAND failure for one record. ASKING_FOR_PIF and ASKING_FOR_SEPWOW_BINARY explicitly fail.	Keep DOS request states as explicit copied protocol values. A later broker must enumerate only its registered record set and return a typed unavailable/error result for omitted PIF/separate-WOW cases rather than treating them as a generic empty queue.
T343-S2-06	src/opennt-host/base/win32/server/srvvdm.c::BaseSrvGetNextVDMCommand	shared WOW no-command branch	WOWEXEC never blocks on an empty shared-WOW queue; BaseSrv posts a notification when work appears and WOWEXEC polls until the queue reports no item.	Current local binding returns successful zero sizes for an empty WOW request, but no notification/registration exists.	Any later shared-WOW cohort needs a broker-owned registration identity and a public notification abstraction with the same nonblocking poll rule. Window handles and PostMessage are not part of the broker wire contract.
T343-S2-07	src/opennt-host/base/win32/server/srvvdm.c::BaseSrvGetNextVDMCommand	PIF, environment and normal payload forms	PIF returns selected PIF/startup fields without consuming the record; environment returns an independently sized buffer without deleting VDMINFO; normal command validates all capacities, copies data, publishes handles/scalars and then consumes/free-transfers the payload.	Current local binding retains environment sizing/copy behavior and normal command capacity/copy/consume order for command/application/environment/current-directory. It rejects PIF, omits PIF/title/desktop/reserved/startup fields and never exports standard HANDLEs.	A later broker may add omitted byte payloads only with source-shaped capacity/error rules. Standard streams must be represented by session-owned stream IDs and resolved locally after receipt; no HANDLE appears in a copied wire message.
T343-S2-08	src/opennt-host/base/win32/server/srvvdm.c::BaseSrvCheckVDM and BaseSrvUpdateVDMEntry	CheckVDM and UpdateVDMEntry create/update lifecycle messages	The BaseSrv server accepts launch information, chooses DOS versus WOW path, owns process/console linkage, and records partial/full/reuse creation state.	Not implemented by the current Base VDM local binding; COMMAND direct callers do not authorize a substitute launch broker.	Transfer to the later host capability/COMMAND/WOW package. If reached, its cohort begins from the original Check/Update message layouts and replaces process/console handles with broker-issued IDs only after source audit.
T343-S2-09	src/opennt-host/base/win32/server/srvvdm.c::BaseSrvExitVDM, BaseSrvGetVDMExitCode and BaseSrvExitVDMWorker	ExitVDM and parent exit-code message forms	Exit removes the selected DOS/WOW record, signals and closes parent wait pairs, closes standard handles, frees owned VDMINFO and tears down console/WOW records on process termination.	The local DOS ExitVDM path only completes its own session without ending the host process. WOW exit and parent exit-code retrieval are unimplemented.	Keep session controlled stop separate from worker-process termination. A later parent-return cohort needs broker-owned completion/result records and explicit close-once cleanup; it must not use process-global standard-handle replacement.
T343-S2-10	src/opennt-host/base/win32/server/srvvdm.c::BaseSrvSetReenterCount	SetReenterCount message	Increment/decrement the console record reentry count; decrement wakes an outstanding DOS waiter.	Current local binding preserves a checked counter, but does not wake a cross-process record set.	Retain the counter as a scalar field of the copied console/session record. Future broker wake selection is limited to the matching registered record ID.
T343-S2-11	src/opennt-host/base/win32/server/srvvdm.c::BaseSrvSetVDMCurDirs and BaseSrvGetVDMCurDirs	current-directory MULTI_SZ message forms	The server captures a DOS console directory MULTI_SZ; Get returns and frees it so the state is not leaked into WOW.	Current local binding preserves copied set, exact required-size result and one-shot get/free behavior on its bound session.	Current source-shaped local recovery is sufficient for one session. Cross-process sharing requires an owned copied blob keyed by broker-issued session/console ID, never a source-process pointer.
T343-S2-12	src/opennt-host/base/win32/server/srvvdm.c::BaseSrvBatNotification	BATRECORD lifecycle	The server creates/removes a BAT record per console/sequence and reports whether a delivered command came from a batch file.	Current command record transports fComingFromBat when supplied, but has no server BAT record lifecycle.	Transfer BAT start/finish publication to the later COMMAND lifecycle cohort; preserve the boolean delivery contract without creating a generic broker side channel.
T343-S2-13	src/opennt-host/base/win32/server/srvvdm.c::BaseSrvRegisterWowExec and BaseSrvCleanupVDMResources	WOWEXEC registration, process-sequence cleanup and interactive token checks	The server associates the shared WOW process/window with CSRSS process identity, posts its notification, and removes records when that client disconnects.	Not implemented. It depends on CSRSS process records, private token/desktop checks and window association.	Retain as a named WOW/broker hard transfer. A future local-only implementation must establish a bounded registration and disconnect protocol before adding any public window notification; no process discovery or cross-user registration is admitted.
T343-S2-14	src/opennt-host/base/win32/server/srvvdm.c::BaseSrvCreatePairWaitHandles and close helpers	duplicated client/server events and handle close ownership	The CSRSS server creates an event, duplicates it into the client process, and owns both close/signal paths across task and process teardown.	Not directly composable: the original relies on CSRSS target process handles and native duplication. The local binding has one in-process event only.	If a later broker needs cross-process wait, use a broker-created named or inherited public event behind an opaque broker record; define creator, recipient, cancellation and close ownership explicitly. Native event HANDLEs never cross the fixed-width broker ABI.
T343-S2-15	src/opennt-host/base/win32/server/srvvdm.c::BaseSrvIsFirstVDM	global first-VDM flag	Query-and-clear a BaseSrv-global startup flag.	Current local binding preserves query-and-clear per bound session; it deliberately does not claim a global process-server flag.	The current single-session disposition is complete. Future multi-session policy must decide first-per-process versus first-per-broker only from a separately admitted product contract.
T343-S2-16	src/opennt-host/base/win32/inc/basemsg.h and basevdm.h	original message ABI and raw identity fields	Original CSR messages contain raw pointers, native HANDLEs, capture buffers, STARTUPINFO and CSR client identity because they are intra-NT4-product transport.	Evidence-only ABI. These layouts must not become a modern interprocess wire protocol.	The only admissible future wire format is a versioned fixed-width copied-record ABI: broker/session/task IDs, state flags, lengths, exit/result codes and owned byte arrays. Mapping-manager values and guest/native pointers are forbidden.
