"interface_id"	"source_path"	"source_span"	"original_symbol_or_call_group"	"original_contract"	"historical_dependency"	"single_recovery_owner"	"provisional_disposition"	"predecessor_gate"	"evidence"	"state"
"MVDM-BVD-001"	"softpc.new/host/src/nt_bop.c"	"136-162"	"host_bop_table / MS_bop_0"	"Decode the original fixed BOP selector/service word and route DOS/DEM work without changing original dispatch shape."	"CCPU register/IP access, SIM32 guest-pointer mapping and DEM dispatcher."	"opennt-mvdm-host; adapter-bop; adapter-softpc"	"same-shaped original dispatcher review; adapter-bop transports copied mechanical events only"	"Adapter-bop fixed ingress; adapter-softpc checked lease; DEM owner-package admission"	"nt_bop.c:136-162"	"reviewed-provisional-not-enabled"
"MVDM-BVD-002"	"softpc.new/host/src/nt_bop.c"	"172-280"	"MS_bop_1 WOW initialization/dispatch"	"Load and invoke the original WOW32 dispatcher and preserve its initialization failure/termination ordering."	"WOW32 DLL/private NT4 WOW product composition and CPU thread-switch handling."	"adapter-wow; session; adapter-softpc"	"WOW profile exclusion pending complete same-shaped WOW broker/package review"	"WOW owner package; session worker; adapter-softpc CPU facade"	"nt_bop.c:172-280"	"reviewed-provisional-not-enabled"
"MVDM-BVD-003"	"softpc.new/host/src/nt_bop.c"	"281-291"	"MS_bop_2 XMSDispatch"	"Read the original service word and call XMS dispatch with original pointer/result ordering."	"SIM32 pointer form and XMS host provider."	"opennt-mvdm-host; adapter-softpc"	"same-shaped XMS dispatcher review; no source-derived XMS replacement"	"XMS owner-package and adapter-softpc checked lease"	"nt_bop.c:281-291"	"reviewed-provisional-not-enabled"
"MVDM-BVD-004"	"softpc.new/host/src/nt_bop.c"	"292-328"	"MS_bop_int3 / MS_bop_3 / MS_bop_4"	"Route original debugger, monitor-DPMI and COMMAND/SCS BOP forms."	"Debugger/DPMI/COMMAND providers, SAS loads and CPU state."	"adapter-debugger; opennt-mvdm-host; adapter-softpc"	"complete owner-package prerequisite; no leaf BOP handler admission"	"Debugger, DPMI and COMMAND package trackers; adapter-softpc checked memory operation"	"nt_bop.c:292-328"	"reviewed-provisional-not-enabled"
"MVDM-BVD-005"	"softpc.new/host/src/nt_bop.c"	"345-573"	"MS_bop_7 / LoadVdmRedir"	"Preserve VDMREDIR load-state, error and service dispatch ordering."	"VDMREDIR DLL, dynamic loading and guest service pointer."	"adapter-redir; session; adapter-softpc"	"Redirector profile exclusion pending complete same-shaped adapter-redir owner package"	"Redirector package; session resource lifetime; adapter-softpc checked lease"	"nt_bop.c:345-573"	"reviewed-provisional-not-enabled"
"MVDM-BVD-006"	"softpc.new/host/src/nt_bop.c"	"574-629"	"MS_bop_5 / MS_bop_8 / MS_bop_9"	"Dispatch VDD MS BOPs, third-party ISV BOP registration and original direct-access errors."	"VDD callback table, third-party DLL loading and hard-error product behavior."	"adapter-vdd; adapter-win32; session"	"split by complete VDD/ISV/error owner package; no default third-party module loader"	"Adapter-vdd interface audit; app extension policy; error-dialog/session-stop contract"	"nt_bop.c:574-629"	"reviewed-provisional-not-enabled"
"MVDM-BVD-007"	"softpc.new/host/src/nt_bop.c"	"634-767"	"MS_bop_A through MS_bop_F"	"Preserve VDD idle, debugger break, timing, IRET-hook and notification BOP contracts."	"VDD callbacks, debugger, ICA/PIC/IRET hooks, CPU/SAS and product notifications."	"adapter-vdd; adapter-debugger; adapter-vdm-monitor; adapter-softpc"	"complete specialist/monitor owner prerequisites; no selector meaning enters Bochs"	"VDD/debugger packages; monitor event and typed IRQ/IRET contracts"	"nt_bop.c:634-767"	"reviewed-provisional-not-enabled"
"MVDM-BVD-008"	"softpc.new/host/src/nt_bop.c"	"780-950"	"ISV register/deregister/dispatch and SafeLoadLibrary"	"Maintain original ISV slot allocation, copied guest names and DLL dispatch/error ordering."	"Guest pointers, dynamic DLLs, process-global extension table and historical FP preservation."	"app; session; adapter-win32"	"extension profile exclusion pending explicit app extension-security/lifetime package; no ambient DLL loading"	"App extension admission/manifest; session resource map; adapter-softpc checked lease"	"nt_bop.c:780-950"	"reviewed-provisional-not-enabled"
"MVDM-BVD-009"	"softpc.new/host/src/nt_vdd.c"	"56-124"	"MS BOP slot table"	"Allocate/free and dispatch original VDD-owned MS BOP callback slots."	"Process-global callback table, CPU AH read and illegal BOP handling."	"adapter-vdd; adapter-bop; session"	"same-shaped VDD callback-table review with session-owned callback identity"	"Adapter-bop ingress; session completion/callback map; VDD package admission"	"nt_vdd.c:56-124"	"reviewed-provisional-not-enabled"
"MVDM-BVD-010"	"softpc.new/host/src/nt_vdd.c"	"131-456"	"VDD adapter and I/O hook registration"	"Preserve VDD adapter assignment, port-range validation and install/remove failure ordering."	"VDD HANDLE, SoftPC I/O handler table, printer connection and direct port callbacks."	"adapter-vdd; adapter-bochs; session"	"specialist VDD prerequisite; Bochs receives only typed opaque port-hook requests"	"Adapter-vdd package; adapter-bochs port-hook contract; session resource mapping"	"nt_vdd.c:131-456"	"reviewed-provisional-not-enabled"
"MVDM-BVD-011"	"softpc.new/host/src/nt_vdd.c"	"491-815"	"VDD IRQ and DMA services"	"Preserve VDD IRQ reservation and DMA request/query/set result conventions."	"SoftPC ICA/DMA state, VDD HANDLE and raw machine memory."	"adapter-vdd; adapter-bochs; adapter-softpc; session"	"specialist VDD prerequisite; no VDD semantics in Bochs or unleased machine pointers"	"VDD package; typed IRQ/DMA operations; adapter-softpc checked lease"	"nt_vdd.c:491-815"	"reviewed-provisional-not-enabled"
"MVDM-BVD-012"	"softpc.new/host/src/nt_yoda.c"	"285-1198"	"Yoda/trapper debugger extensions"	"Decode historical guest instruction/register forms for debugger menus, traps and extensions."	"SAS raw guest access, CCPU register internals and NT4 debugger UI."	"adapter-debugger; adapter-softpc; session"	"debugger profile exclusion pending complete source-shaped debugger package and checked guest lease"	"Debugger owner package; adapter-softpc checked lease/typed frame; public UI policy"	"nt_yoda.c:285-1198"	"reviewed-provisional-not-enabled"
