"interface_id"	"source_path"	"source_span"	"original_symbol_or_call_group"	"original_contract"	"historical_dependency"	"single_recovery_owner"	"provisional_disposition"	"predecessor_gate"	"evidence"	"state"
"MVDM-W32-001"	"softpc.new/host/src/config.c"	"188-573"	"configuration, PIF, console and startup policy"	"Apply original configuration ordering across PIF data, console mode/title, host environment and initial VDM setup."	"PIF data, console APIs, GetNextVDMCommand, environment and machine initialization."	"app; session; adapter-win32; adapter-softpc; adapter-vdm-monitor"	"cross-owner launch-configuration review; retain original composition and do not promote it to a standalone Win32 provider"	"COMMAND/DEM/XMS startup package review; monitor and machine facade prerequisites"	"config.c:188-573"	"reviewed-provisional-not-enabled"
"MVDM-W32-002"	"softpc.new/host/src/fprt.c"	"30-165"	"Output/String/Input debug-pipe and DbgPrompt helpers"	"Preserve original diagnostic output/input ordering and error results when the admitted debugger product profile selects them."	"DbgPrompt, OutputDebugString and historical debug-pipe/console endpoints."	"adapter-debugger; adapter-win32"	"same-shaped diagnostic binding review; no default debug-pipe provider or global console mutation"	"Debugger package/profile admission; public Win32 diagnostic endpoint review"	"fprt.c:30-165; external boundary candidates from host/src interface ledger"	"reviewed-provisional-not-enabled"
"MVDM-W32-003"	"softpc.new/host/src/nt_error.c"	"138-376"	"DisplayErrorTerm / host_direct_access_error"	"Retain original reason classification, same-thread repeat suppression and Terminate-or-Ignore observable order for direct-access errors."	"NT4 resource/NLS/error-dialog and VDM termination product shell."	"adapter-win32; session"	"public-dialog and typed session-stop recovery review; Ignore follows the original guest continuation, Terminate stops only the owning session"	"Top-level hard-error resource/message review; adapter-vdm-monitor typed completion"	"nt_error.c:138-376; original MS_bop_9 error path"	"reviewed-provisional-not-enabled"
"MVDM-W32-004"	"softpc.new/host/src/nt_error.c"	"512-760"	"error dialog/resource/NLS helpers"	"Format and display the original host error interaction without losing original failure selection or deduplication semantics."	"Private NT4 resource, thread and dialog product integration."	"adapter-win32; session"	"same-shaped public Win32 resource/dialog binding review; unavailable historical product-only branches fail deterministically"	"Original resource source/build evidence and error-dialog ABI review"	"nt_error.c:512-760"	"reviewed-provisional-not-enabled"
"MVDM-W32-005"	"softpc.new/host/src/nt_keycd.c"	"410-600"	"KeyMsgToKeyCode / BiosKeyToInputRecord"	"Translate keyboard messages and BIOS key forms while preserving original scan/character/error conventions."	"RtlOemToUnicodeN, VkKeyScanW and MapVirtualKey."	"adapter-win32"	"same-shaped public keyboard/NLS binding review; no console event source is implied"	"Monitor/input owner package and public Win32 keyboard conversion review"	"nt_keycd.c:410-600"	"reviewed-provisional-not-enabled"
"MVDM-W32-006"	"softpc.new/host/src/nt_nls.c"	"72-121"	"NLS/message initialization and formatting"	"Load and format original resource messages with the historical error outcome."	"LoadString, FormatMessage, RTL conversion and historical resource module."	"adapter-win32"	"same-shaped public resource/NLS binding review; no synthetic message catalog"	"Original resource/package evidence and public Win32 NLS ABI review"	"nt_nls.c:72-121"	"reviewed-provisional-not-enabled"
"MVDM-W32-007"	"softpc.new/host/src/nt_ntfun.c"	"33-590"	"serial open/IOCTL/wait helpers"	"Preserve original serial request and failure ordering, including pending wait state, without retaining process-global native handle state."	"NtDeviceIoControlFile, NtWaitForMultipleObjects, serial IOCTLs and static pending state."	"adapter-win32; session"	"same-shaped public serial binding review; session owns opaque native resource and pending-operation identity"	"Session mapping-manager and completion record; public serial API/IOCTL disposition"	"nt_ntfun.c:33-590"	"reviewed-provisional-not-enabled"
"MVDM-W32-008"	"softpc.new/host/src/nt_pif.c"	"60-450"	"PIF parsing and launch information"	"Retain original PIF parsing/layout/error decisions before app selects any modern launch policy."	"PIF files, current-directory/environment APIs and historical launch composition."	"app; session; adapter-win32"	"same-shaped PIF parser/binding review; parser does not independently admit a launch product"	"Launch-configuration composition and COMMAND lifecycle package review"	"nt_pif.c:60-450; external boundary candidates from host/src interface ledger"	"reviewed-provisional-not-enabled"
"MVDM-W32-009"	"softpc.new/host/src/nt_sec.c"	"61-155"	"LoseRegenMemory / RegainRegenMemory / GetROMsMapped"	"Preserve original video/ROM mapping transition ordering and status conditions."	"NtFreeVirtualMemory, NtAllocateVirtualMemory and NtVdmControl(VdmInitialize) coupled to video/machine state."	"adapter-vdm-monitor; adapter-softpc; adapter-bochs; adapter-win32"	"cross-owner video/machine-initialization review; no standalone virtual-memory replacement"	"Monitor ABI; Bochs memory/ROM manifest; SoftPC facade and public Win32 virtual-memory review"	"nt_sec.c:61-155"	"reviewed-provisional-not-enabled"
"MVDM-W32-010"	"softpc.new/host/src/nt_unix.c"	"87-290"	"idle, wait and host timing helpers"	"Preserve original bounded idle/wait result and ordering while session owns cancellation and completion lifetime."	"Historical timer/wait behavior and process/global VDM state."	"session; adapter-win32"	"same-shaped session-local wait/timing binding review; no process-global current VDM"	"Session worker and completion contract; public wait/timer API review"	"nt_unix.c:87-290"	"reviewed-provisional-not-enabled"
"MVDM-W32-011"	"softpc.new/host/src/nt_unix.c"	"370-430"	"host_find_file and system-path discovery"	"Preserve original lookup/error shape only where an admitted manifest or app policy names the candidate input."	"System-directory and historical host discovery rules."	"app; adapter-win32"	"source-derived policy binding review; ambient system discovery cannot silently select a guest/runtime input"	"App immutable-input manifest and source-policy admission"	"nt_unix.c:370-430"	"reviewed-provisional-not-enabled"
