id	original_location	transaction_element	original_contract	current_owner_or_evidence	memory_or_identity_lifetime	s2_disposition	required_successor
WOW-CB-01	wow32/wcall16.c:CallBack16	CURRENTPTD task identity	Read the current host thread's PTD; reject a task/frame mismatch except the original ignore-input and null-task cases.	adapter-mvdm-host-out/monitor/mvdm_wow_task_frame.{c,h} retains one session-bound, thread-local numeric task carrier.	No host identity enters guest memory; task state is valid only while its session thread is bound.	binding-only	S3 must bind the carrier at the selected original task-entry point; no global callback slot is permitted.
WOW-CB-02	wow32/wcall16.c:CallBack16	vpStack/vpCBStack arithmetic	On the first callback allocate CBVDMFRAME below vpStack; later callbacks allocate below vpCBStack; word-align and retain TDF_INITCALLBACKSTACK.	mvdm_wow_task_frame_begin_callback preserves this exact branch and alignment arithmetic.	Both fields are fixed-width guest SS:SP numeric values, not host pointers.	binding-only	S3 may reuse this helper only after the original PTD lifetime is selected.
WOW-CB-03	wow32/wow32.h:GETFRAMEPTR/FREEVDMPTR	VDMFRAME acquisition	Resolve the numeric VDM stack to a temporary readable VDMFRAME, inspect wTDB/wLocalBP, then release before CPU recursion.	Original macro dereferences FlatAddress/GetPModeVDMPointer; that is a raw NT4 address path and is not selected. session_guest_memory_acquire/release is the existing bounded replacement.	A read lease exists only from acquire through the corresponding release; it cannot cross host_simulate.	overlay-required	S3 adapter-mvdm-host-out/wow must provide a source-shaped scoped-frame bridge backed only by the session guest-memory mapping instance.
WOW-CB-04	wow32/wcall16.c:CallBack16	CBVDMFRAME construction	Populate the original frame fields in order: saved stack, return ID, task/local BP, optional PARM16, procedure, AX and generic byte count.	Original CBVDMFRAME layout in mvdm-host/inc/wow.h is the authority; no parallel frame layout is selected.	A write lease is committed by the original FLUSH point and released before SETVDMSTACK/host_simulate.	overlay-required	S3 scoped-frame bridge must acquire exactly sizeof(CBVDMFRAME), commit at FLUSHVDMPTR and then release.
WOW-CB-05	wow32/wow32.h:SETVDMSTACK/VDMSTACK	16:16 stack transfer	Write SS:SP from vpCBStack immediately before callback; after return reconstruct the numeric stack from SS:SP.	Original CPU40 getSS/setSS/getSP/setSP function-vector contract is selected through host_cpu.h and nt_cprgs.c.	Only the 32-bit packed guest value crosses the WOW boundary; no native register-context pointer is selected.	binding-only	S3 must call the original CPU40 macros/functions, not the retired Intel-register or Bochs route.
WOW-CB-06	wow32/wcall16.c:CallBack16	IP preservation	Save IP before non-fast host_simulate and restore it afterward, exactly as the original code does.	Original CPU40 getIP/setIP vector entries are initialized with c_getIP/c_setIP in nt_cprgs.c.	Scalar guest IP only.	direct	S3 retains the source order; no adapter-owned continuation or scheduler is introduced.
WOW-CB-07	wow32/wcall16.c + softpc.new/host/inc/host_cpu.h	non-fast host_simulate	Enter the already selected CCPU40 recursive execution vector, returning at its original CCPU unsimulate boundary.	nt_cprgs.c assigns host_simulate_func = c_cpu_simulate for the selected CPU40 CCPU branch. mvdm_softpc_execution_run_until_return is top-level-only and is not a substitute.	No guest lease or raw pointer can survive the recursive call.	binding-only	S3 must prove the original nested CCPU stop postcondition for the selected callback return, before enabling CallBack16.
WOW-CB-08	wow32/wcall16.c:CallBack16	post-return frame read	Require returned VDMSTACK equals callback stack, read AX:DX from CBVDMFRAME, restore the saved stack then release the frame.	Existing session lease API can acquire a fresh bounded read lease after CCPU return.	Fresh read lease begins only after host_simulate returns; pvpReturn receives scalar AX:DX only.	overlay-required	S3 scoped-frame bridge must reacquire the returned frame and preserve original mismatch failure rather than continue.
WOW-CB-09	wow32/wcall16.c:CallBack16	return scalar	Compose wAX/wDX into the original 32-bit PVPVOID result only when pvpReturn is non-null.	Original structure order is retained in wow.h; no host handle/pointer is exported.	Fixed-width scalar copied before the final lease release.	direct	S3 keeps the original nullable result branch and DWORD packing.
WOW-CB-10	wow32/wcall16.c:FASTBOPPING	fast callback path	Write CurrentMonitorTeb and invoke FastWOWCallbackCall.	Private monitor/TEB and fast-WOW transport have no public modern equivalent in the selected non-GUI profile.	Would require private NT4 product-shell identity.	exact-unavailable	Remain unselected; do not emulate with a session callback scheduler.
WOW-CB-11	wow32/wkman.c:GetNextVDMCommand	WOWEXEC/BaseSrv command broker	BaseSrv coordinates command delivery and WOWEXEC wakeup independently of synchronous CallBack16.	T335 S1 records the historical BaseSrv/CSR boundary; current command source is not a WOW broker.	Cross-process/session broker identity is outside this callback transaction.	named-successor-owner	Broker process and cross-process coordination queue package; not a prerequisite for the S2 static contract.
WOW-CB-12	wow32/wcall16.c:CallBack16	service payload and Win16 guest execution	The callback target, Win16 thunk stream and eventual guest return are owned by selected original WOW providers and guest media.	No WOW provider body or mvdm-guest/win16 image is selected in S2.	No BOP, GUI, USER/GDI or arbitrary guest-load identity is admitted.	exact-unavailable	S3 may select only the declared non-GUI vertical profile after the scoped-frame and nested-return contracts are implemented and locally verified.
