id	original-root	original-caller-and-contract	current-disposition	binding-or-owner	selected-x86-evidence	deferred-boundary
S20-001	softpc.new/host/src/nt_keycd.c:410	KeyMsgToKeyCode preserves original key-record to AT-code algorithm and calls fixed-buffer RtlOemToUnicodeN	direct-original-plus-adapter-backed-RTL	original body; ADAPTER-WIN32-027	byte-exact source hash and selected CCPU40 archive	live key-delivery integration S49
S20-002	softpc.new/host/src/nt_keycd.c:455	BiosKeyToInputRecord preserves original BIOS-record to console-key-record conversion	direct-original	original body and public MapVirtualKey/VkKeyScanW	byte-exact source hash and selected CCPU40 archive	live key-delivery integration S49
S20-003	softpc.new/host/src/nt_event.c:356	GetConsoleInputWaitHandle is original cdecl console wait-root call	adapter-backed	ADAPTER-WIN32-030 returns the waitable public standard input handle	selected CCPU40 forced-link has no unresolved GetConsoleInputWaitHandle	process console endpoint behavior is focused S20 validation
S20-004	softpc.new/host/src/nt_event.c:378	ReadConsoleInputExW preserves NOWAIT/NOREMOVE caller flags and input-record count	adapter-backed	ADAPTER-WIN32-030 translates only to ReadConsoleInputW or PeekConsoleInputW	selected CCPU40 forced-link has no unresolved ReadConsoleInputExW	process console endpoint behavior is focused S20 validation
S20-005	softpc.new/host/src/nt_event.c:1747,1829,1868	WriteConsoleInputVDMW returns converted BIOS and restored key records to the original console input endpoint	adapter-backed	ADAPTER-WIN32-030 calls public WriteConsoleInputW	selected CCPU40 forced-link has no unresolved WriteConsoleInputVDMW	process console endpoint behavior is focused S20 validation
S20-006	softpc.new/host/src/nt_event.c:1421;nt_mouse.c:1916,1933,2299,2324	ShowConsoleCursor sign drives original hide/show loops	adapter-backed	ADAPTER-WIN32-030 uses public cursor visibility and terminal signs matching reached loops	selected CCPU40 forced-link has no unresolved ShowConsoleCursor	server cursor reference counting and display product semantics S27
S20-007	softpc.new/host/src/nt_event.c:646	VDMConsoleOperation(VDM_IS_ICONIC) observes only icon state before original event behavior	adapter-backed	ADAPTER-WIN32-030 uses IsIconic	selected CCPU40 forced-link has no unresolved VDMConsoleOperation	full console-server state S27
S20-008	softpc.new/host/src/nt_mouse.c:1947,2216,1992,2002	VDMConsoleOperation client rectangle and client-to-screen forms supply original mouse coordinate endpoints	adapter-backed	ADAPTER-WIN32-030 uses GetClientRect and ClientToScreen	selected CCPU40 forced-link has no unresolved VDMConsoleOperation	full-screen/display coordinate policy S27
S20-009	softpc.new/host/src/nt_mouse.c:1855	ConsoleMenuControl adds the historical console system-menu mouse entry	original-unavailable	no S20 provider; source declaration remains exact	selected forced-link retains unresolved ConsoleMenuControl only	S27 host-video/fullscreen bindings
S20-010	softpc.new/host/src/nt_mouse.c:2485,2503	Original host_x_range and host_y_range keep MOUSE_SCALAR endpoint contract	minimal-mirror-modification	MVDM-HOST-DIV-058 preserves matching original owner ABI with mouse_io.c	S19 source audit and selected CCPU40 archive	live mouse delivery S49
