"binding_id"	"source_function_or_span"	"original_external_contract"	"declaration_or_source_anchor"	"final_owner"	"disposition"	"preserved_failure_or_non_enablement_contract"	"mapping_or_width_rule"	"s2_result"
"T285-S2-001"	"MS_bop_0"	"Sim32GetVDMPointer(SEGOFF(getCS(),getIP()),1,FALSE); setIP"	"sim32.h; CpuH; nt_bop.c:146-158"	"adapter-mvdm-host-out/softpc -> adapter-bochs"	"adapter-backed"	"No DEM selector is enabled; an unmappable byte is not rehosted by ingress."	"A one-byte synchronous guest_memory lease only; no retained pointer."	"same-shaped declaration already selected"
"T285-S2-002"	"MS_bop_0"	"DemDispatch(ULONG); IDLE_disk()"	"demexp.h; idetect.h; nt_bop.c:146-158"	"T285 S3 original DEM dispatch/data; T285 S6 idle control"	"later-owner"	"Retain the original dispatch/idle ordering; no ingress fallback."	"No native identity crosses this call."	"explicit transfer"
"T285-S2-003"	"MS_bop_1"	"WOW32 dynamic load, W32Init/W32Dispatch/GetComm* exports and TerminateVDM on load/init failure"	"host_def.h; nt_bop.c:172-282"	"adapter-mvdm-host-out/wow"	"later-owner"	"No WOW provider is loaded; the original failure branch terminates the VDM session, not the host process."	"WOW export pointers and DLL HANDLE remain host_resource mappings if admitted."	"explicit transfer"
"T285-S2-004"	"MS_bop_1"	"HostDebugBreak, LoadLibrary/GetProcAddress/FreeLibrary"	"host_def.h; windows.h; nt_bop.c:172-282"	"adapter-mvdm-host-out/debugger; adapter-mvdm-host-out/win32"	"later-owner"	"No debug or dynamic-load substitution is enabled by this static island."	"Native HANDLE/FARPROC must never enter fixed MVDM state."	"explicit transfer"
"T285-S2-005"	"MS_bop_2"	"XMSDispatch(ULONG) followed by setIP"	"xmsexp.h; sim32.h; nt_bop.c:285-292"	"future original XMS owner package; adapter-mvdm-host-out/softpc"	"later-owner"	"Preserve byte-read then dispatch then IP advance order when XMS is admitted."	"Byte uses an exact guest_memory lease; XMS address arithmetic remains guest numeric data."	"explicit transfer"
"T285-S2-006"	"MS_bop_int3"	"force_yoda() only in non-PROD build"	"yoda.h; nt_bop.c:296-302"	"adapter-mvdm-host-out/debugger"	"later-owner"	"Retail static island has no executable debugger behavior."	"No mapping required."	"explicit transfer"
"T285-S2-007"	"MS_bop_3"	"DpmiDispatch()"	"local IMPORT; nt_bop.c:307-313"	"future original DPMI owner package"	"later-owner"	"No DPMI dispatch is selected."	"DPMI frame ownership is deferred with its package."	"explicit transfer"
"T285-S2-008"	"MS_bop_4"	"sas_load(linear,&Command); CmdDispatch(ULONG); setIP"	"sas.h; nt_bop.c:317-328"	"adapter-mvdm-host-out/softpc; original COMMAND owner package"	"later-owner"	"Preserve source load/dispatch/IP order; no COMMAND route is enabled."	"The byte is copied through guest_memory; no SAS alias survives."	"explicit transfer"
"T285-S2-009"	"MS_bop_6"	"DBGDispatch()"	"local IMPORT; nt_bop.c:332-340"	"adapter-mvdm-host-out/debugger"	"later-owner"	"No debugger service provider is selected."	"Debugger stack access remains owner-local."	"explicit transfer"
"T285-S2-010"	"MS_bop_7; LoadVdmRedir"	"VDMREDIR dynamic load and VrDispatch/Vr* export table"	"nt_bop.c:344-573"	"adapter-mvdm-host-out/redir"	"later-owner"	"Until admitted, preserve MS_bop_7's CF=1, AX=ERROR_INVALID_FUNCTION, then IP advance; never synthesize a redirector."	"DLL/export identities require host_resource mapping if the family is later enabled."	"explicit transfer"
"T285-S2-011"	"MS_bop_5"	"ms_bop() VDD dispatch"	"nt_vdd.c; nt_bop.c:577-582"	"adapter-mvdm-host-out/vdd"	"later-owner"	"No third-party VDD dispatch is enabled."	"VDD callback identity belongs to completion_callback mapping when admitted."	"explicit transfer"
