"id"	"T282 evidence"	"current local conclusion"	"unique successor owner"
"CMD-INIT-001"	"S7 original x86/x64 composition"	"direct source composition complete; no dispatch claim"	"closed T282/S7"
"CMD-INIT-002"	"S7 original x86/x64 composition"	"direct source composition complete; no dispatch claim"	"closed T282/S7"
"CMD-54-00"	"S8 source mapping only"	"needs historical TerminateVDM shape and session controlled-stop binding"	"adapter-opennt softpc/session boundary"
"CMD-54-01"	"S6 copied request/response transport"	"local acquisition only; retained CMDINFO/PIF/event branches are not closed"	"adapter-opennt monitor/softpc plus later COMMAND composition"
"CMD-54-02"	"S9/S14 source failure audit"	"valid source body has no malformed-input result; disabled"	"integrated guest-fault policy after adapter convergence"
"CMD-54-03"	"S8 source mapping only"	"SAVEWORLD requires CPU state and bounded guest range contract"	"adapter-opennt softpc boundary"
"CMD-54-04"	"S11 OEM helpers; S13 x86/x64 source composition"	"bounded source-body binding complete; no ingress claim"	"closed local source slice; later adapter-bop integration"
"CMD-54-05"	"S8 source mapping only"	"persistent CMDINFO aliases require descriptor/lease recovery"	"adapter-opennt softpc boundary"
"CMD-54-06"	"S8 source mapping only"	"stream identities and pipe lifecycle are not locally bound"	"adapter-opennt win32/session, then Redirector"
"CMD-54-07"	"S8 source mapping only"	"local classifier needs platform ABI/file binding; WOW path remains specialist"	"platform ABI then adapter-opennt win32; adapter-wow"
"CMD-54-08"	"source archive only"	"child/re-entry/stream and parent-return lifecycle is not locally closed"	"later COMMAND composition with Redirector/WOW/guest owner"
"CMD-54-09"	"S8 source mapping only"	"console event binding is absent"	"adapter-opennt win32/session"
"CMD-54-0A"	"source archive only"	"shares 54:08 child lifecycle"	"later COMMAND composition with Redirector/WOW/guest owner"
"CMD-54-0B"	"source archive only"	"shares 54:08 child lifecycle and guest parent return"	"later COMMAND composition with Redirector/WOW/guest owner"
"CMD-54-0C"	"source archive only"	"needs source-defined PIF/config input and guest-output contract"	"adapter-opennt win32 then COMMAND configuration slice"
"CMD-54-0D"	"source archive only"	"shares 54:0C configuration/PIF contract"	"adapter-opennt win32 then COMMAND configuration slice"
"CMD-54-0E"	"S3 original declaration composition"	"keyboard body needs console/registry capability audit"	"adapter-opennt win32 then COMMAND console slice"
"CMD-54-0F"	"S9/S15 source failure audit"	"original capacity failure retained, post-capacity lease failure undefined; disabled"	"integrated guest-fault policy after adapter convergence"
"CMD-54-10"	"source archive only"	"PIF/startup state contract not yet bound"	"platform ABI then adapter-opennt monitor/session"
"CMD-HELPER-ENV-001"	"S11 OEM helper x86/x64 fixture"	"selected helper body composes; full service still depends on guest-fault policy"	"adapter-opennt win32 and later COMMAND environment integration"
"CMD-HELPER-ENV-002"	"S11 OEM helper x86/x64 fixture"	"selected helper body composes; process environment carrier remains adapter-backed"	"adapter-opennt win32"
"CMD-HELPER-DIR-001"	"S11 OEM helper x86/x64 fixture"	"selected helper body composes; VDM current-directory ABI remains monitor-bound"	"adapter-opennt monitor"
"CMD-HELPER-CMDINFO-001"	"S8 source mapping only"	"persistent raw aliases prohibited"	"adapter-opennt softpc"
"CMD-HELPER-SAVE-001"	"S8 source mapping only"	"machine/guest snapshot seam absent"	"adapter-opennt softpc"
"CMD-HELPER-CONSOLE-001"	"S3 declaration composition"	"public console/keyboard capability unbound"	"adapter-opennt win32"
"CMD-HELPER-CONFIG-001"	"source archive only"	"requires source-backed PIF/config selection"	"platform ABI then adapter-opennt win32"
"CMD-HELPER-PIF-001"	"S2 declaration composition"	"PIF parser/file binding unbound"	"platform ABI then adapter-opennt win32"
"CMD-HELPER-STREAM-001"	"source archive only"	"stream tokens and child pipe lifecycle unbound"	"adapter-opennt win32/session then Redirector"
"CMD-HELPER-BINARY-001"	"source archive only"	"file classification binding unbound; WOW branch specialist"	"adapter-opennt win32; adapter-wow"
"CMD-HELPER-CHILD-001"	"source archive only"	"child completion and parent return cross owner boundaries"	"later COMMAND/Redirector/WOW/guest composition"
"CMD-HELPER-WOW-001"	"source archive only"	"historical WOW broker is excluded"	"adapter-wow"
"CMD-HELPER-DISPATCH-001"	"S1 original dispatch archive"	"ingress deliberately disabled"	"adapter-bop"
