"interface_id"	"source_path"	"source_span"	"original_symbol_or_call_group"	"original_contract"	"historical_dependency"	"single_recovery_owner"	"provisional_disposition"	"predecessor_gate"	"evidence"	"state"
"MVDM-AUX-001"	"softpc.new/host/src/nt_aorc.c"	"37-858"	"CPU register/flag/SAS access wrapper forms"	"Map generic historical get/set calls to CCPU/A3CPU/CPU-table implementations."	"CCPU/A3CPU register internals, CPU function tables and raw SAS access."	"adapter-softpc; adapter-bochs"	"Bochs-replacement exclusion pending a complete source-shaped atomic frame/lease facade; no per-register adapter proliferation"	"Adapter-softpc CPU facade and checked guest lease; no second CPU executor"	"nt_aorc.c:37-858; not observed in literal host/src/sources"	"reviewed-provisional-not-enabled"
"MVDM-AUX-002"	"softpc.new/host/src/nt_cprgs.c"	"1-2279"	"CCPU/A2CPU register function-pointer tables"	"Install and dispatch historical CPU access functions, including host_simulate variants."	"CCPU/A2CPU execution, register internals and CPU function-pointer globals."	"adapter-softpc; adapter-bochs"	"Bochs-replacement exclusion; only a separately admitted selector-blind typed frame facade may retain a reachable original shape"	"Adapter-softpc CPU facade and Bochs sole-executor rule"	"nt_cprgs.c:1-2279; not observed in literal host/src/sources"	"reviewed-provisional-not-enabled"
"MVDM-AUX-003"	"softpc.new/host/src/nt_ertbl.c"	"1-20"	"host_errors table"	"Provide original host-specific error-type table entries."	"Historical SoftPC error definitions and selected message/error consumer."	"opennt-mvdm-host; adapter-win32 as needed"	"build/profile-unobserved data input; preserve exact table until a reached error package identifies its consumer"	"Original error-message package and literal build inclusion proof"	"nt_ertbl.c:1-20; not observed in literal host/src/sources"	"reviewed-provisional-not-enabled"
"MVDM-AUX-004"	"softpc.new/host/src/nt_hfx.c"	"1-161"	"HFX host file/time stubs"	"Supply historical HFX no-op/default symbol behavior."	"SoftPC HFX build profile and stub-only host file/time semantics."	"none until an original HFX consumer package is admitted"	"profile/build-unobserved exclusion; stubs never become default host filesystem behavior"	"Original HFX package/build evidence"	"nt_hfx.c:1-161; not observed in literal host/src/sources"	"reviewed-provisional-not-enabled"
"MVDM-AUX-005"	"softpc.new/host/src/nt_hunt.c"	"1-188"	"Hunter UI/trapper helpers"	"Provide historical Hunter debugger UI and display inspection behavior."	"HUNTER compile flag, debugger UI, SoftPC CPU/SAS/video state."	"adapter-debugger; adapter-softpc"	"debugger profile exclusion pending complete Hunter/debugger owner package"	"Debugger profile/build proof and adapter-softpc checked lease"	"nt_hunt.c:1-188; not observed in literal host/src/sources"	"reviewed-provisional-not-enabled"
"MVDM-AUX-006"	"softpc.new/host/src/nt_mess.c"	"1-25"	"hs_err_message table"	"Provide original Win32-specific host error text data."	"Historical error definitions and selected host error consumer."	"opennt-mvdm-host; adapter-win32 as needed"	"build/profile-unobserved data input; preserve exact table until a reached error package identifies its consumer"	"Original error-message package and literal build inclusion proof"	"nt_mess.c:1-25; not observed in literal host/src/sources"	"reviewed-provisional-not-enabled"
"MVDM-AUX-007"	"softpc.new/host/src/nt_smenu.c"	"1-78"	"settings dialog"	"Display the original Settings dialog and its terminate/menu choices."	"NT4 dialog resources, console UI and global termination state."	"app; adapter-win32; session"	"product UI profile exclusion pending explicit app UI/resource admission; no default GUI path"	"App UI policy, original resources and typed session stop"	"nt_smenu.c:1-78; not observed in literal host/src/sources"	"reviewed-provisional-not-enabled"
"MVDM-AUX-008"	"softpc.new/host/src/nt_term.c"	"33-71"	"host_term_cleanup / TerminateVDM"	"Perform original host cleanup then terminate the VDM."	"Display/console/input/printer/serial global state and process-level VDM termination."	"session; app; adapter-vdm-monitor"	"cross-owner teardown review; typed session stop replaces process termination only after all named cleanup owners are bound"	"Session teardown stack, presentation/input/device package disposition and app process policy"	"nt_term.c:33-71; not observed in literal host/src/sources"	"reviewed-provisional-not-enabled"
"MVDM-AUX-009"	"softpc.new/host/src/nt_vflop.c"	"131-552"	"virtual floppy controller"	"Implement historical virtual-floppy FDC command, DMA and ownership behavior."	"SoftPC FDC/DMA/IRQ, host files and virtual floppy product profile."	"bochs-core; adapter-bochs"	"Bochs-replacement exclusion for controller implementation; no second virtual FDC"	"Bochs FDC/DMA profile and explicit immutable-media manifest"	"nt_vflop.c:131-552; not observed in literal host/src/sources"	"reviewed-provisional-not-enabled"
"MVDM-AUX-010"	"softpc.new/host/src/stf_conf.c"	"390-896"	"SoftPC host configuration panel and drive/device validation"	"Maintain historical configuration validation and change-action ordering."	"SoftPC runtime configuration database, device configuration and host UI."	"app; adapter-win32; adapter-bochs"	"product configuration profile exclusion pending app policy and complete device endpoint dispositions"	"App launch/configuration policy; Bochs device manifest; original build/profile proof"	"stf_conf.c:390-896; not observed in literal host/src/sources"	"reviewed-provisional-not-enabled"
