id	owner	original_package_and_surface	original_contract	direct_caller_or_selection	external_boundary	current_disposition	next_disposition
T342-S1-01	debugger-startup	mvdm-host/dbg/dbg.c::DBGInit	Queries the current process DebugPort, records fDebugged, always returns TRUE and permits SoftPC startup.	nt_msscs.c::scs_init	NT4 NtQueryInformationProcess ProcessDebugPort query.	Same-shaped bounded adapter-mvdm-host-out/debugger/dbg_init.c is selected in both formal maps; it resolves the historical query at the boundary and preserves FALSE/TRUE unavailable direction.	Retain adapter; full dbg.c is not selected only for this probe.
T342-S1-02	debugger-events	mvdm-host/dbg/dbg.c::{SendVDMEvent,DBGDispatch,debug event producers}	Constructs VDM context and signals STATUS_VDM_EVENT through NT4 debug exception transport.	Original debug-event paths and debugger attachment.	Private NT4 VDM debug-event/exception product transport.	Original mirror only; no formal host build input and no current runtime caller proves a debugger session.	Hard debugger transport boundary; no generic event broker or synthetic debugger event.
T342-S1-03	wow-debug-notifications	mvdm-host/dbg/dbg.c::{DBGNotifyNewTask,DBGNotifyRemoteThreadAddress,DBGNotifyDebugged}	Notifies debugger of WOW task and remote-thread state.	wow32/wkman.c and wow32/wow32.c, neither enabled as a full debugger product path.	WOW worker, debug transport and task/TEB ownership.	Original mirror only; exports documented but no selected formal definition beyond DBGInit.	Transfer to future WOW+debugger package; keep original calls and failure direction.
T342-S1-04	bde	mvdm-host/bde/*.c	NTSD extension DLL implementing interactive debugger commands, symbols, stack, disassembly and extension API use.	External NTSD debugger loads bde.dll; no MVDM startup caller.	NTSD/WinDbg extension API and User32 debugger UI.	Original mirror/package complete, excluded from formal runtime graph.	Tool-only; never substitute for in-process debugger service.
T342-S1-05	vdmdbg	mvdm-host/vdmdbg/vdmdbg.c	Standalone VDM debugger DLL product.	External debugger/loader; no current host startup caller.	Kernel32/Advapi32/User32 DLL and debugger product composition.	Original mirror/package complete, excluded from formal runtime graph.	Debugger-tool-only; no automatic loading.
T342-S1-06	vdmexts	mvdm-host/vdmexts/*	NTSD debugger extension DLL for VDM/WOW inspection.	External NTSD debugger; no MVDM runtime caller.	NTSD extension API, private VDM TIB and debug data contract.	Original mirror/package complete, excluded from formal runtime graph.	Debugger-tool-only; do not create adapter merely to link it.
T342-S1-07	fax-driver	mvdm-host/fax/wowfax/*	WOW fax printer/GDI driver product.	Windows printing/GDI subsystem, not MVDM host startup.	NTGDI kernel/display-driver and print spooler product shell.	Original mirror/package complete, excluded from formal runtime graph.	Hard GDI/print-driver boundary; no user-mode FAX rehost in T342.
T342-S1-08	fax-ui	mvdm-host/fax/wowfaxui/*	WOW fax configuration/user-interface DLL product.	Windows printing configuration UI, not MVDM host startup.	User32/GDI32/Winspool/Shell32/Advapi32 plus printer product assumptions.	Original mirror/package complete, excluded from formal runtime graph.	Tool/UI-only; no runtime selection.
T342-S1-09	redirector-debug	mvdm-host/vdmredir/vrdlcdbg.c	Original Redirector debug support source.	Selected Redirector static library, not a debugger provider.	Redirector package's own logging/debug controls.	Selected only with original Redirector package.	Retain under Redirector owner; no transfer into T342 implementation.
T342-S1-10	selection-result	formal CPU40 x86/x64 maps	Current formal images resolve DBGInit from debugger-bindings:dbg_init.obj; no BDE, VDMDBG, VDMEXTS, WOWFAX or WOWFAXUI object is linked.	nt_msscs.c startup.	None beyond the narrow debugger adapter.	Exact selected-formal state verified in both maps.	S1 selects only the already-bound DBGInit probe as local cohort; all other forms retain explicit transfer/tool dispositions.
