root_id	source_path	sha256	original_target_or_role	x86_disposition	x64_disposition	selected_backend_disposition	owner	next_s	notes
SPC-ROOT-001	softpc.new/base/ccpu386/sources	6dc49164a86efb90776924f463fc0e1ec064436e21339b92e709449a73779431	original ccpu386 static-library manifest; 132 listed C translation units	binding-only manifest input	binding-only manifest input	direct source manifest	mvdm-host mirror; original SoftPC backend	S2	The historical target is a full CPU executor; it is not a Bochs facade.
SPC-ROOT-002	softpc.new/base/ccpu386/c_main.c	f6cd45a30b6575d38ef95083601594f1403a34ebef1278dbb8362c19f4a14700	CCPU simulation entry and execution control	direct-candidate pending original closure	unavailable pending source proof	direct source candidate	original SoftPC backend	S2	May not be copied into adapter-bochs or a Bochs overlay.
SPC-ROOT-003	softpc.new/base/ccpu386/c_getset.c	02783213debc6b9a712adecf37941b4fea01c60c0cc86c0d3cdf526b1ff43374	CCPU register getter/setter implementation	direct-candidate pending original closure	unavailable pending source proof	direct source candidate	original SoftPC backend	S2	Pairs with original caller function-table assignments in nt_cprgs.c.
SPC-ROOT-004	softpc.new/base/ccpu386/ccpusas4.c	2802840ef84106ae0f99c6f17af370da66c9381a1355570f5998039fbb33534e	CCPU SAS/memory execution interface	direct-candidate pending original closure	unavailable pending source proof	adapter-backed mapping boundary	original SoftPC backend plus session mapping manager	S2	Original CPU-side address model must bind to checked session mappings, not native VDM aliases.
SPC-ROOT-005	softpc.new/base/ccpu386/ntthread.c	3fd33dc3055ac59e0958a8335c9f3d3155d36d76ac1e178c7dd1e4232deb5528	CCPU TLS/setjmp thread simulation support	binding-only pending original closure	unavailable pending source proof	adapter-backed thread binding	original SoftPC backend; session monitor binding	S2/S3	Original TLS ownership is not a replacement for session ownership; preserve source call shape and bind one active session/thread.
SPC-ROOT-006	softpc.new/host/src/sources	a6c0b2b3dc29151d6a760335d607114835490b1d2fe67e04e5f5c68865dab7e7	original spchost/src static-library manifest	binding-only manifest input	binding-only manifest input	direct source manifest	mvdm-host mirror; original SoftPC host composition	S2	Contains host control, device, console and VDD roots; S2 selects only a proven original closure.
SPC-ROOT-007	softpc.new/host/src/nt_cprgs.c	cbf9ee8a199d48ee74171b2e23d55bb1e5d019710fdea2a917762739d6a49044	original CCPU/A3CPU register and host_simulate function-table binder	direct-candidate pending original closure	binding-only through selected backend seam	direct source candidate	original SoftPC backend; adapter-mvdm-host-out/softpc	S2/S3	It is the authoritative original source shape for CCPU function-table binding.
SPC-ROOT-008	softpc.new/host/src/nt_cpu.c	3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f	original host CPU start/simulate/IRQ/reset contract	direct-candidate pending original closure	binding-only through selected backend seam	adapter-backed for Bochs; direct candidate for SoftPC	original SoftPC backend; adapter-mvdm-host-out/softpc	S2/S3	Its CCPU branch and Bochs branch are mutually exclusive per session.
SPC-ROOT-009	softpc.new/host/src/nt_aorc.c	7816128fbd968703f2f7b478b0992902f522f9c6853ca166eb69a904cd965061	original public getXX/setXX CCPU mapping layer	direct-candidate pending original closure	binding-only through selected backend seam	direct source candidate	original SoftPC backend; adapter-mvdm-host-out/softpc	S2/S3	Existing adapters must be reduced to binding-only if this original body becomes composable.
SPC-ROOT-010	softpc.new/host/src/nt_reset.c	9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47	original host reset/device coordination	adapter-backed original source candidate	adapter-backed original source candidate	direct source candidate	original SoftPC host composition; win32/softpc/VDD owners	S2	Cannot be cropped: it reaches CPU, devices, Console/User and VDD lifecycle.
SPC-ROOT-011	softpc.new/host/src/nt_error.c	3305eaabac76e039dfe80aa0f2e15c48433edd95a74615e5db55b97d2b393228	original error/direct-access UI and termination flow	adapter-backed original source candidate	adapter-backed original source candidate	direct source candidate	original SoftPC host composition; adapter-mvdm-host-out/win32	S2	Requires same-shaped modern Console/UI facade and preserved controlled-session stop, not process termination substitution.
SPC-ROOT-012	softpc.new/host/src/nt_msscs.c	96ee0fb677da9f35811f9dc1715d583474ce72bba9fa91f5eb2d5f6ab242b0c3	original SCS startup, reset, provider init, NTIO load and VDD composition	adapter-backed original source candidate	adapter-backed original source candidate	direct source candidate	original SoftPC host composition; app/session and named adapters	S2/S3	AddSystemFiles host mutation remains excluded; guest image staging must replace only that product-install side effect under an explicit divergence.
SPC-ROOT-013	softpc.new/host/src/sim32.c	1f634b9d6c09d0f767a90ec9e577817800a07dc353cffa433ca2e0268d2cd42f	original SIM32 pointer/memory facade	adapter-backed mapping boundary	adapter-backed mapping boundary	adapter-backed	adapter-mvdm-host-out/softpc; session mapping manager	S2/S3	No raw pointer result survives an adapter call on either architecture.
SPC-ROOT-014	softpc.new/host/src/nt_sas.c	077663754025071c48ec5f0bfebbcf07e1a6bcc240153b40545ef6f3c59c8344	original SAS function-table/transport form	adapter-backed mapping boundary	adapter-backed mapping boundary	adapter-backed	adapter-mvdm-host-out/softpc; session mapping manager	S2/S3	Reuses the sole session guest-memory mapping manager.
SPC-ROOT-015	softpc.new/host/src/nt_mem.c	55832ee249e18683e6d80c582ac8dff47318a5d467d1b1017777fc961bdccf5e	original virtual-memory reservation/commit model	unavailable as host RAM owner	unavailable as host RAM owner	not-selected-for-this-backend	Bochs memory backend; later original SoftPC memory review	S2	Direct host virtual-address backing cannot be confused with Bochs guest RAM.
SPC-ROOT-016	softpc.new/host/src/nt_umb.c	2a109f11985507463797e60b8b19fc12441bd18278b1444dde581cc351de72ed	original UMB state and VDD/section mapping algorithm	unavailable pending XMS/VDD package	unavailable pending XMS/VDD package	not-selected-for-this-backend	XMS/VDD owner packages	later XMS/VDD	This is VDM semantics, not generic machine mechanics.
SPC-ROOT-017	softpc.new/obj.vdm/sources	f80c0d8513ea68500c792674d05dee7f42f1f76aed98f4f5ca6bc409ffd61f3e	original ntvdm executable composition manifest	binding-only composition evidence	binding-only composition evidence	direct source composition reference	app/session composition with original MVDM packages	S2/S3	Establishes original library order; does not authorize direct historical product-shell linking.
SPC-ROOT-018	NTVDMx64/ntvdmpatch/patches/common/fmstubs.c	03f45ad3124379b2462afa5434ef479012421c45096c6ccdce4296b151bf3025	original NTVDMx64 SoftPC patch fallback/hook body	compile-and-archive evidence only	retained source; x64 inline-asm form is not composable	registered patch evidence only	mvdm-softpc-patch	S2	Byte-identical owner-directed import. Its `int 3` paths are preserved, not rewritten or enabled as a machine backend.
SPC-ROOT-019	NTVDMx64/ntvdmpatch/patches/minnt/callconv.patch	1d3fa424a9c3337ae54e1bd5c8490bbc8fda2f8e0a1d39e2275d7fb412823d78	selected NTVDMx64 calling-convention patch evidence	binding-only patch evidence	binding-only patch evidence	registered two-site mirror divergence	mvdm-softpc-patch; mvdm-host	S2	Only the exact nt_error.c worker declaration/definition hunk is selected; no unrelated callconv patch hunk is enabled.
