"interface_id"	"caller_path"	"symbol"	"source_lines"	"original_shape"	"unique_owner"	"x86_x64_disposition"	"failure_disposition"	"state"	"evidence"
"MVDM-T279-S1-IF-001"	"oemuni/file.c"	"CreateDirectoryW"	"689,710"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:689"
"MVDM-T279-S1-IF-002"	"oemuni/file.c"	"CreateFileW"	"73,104,124"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:73"
"MVDM-T279-S1-IF-003"	"oemuni/file.c"	"DeleteFileW"	"227,248"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:227"
"MVDM-T279-S1-IF-004"	"oemuni/file.c"	"FindClose"	"430"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:430"
"MVDM-T279-S1-IF-005"	"oemuni/file.c"	"FindFirstFileW"	"386,410"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:386"
"MVDM-T279-S1-IF-006"	"oemuni/file.c"	"FindNextFileW"	"463"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:463"
"MVDM-T279-S1-IF-007"	"oemuni/file.c"	"GetComputerNameW"	"1056,1087"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:1056"
"MVDM-T279-S1-IF-008"	"oemuni/file.c"	"GetDiskFreeSpaceW"	"809,833"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:809"
"MVDM-T279-S1-IF-009"	"oemuni/file.c"	"GetDriveTypeW"	"764,789"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:764"
"MVDM-T279-S1-IF-010"	"oemuni/file.c"	"GetFileAttributesW"	"190,212"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:190"
