cohort_id	physical_call_count	reached_form	original_definition	original_required_slice	final_disposition	owner	current_or_future_action	stopping_boundary
T306-BASECLIENT-01	6	GetNextVDMCommand	base/win32/client/vdm.c:340	vdm.c plus BaseSrv GetNextVDMCommand record/copy path in base/win32/server/srvvdm.c	adapter-backed original-shaped local broker	adapter-mvdm-host-out/basesrv	retain the existing DOS-only local capture/record seam; extend only under the later Base VDM broker package	CsrClientCallServer and CSRSS capture/console product shell
T306-BASECLIENT-02	1	SetVDMCurrentDirectories	base/win32/client/vdm.c:804	vdm.c plus BaseSrvSetVDMCurDirs in base/win32/server/srvvdm.c	adapter-backed original-shaped session directory record	adapter-mvdm-host-out/basesrv	defer implementation to the later Base VDM broker package; preserve the original source as the algorithm and ABI reference	CsrClientCallServer and console-associated BaseSrv record
T306-BASECLIENT-03	14	ExitVDM	base/win32/client/vdm.c:731	vdm.c plus BaseSrvExitVDM and DOS/WOW exit workers in base/win32/server/srvvdm.c	adapter-backed session termination and future broker operation	adapter-mvdm-host-out/basesrv plus session	defer until the Base VDM broker and monitor/session lifecycle packages define DOS and WOW termination separately	CsrClientCallServer plus CSRSS process/console/WOW product state
T306-BASECLIENT-04	1	RegisterWowExec	base/win32/client/vdm.c:1014	vdm.c plus BaseSrvRegisterWowExec in base/win32/server/srvvdm.c	adapter-backed only when the WOW owner package is admitted	adapter-mvdm-host-out/wow	retain original client/server bodies as evidence; do not create a single-session substitute during package selection	CSRSS process identity and shared WowExec window notification
T306-BASECLIENT-05	2	RegisterWowBaseHandlers	base/win32/client/gmem.c:31	gmem.c hook registration only	importable small original WOW leaf when the WOW owner package is admitted	opennt-host plus adapter-mvdm-host-out/wow	mirror the exact small source then bind the reached WOW callback only after its task owner exists	unadmitted WOW task/callback consumer
T306-BASECLIENT-06	14	WaitForSingleObject	base/win32/client/synch.c:1033	public Win32 API contract	public Win32 leaf	modern public Win32	bind directly or through the existing declaration facade; do not import historical synch.c	public Win32 API
T306-BASECLIENT-07	1	ReleaseMutex	base/win32/client/synch.c	public Win32 API contract	public Win32 leaf	modern public Win32	bind directly or through the existing declaration facade; do not import historical synch.c	public Win32 API
T306-BASECLIENT-08	6	LocalAlloc	base/win32/client/lmem.c	public Win32 API contract	public Win32 leaf	modern public Win32	bind directly or through the existing declaration facade; do not import historical lmem.c	public Win32 API
T306-BASECLIENT-09	8	LocalFree	base/win32/client/lmem.c	public Win32 API contract	public Win32 leaf	modern public Win32	bind directly or through the existing declaration facade; do not import historical lmem.c	public Win32 API
T306-BASECLIENT-10	1	SetFilePointer	base/win32/client/file.c	public Win32 API contract	public Win32 leaf	modern public Win32	bind directly or through the existing declaration facade; do not import historical file.c	public Win32 API
