"interface_id"	"original_owner/source"	"reached_or_selected_role"	"historical_contract"	"pointer_or_state_class"	"recovery_ladder_disposition"	"future_owner"	"failure_or_exclusion"
"T288-I-01"	"sim16/sim16.asm; siminit.asm"	"16-bit SIM DLL transport"	"WOW16-side Sim32 exchange and initialization DLL contract"	"16-bit far pointers and WOW stack"	"Original source retained exact; it is not an x86/x64 host translation unit"	"Later Original WOW owner packages"	"No host-static link or substitute transport in T288"
"T288-I-02"	"sim32/sim32.c:Sim32GetVDMMemory; Sim32SetVDMMemory"	"copy-based SIM16/host VDM memory exchange"	"32-bit address plus bounded byte count and status result"	"guest numeric address; host buffer is synchronous only"	"Original source first; S2 determines composability through the existing session lease facade"	"adapter-mvdm-host-out/monitor plus session"	"Raw address-to-host-pointer conversion is prohibited on both architectures"
"T288-I-03"	"sim32/sim32.c:Sim32GetVDMPSZPointer; Sim32FreeVDMPointer"	"historical direct string pointer exchange"	"native pointer returned from a 32-bit VDM address and later freed"	"guest pointer / lifetime-sensitive"	"Original body retained as evidence; only a bounded synchronous lease can preserve a reached call shape"	"adapter-mvdm-host-out/softpc plus session"	"No durable pointer, token or cross-component native pointer is admitted"
"T288-I-04"	"sim32/sim32.c:Sim32SendSim16; Xceive; Initialize"	"SIM16 message exchange"	"bidirectional stack/message exchange with the 16-bit SIM DLL"	"WOW stack and 16/32 bridge state"	"Original source retained; no directly usable local host-only composition identified"	"Later Original WOW owner packages"	"T288 does not invent a SIM16 broker or emulate WOW"
"T288-I-05"	"v86/monitor/i386/monitor.c:cpu_init; cpu_simulate; get*/set*"	"monitor CPU context and execution lifecycle"	"VdmTib CONTEXT register access, CPU lifecycle and event dispatch"	"VDM_TIB / CONTEXT / CPU state"	"Original source preserved; recover same-shaped copied frame and selector-blind machine calls before body composition"	"adapter-mvdm-host-out/monitor; adapter-mvdm-host-out/softpc; adapter-bochs; session"	"No CCPU executor or direct Bochs object may enter the mirror"
"T288-I-06"	"v86/monitor/i386/monitor.c:EventVdm*; EventDispatch"	"I/O, string-I/O, BOP, error, IRQ13 and memory event fanout"	"VdmTib event-code dispatch table and source handler ordering"	"event frame/callback; BOP service identities"	"Original table remains source-owned; S1 must partition each event by existing owner before any enablement"	"adapter-mvdm-host-out/monitor with adapter-mvdm-host-in only for copied ingress"	"No selector-aware Bochs path; non-monitor BOP semantics remain their owner packages"
"T288-I-07"	"v86/monitor/i386/sas.c"	"SAS RAM, A20, range and memory handler substrate"	"SoftPC SAS numeric memory and handler operations"	"guest numeric address and machine handler state"	"Original source retained; only same-shaped adapter-softpc facade over selector-blind adapter-bochs mechanics may be considered"	"adapter-mvdm-host-out/softpc; adapter-bochs; session"	"No duplicate SAS allocator, mapper, or Bochs-side VDM semantics"
"T288-I-08"	"v86/monitor/i386/int.c"	"interrupt, hardware IRQ and IRQ13 lifecycle"	"source interrupt handler registration, dispatch and EOI ordering"	"CPU/PIC/IVT and interrupt frame state"	"Original source preserved; composition waits for a complete source/Bochs interrupt profile audit"	"adapter-mvdm-host-out/monitor; adapter-bochs; later protected-machine owner"	"No isolated IRQ13 or x87 trace patch"
"T288-I-09"	"v86/monitor/i386/thread.c"	"historical monitor CPU thread lifecycle"	"thread-local monitor state, debug context and CPU thread creation/exit"	"thread/TEB/CONTEXT lifecycle"	"Original source preserved; modern single-session scheduler compatibility must retain observable state/failure order"	"session plus adapter-mvdm-host-out/monitor"	"No CCPU worker recreation, CSRSS or kernel VDM dependency"
"T288-I-10"	"v86/scaffold/i386/*; v86/util/quit.asm"	"historical NTVDM executable shell and fake hardware hooks"	"product scaffold, GUI/console/resources and fake device shell"	"process-global device/UI state"	"Not host-runtime for this Bochs-composed product; retain exact source evidence"	"app composition and later product integration review"	"No scaffold, fake BOP/device, GUI or old executable shell is linked in T288"
"T288-I-11"	"ieuvddex/i386/vdmtib.c; regs.c"	"VDD extension VDM_TIB/context inspection"	"locate current VDM TIB/event information and inspect register context"	"thread-local VDM_TIB / CONTEXT pointers"	"Original source first; requires one adapter-monitor fixed-layout/session-current accessor"	"adapter-mvdm-host-out/monitor plus session"	"No native TEB pointer leaks through VDD or guest interfaces"
"T288-I-12"	"ieuvddex/i386/reflect.c; profile.c; helpp.c and top-level sources"	"VDD reflection, profiling and debugger extension behavior"	"VDD-specific callbacks, diagnostics and profile facilities"	"VDD callback/global state"	"Retain exact source; classify direct monitor helpers separately from VDD/debugger policy"	"Later Original VDD and debugger packages"	"T288 cannot fabricate VDD registration, reflective events or debugger UI"
"T288-I-13"	"softpc.new/base/keymouse/keybd_io.c:UpdateKbdInt15"	"XMS 52:09 keyboard/INT15 notification"	"compare current INT15 vector and clear/update the original keyboard optimization state"	"IVT bytes, firmware keyboard globals"	"Original source first; S5 may compose only the proven fragment through a selector-blind IVT read/write seam"	"mvdm-softpc-firmware; adapter-mvdm-host-out/softpc; adapter-bochs; session"	"No general controller, IRQ1, polling, mouse, timer or console-input behavior"
"T288-I-14"	"xms.486/xmsmisc.c:xmsNotifyHookI15"	"current consumer of T288 keyboard fragment"	"call UpdateKbdInt15(CS,AX), then set CX to XMS size"	"16-bit register frame and IVT state"	"Already locally proven with a test carrier; production binding waits T288 S5"	"T288 S5"	"The carrier is not a product implementation"
"T288-I-15"	"ieuvddex/{alpha,mips,ppc}; v86 build forms; sim32/sources"	"non-i386 or unselected historical build forms"	"source/provenance and build-selection evidence"	"not applicable"	"Exact source retained; not host-runtime input for the selected x86/x64 product"	"No runtime owner"	"No cross-architecture source body is silently selected"
