"interface_id"	"source_path"	"source_span"	"original_symbol_or_call_group"	"original_contract"	"historical_dependency"	"single_recovery_owner"	"provisional_disposition"	"predecessor_gate"	"evidence"	"state"
"MVDM-MON-001"	"softpc.new/host/src/nt_eoi.c"	"229-327"	"host_DelayHwInterrupt / NtVdmControl(VdmDelayInterrupt)"	"Delay one IRQ line, preserve BOOL failure, and arrange the requested hardware interrupt after the delay."	"NT4 VdmDelayInterrupt monitor operation; original non-MONITOR quick-event alternate."	"adapter-vdm-monitor; session; adapter-softpc"	"same-shaped monitor-operation review; no timer binding enabled"	"Monitor operation ABI; session timed-completion contract; PIC facade"	"nt_eoi.c:229-327"	"reviewed-provisional-not-enabled"
"MVDM-MON-002"	"softpc.new/host/src/nt_eoi.c"	"319-326; 427-524"	"ica_hw_interrupt / ica_clear_int / ica_restart_interrupts"	"Maintain original virtual ICA request/count/reset sequencing around delayed and ordinary interrupts."	"SoftPC ICA/PIC state and CPU interrupt delivery."	"adapter-softpc -> adapter-bochs"	"Bochs PIC mechanical prerequisite; never link an original ICA executor beside Bochs"	"Complete SoftPC facade and Bochs interrupt-operation audit"	"nt_eoi.c:319-326,427-524; base/inc/ica.h"	"reviewed-provisional-not-enabled"
"MVDM-MON-003"	"softpc.new/host/src/nt_event.c"	"235-405"	"nt_start_event_thread / ConsoleEventThread / nt_event_loop"	"Create, suspend, run, stop and close the original console-event worker while preserving its event-loop control order."	"CreateThread/CreateEvent plus private NtAlertThread, GetConsoleInputWaitHandle and NtWaitForMultipleObjects."	"session; adapter-win32; adapter-vdm-monitor"	"original worker algorithm is recoverable only after a same-shaped public-console/wait and session-worker contract is recorded"	"Session worker binding; adapter-win32 console/event operation disposition; monitor thread context"	"nt_event.c:235-405"	"reviewed-provisional-not-enabled"
"MVDM-MON-004"	"softpc.new/host/src/nt_event.c"	"857-1203; 1471-1548"	"keyboard/mouse processing and block/resume guest state"	"Translate host input events, preserve queue ordering, and store/reset BIOS/SAS and ICA-visible guest state at original call sites."	"SoftPC SAS/ICA/key/mouse/display hooks and VDD notifications."	"adapter-softpc; adapter-vdd; adapter-bochs"	"machine and VDD prerequisite review; no DOS/console semantics move into a machine adapter"	"Complete SoftPC facade; VDD callback-family audit; selected Bochs device capability"	"nt_event.c:857-1203,1471-1548"	"reviewed-provisional-not-enabled"
"MVDM-MON-005"	"softpc.new/host/src/nt_event.c"	"1307-1905"	"CntrlHandler / nt_block_event_thread / nt_resume_event_thread / cmdPushExitInConsoleBuffer"	"Preserve control-event, block/resume, cleanup and exit-notification order without unconditionally terminating the host process."	"NT4 console-group close, private console-window/UI behavior, command/VDD callbacks and host ExitProcess."	"app; session; adapter-win32; adapter-vdd; opennt-mvdm-host COMMAND package"	"cross-owner lifecycle review; historical console/window/CSRSS behavior is not independently enabled"	"COMMAND child/exit package; session controlled-stop contract; adapter-win32 console UI disposition; VDD audit"	"nt_event.c:1307-1905"	"reviewed-provisional-not-enabled"
"MVDM-MON-006"	"softpc.new/host/src/nt_inthk.c"	"61-117"	"VdmInstallHardwareIntHandler / host_hwint_hook"	"Register one hardware-interrupt callback and invoke it before normal CPU interrupt dispatch, returning its original BOOL handling result."	"CCPU or historical GLOBAL_VDM hardware-interrupt hook slot."	"adapter-vdm-monitor; adapter-softpc -> adapter-bochs"	"same-shaped registration interface review; no selector/service knowledge reaches Bochs"	"Atomic CPU-frame/interrupt callback seam; SoftPC facade audit"	"nt_inthk.c:61-117"	"reviewed-provisional-not-enabled"
"MVDM-MON-007"	"softpc.new/host/src/nt_inthk.c"	"123-180"	"VdmInstallSoftwareIntHandler / host_swint_hook"	"Register one software-interrupt callback and invoke it before normal CPU software-interrupt dispatch, returning its original BOOL handling result."	"CCPU or historical GLOBAL_VDM software-interrupt hook slot."	"adapter-vdm-monitor; adapter-softpc -> adapter-bochs"	"same-shaped registration interface review; no callback is installed until CPU transaction semantics are admitted"	"Atomic CPU-frame/interrupt callback seam; SoftPC facade audit"	"nt_inthk.c:123-180"	"reviewed-provisional-not-enabled"
"MVDM-MON-008"	"softpc.new/host/src/nt_inthk.c"	"186-243"	"VdmInstallFaultHandler / host_exint_hook"	"Register one fault callback and invoke it before CPU exception dispatch with the original exception/error-code arguments and BOOL result."	"CCPU or historical GLOBAL_VDM exception hook slot."	"adapter-vdm-monitor; adapter-softpc -> adapter-bochs"	"same-shaped registration interface review; no #UD/BOP interpretation is added to the historical hook contract"	"Atomic CPU-frame/fault callback seam; SoftPC facade audit"	"nt_inthk.c:186-243"	"reviewed-provisional-not-enabled"
"MVDM-MON-009"	"softpc.new/host/src/nt_reset.c"	"95-277"	"host_reset / host_applInit"	"Perform original reset/startup ordering across UI, event worker, idle, ICA lock and machine initialization."	"Historical CLI flags, console/UI setup, main-thread duplication, stream/fullscreen behavior and SoftPC reset calls."	"app; session; adapter-win32; adapter-vdm-monitor; adapter-softpc"	"cross-owner startup prerequisite; no historical command-line or console policy is silently revived"	"App launch admission; session lifecycle; Win32 UI/console disposition; monitor and SoftPC facade audits"	"nt_reset.c:95-277"	"reviewed-provisional-not-enabled"
"MVDM-MON-010"	"softpc.new/host/src/nt_reset.c"	"285-372"	"host_applClose / host_terminate / TerminateVDM"	"Preserve ordered peripheral/event/config cleanup before the original terminal VDM outcome."	"NT4 ExitVDM/ExitProcess and historical device/UI cleanup."	"session; app; adapter-win32; adapter-softpc"	"controlled-stop and cleanup review; terminal action must end only the owning session unless app policy explicitly exits"	"Session teardown/controlled-stop contract; adapter-win32 process/console capability disposition"	"nt_reset.c:285-372"	"reviewed-provisional-not-enabled"
