form	original_callers	original_contract	current_source-first_disposition	current_owner_and_next_action
WIN32-NAMED-PIPE	vrnmpipe.c; cmdredir.c	CreateFile/CreateNamedPipe/CallNamedPipe/GetNamedPipe*/SetNamedPipe*/PeekNamedPipe/TransactNamedPipe/WaitNamedPipe plus event/thread/file lifetime	public modern Win32 remains directly usable; original bodies and ordering remain owner	S3 may compose the synchronous subset through existing thread-start compatibility and session resource identities
WIN32-MAILSLOT	vrmslot.c	CreateMailslot/CreateFile/read/write/info with original DOS WORD handle carrier	public modern Win32 remains directly usable; native handle must not enter MVDM fields	S4 uses existing adapter-mvdm-host-out/redir mailslot identity form and original failure directions
GUEST-SPAN	vrnmpipe.c; vrmslot.c; vrnetapi.c; vrremote.c; DLC sources	GetVDMAddr/Sim32GetVDMPointer and packed 16:16 fields produce source-local aliases	adapter-backed only: adapter-mvdm-host-out/softpc owns bounded synchronous leases; async aliases require staging	S3 synchronous calls may lease; S4 owns durable async staging; S5 remote/DLC calls are not admitted to retain raw aliases
HOST-IDENTITY	vrnmpipe.c; vrmslot.c; cmdredir.c	original x86 splits HANDLE/record pointers into WORD pairs	adapter-backed only: current session host-resource mapper via adapter-mvdm-host-out/softpc	S3/S4 retain the existing Redir bindings; no native-value pass-through and no second mapper
CPU40-ICA-SIM32	vrinit.c; vrnmpipe.c; vrnetb.c; vrdlcpst.c	original VDM interrupt, IRET/ICA serialization, Sim32 and guest-register mechanics	original CPU40/SoftPC form is the only candidate; current binding must be audited per reached path	S3 admits only lifecycle/synchronous paths not needing interrupt completion; S4 owns async interrupt/completion binding
VDD-WINDOW	vrinit.c; vrdlcpst.c	VDDInitialize/VDDInstallUserHook and VDM-window product hooks	The reached `VDDInstallUserHook` body is already original `softpc.new/host/src/nt_msscs.c`; it is directly composable once original VDMREDIR DLL loading supplies a non-null module handle.	S3 owns the source-shaped VDMREDIR DLL build/load predecessor. Broader VDD/window product facilities remain a later VDD owner package; no Redirector-local hook replacement is admitted.
NETAPI-LOCAL	vrnetapi.c; vrremote.c	public NetWksta/NetUse/NetServer/name/query APIs and NetApiBufferFree, with DOS/OEM result layout	public modern APIs and selected original ntstatus.c helper are candidates; output crosses bounded guest-copy form	S5 owns full source body composition after each called API/error mapping is audited; S2 makes no runtime claim
RAP-REMOTE	vrnetapi.c; vrremote.c	RxpTransactSmb, Xs* worker calls, RPC/RAP descriptors and downlevel remote API marshalling	private historical NetAPI/RAP worker boundary; no public one-call equivalent	transfer to queue NetAPI/RAP Redirector network-boundary package; preserve original error path and do not author a replacement broker
NETBIOS	vrnetb.c; vrinit.c	NetBIOS NCB worker, completion and PM ANR state	legacy external/provider contract not yet admitted; synchronous API availability alone cannot reproduce completion/monitor behavior	transfer to S5 network/assignment cohort and then queue NetAPI/RAP package if a public same-shaped provider is not finite
DLC	vrdlc5c.c; vrdlcpst.c; vrdlcbuf.c; vrdlcdbg.c	DLCAPI dynamic load, AcsLan/NtAcsLan/DlcCallDriver, adapter queues and DOS interrupt completion	modern Windows does not supply the NT4 DLC driver/product contract	retain source mirror and original load/failure branch; transfer driver realization to a named future host-capability decision, no fabricated success
NT-RUNTIME	all providers	Rtl memory/string/status helpers, LocalAlloc, critical sections and diagnostics	publicly representable CRT/Win32 forms or selected original ABI carriers	bind only as required by selected S3-S5 source cohort; do not use them to replace provider policy
BASESRV-CSR	no direct provider body in this package; indirect COMMAND/DEM loading context	NT4 product broker/DLL load context	out of scope and not a Redirector-local service	current session/COMMAND route remains the source-shaped caller boundary; broker work stays in queue package 9
