id	original_location	contract	disposition	verification	next_owner
T336-S3-01	softpc.new/base/disks/floppy.c:fl_disk_reset	Reset FDC then wait for the reset interrupt.	original-source-selected	S2 map identifies wait_int as prior null-vector caller.	FDC core
T336-S3-02	softpc.new/base/disks/fla.c:fla_outb/fla_hw_interrupt	Turn FDC reset rising edge into original ICA IRQ6 request.	original-source-selected	Formal product selects fla.c; source call chain complete.	ICA/CCPU delivery
T336-S3-03	softpc.new/base/disks/floppy.c:wait_int	Run NTIO INT15 busy and wait entries through recursive CPU execution.	original-source-selected with S2 vector repair	No alternate executor; host_simulate_func now initialized.	guest stop attribution
T336-S3-04	softpc.new/base/disks/floppy_i.c:diskette_int	Acknowledge FDC IRQ, signal completion, run INT15 complete, restore CPU state.	original-source-selected	Formal product selects floppy_i.c.	guest stop attribution
T336-S3-05	softpc.new/base/keymouse/keybd_io.c:kb_setup_vectors	Read NTIO-supplied vector table and publish INT15/wait addresses.	original-source-selected	Original MS_bop_F calls it after NTIO load.	guest stop attribution
T336-S3-06	softpc.new/base/system/timer.c:timer_init; softpc.new/host/src/nt_timer.c	Create/resume original heartbeat and deliver CPU timer ticks.	original-source-selected	Original startup/call chain verified; no substitute timer selected.	guest stop attribution
T336-S3-07	softpc.new/host/src/nt_rflop.c	Physical floppy media operations.	selected-but-not-required-default-profile	Zero admitted physical floppy drives; reset IRQ does not require host media I/O.	physical-floppy feature package
T336-S3-08	softpc.new/host/src/stubs.c:host_floppy_init	Historical no-provider terminal for physical floppy initialization.	original-source-terminal	No physical floppy is admitted by current profile; no speculative replacement.	physical-floppy feature package
T336-S3-09	softpc.new/host/src/nt_msscs.c:InitialiseDosEmulation/AddSystemFiles	Resolve and copy selected DOS guest inputs into SAS prior to CPU start.	original-source-selected	Existing runtime reaches 50:11 and 54:05.	guest stop attribution
T336-S3-10	fixed x86 container	Bounded unchanged runtime observation after S2.	evidence-only	Current formal x86 product reaches the established BOP sequence, times out without the former null-target exception, and has seven observed threads in system waits at the watchdog cut.	T336 S4 wait-owner attribution
