"interface_id"	"source_path"	"source_span"	"device_or_interface_family"	"original_contract"	"historical_dependency"	"single_recovery_owner"	"provisional_disposition"	"predecessor_gate"	"evidence"	"state"
"MVDM-DEV-001"	"softpc.new/host/src/nt_cga.c"	"91-1188"	"CGA text/graphics paint routines"	"Convert CGA VRAM into host drawing updates using original display callbacks."	"SoftPC CGA state, raw VRAM pointers and historical screen painting."	"bochs-core; adapter-bochs"	"Bochs-replacement exclusion for device/render implementation; no parallel CGA painter"	"Bochs VGA/CGA device profile and adapter-bochs display-input manifest"	"nt_cga.c:91-1188"	"reviewed-provisional-not-enabled"
"MVDM-DEV-002"	"softpc.new/host/src/nt_ega.c"	"140-1990"	"EGA text/graphics paint routines"	"Convert EGA plane/font state into host drawing updates using original callbacks."	"SoftPC EGA plane/font state and raw VRAM pointers."	"bochs-core; adapter-bochs"	"Bochs-replacement exclusion for device/render implementation; no parallel EGA painter"	"Bochs VGA/EGA profile and adapter-bochs display-input manifest"	"nt_ega.c:140-1990"	"reviewed-provisional-not-enabled"
"MVDM-DEV-003"	"softpc.new/host/src/nt_vga.c"	"47-2073"	"VGA graphics paint routines"	"Convert VGA graphics state into host drawing updates."	"SoftPC VGA state, plane pointers and historical screen painter."	"bochs-core; adapter-bochs"	"Bochs-replacement exclusion for device/render implementation; no parallel VGA painter"	"Bochs VGA profile and adapter-bochs display-input manifest"	"nt_vga.c:47-2073"	"reviewed-provisional-not-enabled"
"MVDM-DEV-004"	"softpc.new/host/src/nt_munge.c"	"1-506"	"EGA/VGA pixel munging helpers"	"Transform SoftPC display planes into destination-compatible bitmap pixels."	"Raw SoftPC display-plane pointers, graphics tables and legacy console surface."	"bochs-core; adapter-bochs"	"Bochs-replacement exclusion; helpers are inseparable from the excluded historical display pipeline"	"Bochs display backend selection; no raw guest-video pointer crossing"	"nt_munge.c:1-506"	"reviewed-provisional-not-enabled"
"MVDM-DEV-005"	"softpc.new/host/src/nt_graph.c"	"590-2303"	"screen/adaptor palette and paint orchestration"	"Coordinate original display mode, palette, font and refresh callbacks."	"SoftPC display model, Win32 DIB/surface/console facilities and raw VRAM paths."	"adapter-bochs; adapter-win32"	"cross-owner display backend review; Bochs owns device state and adapter-win32 may own only a public presentation endpoint"	"Bochs display manifest; public presentation API audit; no fullscreen product shell"	"nt_graph.c:590-2303"	"reviewed-provisional-not-enabled"
"MVDM-DEV-006"	"softpc.new/host/src/nt_det.c"	"272-1562"	"fullscreen detect and VGA/hardware synchronization"	"Coordinate window/fullscreen transitions and synchronize historical hardware with SoftPC VGA emulation."	"NT4 console/display driver, VGA hardware and direct screen memory."	"adapter-vdm-monitor; adapter-bochs; adapter-win32"	"profile exclusion pending an explicit public presentation/monitor contract; no direct hardware synchronization"	"Monitor/display package and admitted public fullscreen API evidence"	"nt_det.c:272-1562"	"reviewed-provisional-not-enabled"
"MVDM-DEV-007"	"softpc.new/host/src/nt_fulsc.c"	"170-2369"	"console/fullscreen, fonts and stream I/O"	"Manage original console state, graphics transitions, font selection and fullscreen input/output behavior."	"NT4 console product shell, temporary IVT changes, mouse buffers and video memory."	"adapter-vdm-monitor; adapter-win32; adapter-bochs"	"profile exclusion pending a complete public console/presentation contract; no console-global or guest-memory mutation path"	"Monitor/input/display package; typed guest transaction review for any IVT interaction"	"nt_fulsc.c:170-2369"	"reviewed-provisional-not-enabled"
"MVDM-DEV-008"	"softpc.new/host/src/nt_hosts.c"	"79-295"	"host UI/screen descriptor startup"	"Initialize historical host UI/screen descriptors and display palette."	"Console/UI product setup and original graphics routines."	"app; adapter-win32; adapter-bochs"	"cross-owner presentation composition review; not an independent host-runtime provider"	"App presentation policy and Bochs display manifest"	"nt_hosts.c:79-295"	"reviewed-provisional-not-enabled"
"MVDM-DEV-009"	"softpc.new/host/src/nt_input.c"	"56-106"	"keyboard preparation and lights"	"Provide original keyboard setup/restore and indicator-light forms."	"Host keyboard device/console state and SoftPC keyboard callbacks."	"adapter-vdm-monitor; adapter-win32; adapter-bochs"	"same-shaped input-edge review; Bochs owns keyboard device state and monitor owns bounded event delivery"	"Monitor event ABI, public keyboard input API and adapter-bochs typed input operation"	"nt_input.c:56-106"	"reviewed-provisional-not-enabled"
"MVDM-DEV-010"	"softpc.new/host/src/nt_mouse.c"	"93-2605"	"mouse pointer, coordinates and IRQ hooks"	"Translate host mouse state into original VDM coordinate/call-mask and interrupt behavior."	"Windows cursor/console/fullscreen product shell, SoftPC video state and IRQ callbacks."	"adapter-vdm-monitor; adapter-win32; adapter-bochs"	"cross-owner input-edge review; no direct mouse/IRQ or Bochs object access by the host source"	"Monitor event ABI; public pointer API; adapter-bochs typed input/IRQ operation"	"nt_mouse.c:93-2605"	"reviewed-provisional-not-enabled"
