id	original_owner	caller_or_contract	immediate_inputs	terminal_or_next_edge	current_disposition	why_it_matters
T339-S1-01	mvdm-host/dos/command/cmdconf.c	cmdGetConfigSys unconditionally calls ExpandConfigFiles(TRUE)	selected MVDM system root; PIF config override or default config.nt	creates temporary CONFIG.SYS path for NTDOS	original body already bound	config.nt is normal startup input, not a fallback selected only after an absent CONFIG.SYS
T339-S1-02	mvdm-host/softpc.new/host/src/nt_pif.c	GetPIFConfigFiles selects PIF-specified config/autoexec if present, otherwise selected-root config.nt/autoexec.nt	PIF override state; mvdm/config.nt; mvdm/autoexec.nt	cmdconf opens the selected source; a missing file retains original fatal direction	original body already bound	separates source-file choice from shell synthesis and from the later guest terminal
T339-S1-03	mvdm-host/dos/command/cmdconf.c	ExpandConfigFiles filters an input SHELL directive but always writes a normalized shell=<SystemRoot>\\System32\\command.com /p line	short normalized system root; optional third-party shell or /e setting	temporary CONFIG.SYS names the packaged COMMAND.COM	original body already bound	current short-root observation has passed this cohort; command bootstrap must target mvdm/system32/COMMAND.COM, not an invented root COMMAND.COM
T339-S1-04	mvdm-guest/dos/v86/doskrnl/bios/sysinit1.asm	SysInit consumes the temporary CONFIG.SYS, then opens and EXECs the resulting commnd value	guest-visible CONFIG.SYS shell line; DOS file/EXEC result; command image identity	open/EXEC failure falls through comerr -> stall -> SVC_DEMEXITVDM (50:3D)	candidate predecessor; requires source-shaped file/EXEC failure discrimination	this is the initial NTDOS caller; its failure is about the synthesized COMMAND path or its DOS execution contract
T339-S1-05	mvdm-guest/dos/v86/cmd/command/init.asm	COMMAND startup calls INT 21h GET_VERSION and compares AX with EXPECTED_VERSION	current PDB version supplied by NTDOS; COMMAND compiled EXPECTED_VERSION; COMMAND parent PDB	mismatch for COMMAND's own parent executes SVC_DEMEXITVDM (50:3D)	source-pair rejection recorded; runtime callsite still not externally distinguished	this is a distinct post-EXEC caller; the current staged NTDOS and COMMAND hashes exactly match retained source-built identities, and the selected sources define version 5.00 on both sides
T339-S1-06	mvdm-guest/dos/v86/doskrnl/dos/getset.asm	INT 21h GET_VERSION returns the current PDB Version word in AX	PDB_Version initialized by NTDOS create-process path	COMMAND init's comparison input	original guest contract	COMMAND's test is not a host adapter return; it must be traced to the guest PDB/image pairing
T339-S1-07	mvdm-guest/dos/v86/doskrnl/dos/msinit.asm	NTDOS issues CMDSVC SVC_CMDSETINFO (54:05) before the successor terminal	SCS_COMSPEC; DOS-binary and FD-access state	COMMAND host registration marker	original host provider already bound	observed 54:05 proves NTDOS passed its registration point, but does not by itself distinguish initial EXEC failure from COMMAND's later version rejection
T339-S1-08	mvdm-host/dos/dem/demmisc.c	demExitVDM is the host implementation of 50:3D	selector/service only	fixed error dialog/controlled terminal result	terminal, not a diagnosis	original host code discards the guest caller-specific reason; its displayed config message cannot identify T339-S1-04 versus T339-S1-05
T339-S1-09	T338 short-root external observation	50:11, 50:3B, 50:0F, 50:1B, 50:32, 54:05 then 50:3D	fixed short-root package; unchanged product	demExitVDM	observed but nondiscriminating	the observation proves configuration capacity is crossed and exactly where the shared terminal is reached; it is insufficient to select a drive-policy or BOP recovery
T339-S1-10	T339 S1 cohort selection	first recovery must distinguish binary/PDB-version pairing from guest file/EXEC resolution without modifying guest media	selected staged NTIO/NTDOS/COMMAND identities; existing original file/EXEC and version contracts	at most one original source-shaped owner cohort may be selected in S2	pending S1 identity review	no host namespace, synthetic boot disk, or new BOP provider follows from 50:3D alone
