"interface_id"	"source_path"	"source_span"	"original_symbol_or_call_group"	"original_contract"	"historical_dependency"	"single_recovery_owner"	"provisional_disposition"	"predecessor_gate"	"evidence"	"state"
"MVDM-SPC-001"	"softpc.new/host/src/copy_fnc.c"	"11-203"	"bwdcopy / bwd_dest_copy / memfill / fwd_word_fill / memset4"	"Perform original bounded host-buffer copy/fill primitives used by the historical machine surface."	"Raw host addresses and RtlFillMemoryUlong."	"adapter-softpc"	"same-shaped helper candidate only when every guest-derived buffer is a checked synchronous lease"	"Guest-memory lease contract; adapter-win32 availability review for RTL fill primitive"	"copy_fnc.c:11-203"	"reviewed-provisional-not-enabled"
"MVDM-SPC-002"	"softpc.new/host/src/cpucstbs.c"	"14-30"	"npx_interrupt_line_waggled / cacheflush / host_sigio_event"	"A3CPU-only cache/NPX signal helpers preserve their historical conditional forms."	"A3CPU execution and CPU cache/ICA implementation."	"adapter-softpc"	"Bochs-replacement profile exclusion; no A3CPU helper is enabled"	"No current CPU profile admits A3CPU execution beside Bochs"	"cpucstbs.c:1-30; external boundary MVDM-CALL-058353"	"reviewed-provisional-not-enabled"
"MVDM-SPC-003"	"softpc.new/host/src/nt_cpu.c"	"72-157"	"host_start_cpu / host_simulate / host_set_hw_int / host_clear_hw_int"	"Expose the original CPU-run and hardware-interrupt request shapes to MVDM callers."	"SoftPC cpu_simulate/cpu_interrupt/CPU state."	"adapter-softpc -> adapter-bochs"	"same-shaped facade review; Bochs is the sole CPU executor"	"Adapter-bochs bounded run/stop and typed IRQ request contract"	"nt_cpu.c:72-157"	"reviewed-provisional-not-enabled"
"MVDM-SPC-004"	"softpc.new/host/src/nt_cpu.c"	"157-265"	"setSTATUS / EmulatorEndIretHook / InitNtCpuInfo"	"Manipulate historical A3/CPU_40 register internals, including an IRET stack repair and direct GDP-backed register pointers."	"A3CPU/Nano CPU internals, direct guest pointer, GDP layout."	"adapter-softpc"	"Bochs-replacement profile exclusion pending a separately proven selector-blind typed CPU transaction; source body cannot bind to Bochs internals"	"Atomic CPU-frame transaction design and SoftPC facade ABI audit"	"nt_cpu.c:157-265"	"reviewed-provisional-not-enabled"
"MVDM-SPC-005"	"softpc.new/host/src/nt_emm.c"	"148-800"	"host_initialise_EM / host_map_page / host_unmap_page / EMM copy-exchange"	"Manage expanded-memory pages and conventional-memory transfers with original SUCCESS/FAILURE contracts."	"Historical EMM storage pointers and SAS-backed conventional memory."	"adapter-softpc -> adapter-bochs; session"	"same-shaped EMM facade review; no native pointer is exposed in an original 32-bit storage ID"	"Guest physical-page mapping/seam; session host-resource mapping; XMS/UMB/EMM package audit"	"nt_emm.c:148-800"	"reviewed-provisional-not-enabled"
"MVDM-SPC-006"	"softpc.new/host/src/x86_emm.c"	"139-938"	"x86 MONITOR EMM page allocation/map/unmap/copy-exchange"	"Preserve the original x86 EMM API/failure shape while mapping or holding LIM gaps."	"Private NT section/view mapping, process handle and historical Intel address space."	"adapter-softpc -> adapter-bochs; session"	"same-shaped EMM facade review; original NtMapViewOfSection mechanics are not directly enabled"	"Guest physical-page mapping seam; session mapping; adapter-vdm-monitor/adapter-vdd review"	"x86_emm.c:139-938"	"reviewed-provisional-not-enabled"
"MVDM-SPC-007"	"softpc.new/host/src/nt_mem.c"	"163-1018"	"InitIntelMemory / VdmAllocateVirtualMemory / Commit/DeCommit/Free/Reallocate/Add/Remove"	"Reserve and manage original Intel linear allocation metadata, addresses and NTSTATUS results."	"Private process virtual-memory reservation/commit plus direct Intel-memory base pointers."	"adapter-softpc -> adapter-bochs; session"	"source-derived same-shaped memory-facade review; no host virtual address may become an MVDM linear address"	"Bochs-owned guest-RAM/page mapping model; session mapping manager; device/VDD memory-map audit"	"nt_mem.c:163-1018"	"reviewed-provisional-not-enabled"
"MVDM-SPC-008"	"softpc.new/host/src/nt_sas.c"	"23-120"	"host_sas_funcs and forward address helpers"	"Expose original SAS function-table ordering and address-forwarding helpers for host-side access."	"Raw M-area host pointers and SAS implementation."	"adapter-softpc"	"same-shaped SAS table review; native pointer return is limited to bounded checked leases"	"Guest-memory checked lease and adapter-bochs read/write facade"	"nt_sas.c:23-120"	"reviewed-provisional-not-enabled"
"MVDM-SPC-009"	"softpc.new/host/src/nt_umb.c"	"44-1150"	"ReserveUMB / ReleaseUMB / InitUMBList / VDD*UMB"	"Maintain original UMB owner transitions (RAM, EMM, XMS, ROM, VDD), validation and Win32-error outcomes."	"Private NT section mapping, hardware-description registry and VDD memory hooks."	"adapter-softpc; adapter-vdd; adapter-win32; session"	"cross-owner UMB prerequisite; retain original owner-state algorithm but do not enable private section/registry implementation"	"Bochs physical UMB/page mapping seam; VDD interface audit; public Win32 registry/section disposition; XMS/EMM recovery"	"nt_umb.c:44-1150; external boundaries MVDM-CALL-060628..060631"	"reviewed-provisional-not-enabled"
"MVDM-SPC-010"	"softpc.new/host/src/sim32.c"	"79-385"	"Sim32pGetVDMPointer / ExpSim32GetVDMPointer / Sim32*Memory / sim32_effective_addr"	"Preserve SIM32 address translation and read/write/flush/free API forms; original pointer result is a synchronous host view of guest memory."	"SAS/GMI descriptor lookup, raw M-area pointer and video scratch buffer."	"adapter-softpc; session; adapter-bochs"	"same-shaped SIM32 facade review; only a bounded checked lease may yield a native pointer"	"Guest-memory mapping manager; adapter-bochs checked RAM operations; protected-mode descriptor evidence"	"sim32.c:79-263; external boundaries MVDM-CALL-060951, MVDM-CALL-060955, MVDM-CALL-060959"	"reviewed-provisional-not-enabled"
