family	selected_original_roots	formal_state	lifecycle_owner	retained_non_original_form	immediate_disposition	required_witness
ccpu-fpu-sas	softpc.new/base/ccpu386 (131 selected sources); softpc.new/host/src/{nt_cpu,nt_cprgs,nt_sas}.c	selected in formal x86 CCPU40 graph	S2	ccpu386/localfm.c; sas_overwrite_memory.c overlay	retain pending S2 source-contract reread	create -> c_cpu_init -> host_cpu_reset -> bounded stop
ems-umb	softpc.new/base/dos/emm_mngr.c; xms.486; host/src/{nt_emm,nt_umb}.c	selected in formal x86 graph	S2	xms_a20_state.c; mvdm_umb_address.c overlay	retain pending S2 mapping and UMB lifecycle reread	allocation/A20/UMB negative and bounded positive path
bios-rom-cmos	softpc.new/base/{bios,system}; host/src/{nt_rez,nt_msscs,nt_reset}.c	selected in formal x86 graph	S2	registered source-local firmware/resource divergences	retain only source-registered forms; remove any new route found	resource root -> read_rom -> reset path
pic-pit-dma-timer	softpc.new/base/system; host/src/{nt_timer,nt_eoi,nt_event}.c	selected in formal x86 graph	S3	registered timer APC/controlled-stop binding	retain pending S3 controller lifecycle reread	initialize -> bounded IRQ/tick or explicit unavailable -> teardown
keyboard-mouse	softpc.new/base/keymouse; host/src/{nt_input,nt_keycd,nt_mouse}.c	selected in formal x86 graph	S3	public Win32 console binding	retain pending S3 input lifecycle reread	controller init plus bounded input/negative endpoint
video-cvidc	softpc.new/base/{video,cvidc}; host/src/{nt_cga,nt_ega,nt_vga,nt_graph}.c	selected in formal x86 graph	S4	mvdm_gdp_state.c overlay; public-GDI/session presenter binding	retain pending S4 controller/presentation boundary reread	controller startup plus explicit presenter result
storage-floppy	softpc.new/base/disks; host/src/{nt_fdisk,nt_rflop}.c	selected in formal x86 graph	S4	public fixed-volume binding; remote-floppy unavailable	retain pending S4 source-owner reread	bounded fixed/removable negative or safe endpoint result
communications	softpc.new/base/comms; host/src/{nt_com,nt_wcom,nt_lpt}.c	selected in formal x86 graph	S4	public serial binding; PRINTER-unselected branches	retain pending S4 endpoint reread	serial startup/close or explicit unavailable result
host-platform-session	softpc.new/host/src/{sim32,nt_unix,nt_hosts,nt_thred,nt_det}.c	selected in formal x86 graph	S2-S5	same-shaped adapter-mvdm-host-out and session bindings	retain pending each owning cohort; no duplicate session owner	create/teardown and typed controlled-stop result
support-trace	softpc.new/base/{support,debug}; mvdm-support/{suballoc,oemuni}	selected in formal x86 graph	S5	no replacement executor; original trace and support bodies	retain pending final lifecycle reread	teardown preserves process and source failure result
route-purity	all selected roots plus mvdm-host-overlay	formal graph has forbiddenInputs assertion	S1-S5	17 overlay files; 11 mirror source files with DIVERGENCE markers	no retired Bochs/src.old names found; each later S rechecks its reached set	negative source/build scan and final graph scan
