interface_family	original_paths	original_contract	first_usable_recovery_rung	selected_boundary	status	recovery_group
dispatcher register/frame access	vrdisp.c; all provider bodies	get/set register helpers and BOP service frame	same-shaped SoftPC facade	adapter-mvdm-host-out/softpc mvdm_command_registers	interface binding required; no selector route	S3/S4/S5
real/protected guest aliases	vrdisp.c; vrnmpipe.c; vrmslot.c; vrnetapi.c; vrremote.c; vrdlc*.c	GetVDMAddr/Sim32GetVDMPointer transient DOS bytes	same-shaped bounded lease/copy facade	adapter-mvdm-host-out/softpc plus session guest_memory mapping instance	interface binding required; durable alias forbidden	S3/S4/S5
host resource identity	vrnmpipe.c; vrmslot.c	32-bit historical HANDLE/16-bit DOS map persistence	same-shaped opaque identity facade	adapter-mvdm-host-out/redir binding plus adapter-mvdm-host-out/softpc mvdm_host_identity and session host_resource mapping instance	S3 binds original HANDLE_FROM_WORDS through opaque resolution; raw HANDLE forbidden	S3/S4
sync named pipes	vrnmpipe.c	CreateFile/GetNamedPipeInfo/Peek/Transact/Call/Wait and original error ordering	public Win32 through same-shaped facade	adapter-mvdm-host-out/win32 and adapter-mvdm-host-out/redir	S3 P6/P8/P9/P10/P11/P12/P13 execute original classification, open-list lifecycle, read/write, BP:BX opaque-handle state, DS:SI bounded `PIPEINFO`/peek spans, source mode conversion, DS:SI plus ES:DI transaction spans, and DS:DX name/timeout wait; Call remains selector-disabled pending its distinct structured far-pointer contract	S3
local mailslots	vrmslot.c	CreateMailslot/CreateFile/ReadFile/WriteFile and original error ordering	public Win32 through same-shaped facade	adapter-mvdm-host-out/win32 and adapter-mvdm-host-out/redir	candidate for original-body composition	S4
async pipe events	vrnmpipe.c; vrinit.c	OVERLAPPED/event queues, cancellation and completion ordering	same-shaped session record and public Win32 facade	session plus adapter-mvdm-host-out/{redir,win32}	original cdecl CreateThread form now binds to source-defined ERROR_CALL_NOT_IMPLEMENTED; no guest callback or worker success until S4 thunk	S4
physical completion interrupt	vrinit.c; vrnetb.c; vrdlcpst.c	call_ica_hw_interrupt, dismiss/EOI and NETWORK IRQ delivery	selector-blind mechanical operation	adapter-bochs; later product composition	unavailable until typed physical completion delivery is admitted	S4/S5
VDD user hook	vrinit.c	VDDInstallUserHook suspend/resume/terminate callbacks	original unavailable historical product dependency	later VDD/debugger owner package	S3 P5 formally executes the original VDD-rejection result; retain that initialization failure direction until the VDD owner is admitted	S5/queue candidate 6
NetAPI public subset	vrnetapi.c; vrremote.c	NetWksta*/NetApiBufferFree and selected public management calls	public Win32 through same-shaped facade	adapter-mvdm-host-out/win32	candidate for original-body composition after checked marshal binding	S5
NetAPI private Xs/Rx/broker subset	vrnetapi.c; vrremote.c	XsNet*, RxNet*, NetpNtStatusToApiStatus, old remote descriptor protocol	same-shaped adapter only if a public call retains the source result	adapter-mvdm-host-out/redir plus adapter-mvdm-host-out/win32	must be audited per original call; otherwise source-defined unavailable	S5
NetBIOS NCB	vrnetb.c	Netbios NCB submit/post callback and guest ANR completion	same-shaped session/Win32/IRQ composition	adapter-mvdm-host-out/{redir,win32}; session; adapter-bochs	unavailable until completion and callback contract is closed	S5
DLC/LLC private driver	vrdlc5c.c; vrdlcbuf.c; vrdlcpst.c; vrdll.c	AcsLan/NtAcsLan dynamic DLL and DLC device/worker semantics	original unavailable result	adapter-mvdm-host-out/redir preserves LoadDlcDll failure form	no public modern semantic equivalent; no synthetic DLC provider	S5
VDM window/monitor state	vrdlc5c.c; vrinit.c	VDM_REDIR_DOS_WINDOW and monitor scheduling state	same-shaped monitor/session binding	monitor and session	unavailable until guest-visible projection is admitted	S5/queue candidate 8
COMMAND broker consumer	cmdredir.c	standard-stream pipe routing and child record order	direct original COMMAND source through existing session lifecycle	mvdm-host dos/command plus session	S3 P7 executes source-shaped standard-handle classification/notification/cleanup without a second broker; legacy AX:BX pointer/HANDLE marshalling and pipe worker branches require their named session mapping/lifecycle closure	S3
DEM pipe consumer	dos/dem/demfile.c; dos/dem/demgset.c	remote/pipe EOF and file completion behavior	direct original DEM source through Redirector facade	mvdm-host dos/dem plus adapter-mvdm-host-out/redir	remains source-defined unavailable until selected Redirector group composes	S3
diagnostics	vrdebug.c; vrdlcdbg.c	DbgPrint/debug parsing and register/memory observation	original optional diagnostic source	adapter-mvdm-host-out/softpc copied observation only	default-off; never an execution dependency	S6
