item_id	original_source	original_contract	modern_disposition	current_owner	verification_or_transfer
T288-S4-01	v86/monitor/i386/sas.c:sas_init/sas_term/sas_memory_size	Create/tear down the historical SAS numeric-address space and report its size	adapter-backed: retain only Bochs-reported numeric capacity; do not reserve low host virtual addresses or map NT sections	adapter-mvdm-host-out/softpc:mvdm_sas.c	Formal x86/x64 SAS fixture proves initialization and termination
T288-S4-02	v86/monitor/i386/sas.c:sas_hw_at/sas_w_at/sas_dw_at/sas_load/sas_loadw/sas_store/sas_storew/sas_storedw	Read/write scalar bytes, words and dwords through SAS	adapter-backed: preserve numeric forms and little-endian results through checked typed Bochs RAM operations	adapter-mvdm-host-out/softpc:mvdm_sas.c -> adapter-bochs	Formal x86/x64 SAS fixture proves scalar and boundary behavior
T288-S4-03	v86/monitor/i386/sas.c:sas_loads/sas_stores/sas_move_bytes_*/sas_move_words_*/sas_fills/sas_fillsw	Copy, move and fill numeric guest spans	adapter-backed: source-shaped operation with bounded checked Bochs operations; transient host buffer never represents guest RAM	adapter-mvdm-host-out/softpc:mvdm_sas.c -> adapter-bochs	Formal x86/x64 SAS fixture proves string, overlapping move and fill behavior
T288-S4-04	v86/monitor/i386/sas.c:*_no_check	Historically bypass SAS checks by dereferencing a numeric host address	adapter-backed with registered safety divergence: retain name/result form but never bypass Bochs range or ROM checks	adapter-mvdm-host-out/softpc:mvdm_sas.c	Formal x86/x64 SAS fixture proves rejected boundary remains FE/FEFE
T288-S4-05	v86/monitor/i386/sas.c:sas_enable_20_bit_wrapping/sas_disable_20_bit_wrapping/sas_twenty_bit_wrapping_enabled	Control historical A20 wrapping	already adapter-backed through same-shaped facade	adapter-mvdm-host-out/softpc:mvdm_a20.c -> adapter-bochs	T287 S3/T287 S6 x86/x64 evidence
T288-S4-06	v86/monitor/i386/sas.c:sas_connect_memory/sas_memory_type	Maintain RAM/ROM/video/wrap/inaccessible memory-type map	unresolved machine-owner transfer: a second SAS type map would duplicate Bochs RAM/ROM/MMIO ownership	adapter-bochs / later T288 machine-profile linkage	No API is added until a reached original caller proves a bounded typed machine query is required
T288-S4-07	v86/monitor/i386/sas.c:sas_scratch_address/effective_addr	Return durable raw host/guest pointers	unavailable in current profile: raw pointer cannot cross component or bounded-lease boundary	later explicitly bounded GetVDMAddr-style owner only if source reachability proves it	No general pointer seam is created by T288 S4
T288-S4-08	v86/monitor/i386/sas.c:gmi_*/HoldEMMBackfillMemory	Install memory handlers and manipulate EMM backfill mappings	unresolved machine-owner transfer: handler tables/backfill are Bochs machine mechanics, not host SAS policy	bochs-core through adapter-bochs, later T288 linkage	No duplicate handler table or allocator is added
T288-S4-09	v86/monitor/i386/spcstubs.c	Historical CCPU Yoda descriptor/control-state stubs	not-host-runtime: zero-return stubs cannot represent Bochs CPU state	bochs-core native CPU through later adapter-bochs typed additions if reached	Do not enable or treat the historical stubs as CPU semantics
T288-S4-10	v86/monitor/i386/{monitor,thread,int}.c	Kernel/CCPU execution loop, event dispatch, thread and interrupt lifecycle	later T288 monitor-lifecycle linkage; requires completed typed executor/event producer and original-owner partition	T288 S5/S6, then named BOP/VDD/debugger/DPMI owners	No route, IRQ shell, kernel VDM or second CPU executor is enabled
