id	phase	original_owner	original_site_or_symbol	original_contract	dependency_boundary	current_source_and_build_disposition	next_disposition
T341-S1-01	selection	mvdm-host/softpc.new/host/src/nt_msscs.c	InitialiseDosEmulation -> SetupInstallableVDD	Original startup reads the installed multi-string VDD configuration, loads each selected VDD, then continues with the normal machine and SCS initialization order.	NT4 product-global VirtualDeviceDrivers registry and SafeLoadLibrary.	Original body is selected in the formal CPU40 graph. MVDM-HOST-DIV-148 preserves query/enumeration/error order but makes a missing retired key select no installable VDD for this session.	Retain explicit no-installable-VDD default; a future admitted provider must use the original selection/teardown contract rather than load a sample.
T341-S1-02	classification	mvdm-host/vdd/samples/*	vsbd, adlibvdd, sample1, sample2, mscdex and fax examples	These are individual historical VDD products demonstrating the public API, not implementations of the VDD host-service plane.	Each sample owns a device-specific DLL, guest stub and external product assumptions.	Present only as original reference/tool material; no source is a formal runtime input.	Sample/tool-only; prohibit selection, loading or use as a generic VDD provider.
T341-S1-03	classification	mvdm-host/ieuvddex/*	IEU VDD extension	Debugger/extension package, not a VDD host-service provider.	Debugger, monitor and extension product shell.	No selected formal runtime input.	Debugger owner transfer; exclude from T341 runtime closure.
T341-S1-04	bop-table	mvdm-host/softpc.new/host/src/nt_vdd.c	ms_bop, get_ms_bop_index, free_MS_bop_index	Original finite MS BOP callback slot table; invalid entries retain original debug-only illegal-BOP direction.	Original SoftPC BOP execution and selected owner callback registration.	Original body is in the selected host source. It is not a DOS/DEM BOP selector dispatcher and has no selected external VDD caller.	Retain as original SoftPC-local mechanism; no adapter-bop provider or synthetic callback is admitted.
T341-S1-05	io	mvdm-host/softpc.new/host/src/nt_vdd.c	GetVddAdapter / FreeVddAdapter	One finite SoftPC spare-adapter slot per VDD HANDLE; duplicate and exhaustion errors are original.	Native VDD module HANDLE; SoftPC IO adapter table.	Original body is built. No selected VDD module supplies a HANDLE in the current profile.	Keep body and failure behavior; a future loader must obtain an opaque session-owned handle before invoking it.
T341-S1-06	io	mvdm-host/softpc.new/host/src/nt_vdd.c	VDDInstallIOHook / VDDDeInstallIOHook	Validate handler pointers, reserve one adapter, connect all requested ports atomically or roll back; uninstall restores the original default-port behavior.	Original IO tables and optional MONITOR printer linkage.	Original CPU40 source is built; no selected VDD invokes it. MONITOR printer calls are compile-time monitor-only and not a user-mode recovery target.	Retain original local body; machine IO and kernel-monitor printer interception remain distinct owners.
T341-S1-07	irq	mvdm-host/softpc.new/host/src/nt_vdd.c	VDDReserveIrqLine / VDDReleaseIrqLine	Original finite IRQ 0..15 reservation table with ICA locking and original invalid-parameter failure.	SoftPC ICA lock and simulated-interrupt machine capability.	Original source is built. No selected VDD asks for IRQ reservation.	Retain source-shaped table; simulated interrupt delivery belongs to the SoftPC machine package, not a VDD shim.
T341-S1-08	dma	mvdm-host/softpc.new/host/src/nt_vdd.c	VDDRequestDMA / VDDQueryDMA / VDDSetDMA	Original DMA channel validation, controller-state access, transfer/count results and error values.	SoftPC original DMA controller and process-local VDD buffer.	Original source is built. No selected VDD calls the API; no raw buffer crosses a guest boundary in the selected no-VDD profile.	Retain original body; any future VDD buffer bridge requires a separately admitted session mapping/lease contract.
T341-S1-09	memory	mvdm-host/softpc.new/host/src/nt_msscs.c	VDDInstallMemoryHook / VDDDeInstallMemoryHook	Original page-rounded VDD UMB reservation and ordered memory-hook list; overlapping or invalid request fails.	Original UMB/SAS allocation and memory-fault delivery.	Original bodies are built. MVDM-HOST-DIV-063 preserves PVOID public shape while encoding/decoding the Intel physical numeric carrier through the existing UMB mapping boundary.	Retain original UMB algorithm and narrow mapping divergence; kernel page-fault delivery itself is not recreated.
T341-S1-10	memory	mvdm-host/softpc.new/host/src/nt_msscs.c	VDDAllocMem / VDDFreeMem / VDDIncludeMem / VDDExcludeMem / DispatchPageFault	Original VDD-owned UMB commit/decommit and memory-handler dispatch contracts.	UMB owner, original VDD callback and NT kernel VDM page-fault mechanism.	Original bodies are built; VDDIncludeMem and VDDExcludeMem remain unpublished historical forms, and no selected provider installs a memory handler.	Keep source as evidence/local API body; transfer actual external VDD memory-fault lifecycle to a future admitted VDD+monitor cohort.
T341-S1-11	lifecycle	mvdm-host/softpc.new/host/src/nt_msscs.c	VDDInstallUserHook / VDDDeInstallUserHook / VDDCreateUserHook / VDDTerminateUserHook / VDDBlockUserHook / VDDResumeUserHook	Original per-VDD callback list preserves PDB create/terminate and block/resume notification ordering.	Original DOS PDB lifecycle plus BaseSrv/command/redirector wait/resume composition.	Original list bodies are built. The only identified non-sample caller is original VDMREDIR, which is not selected in the current profile.	Retain body and no-caller state; Redirector owner package must supply its original lifecycle before this becomes externally active.
T341-S1-12	synchronous-reentry	mvdm-host/softpc.new/host/src/nt_msscs.c	VDDSimulate16	Original synchronous transition into guest code until its VDDUnSimulate16 return contract.	SoftPC CPU40 cpu_simulate plus original VDDUnSimulate16 BOP/monitor stop protocol.	Original one-call body is built; no selected VDD or sample exercises it.	Transfer full transaction proof to a future VDD/monitor package; do not equate a bare CPU loop with completed VDD semantics.
T341-S1-13	termination	mvdm-host/softpc.new/host/src/nt_msscs.c	VDDTerminateVDM / HostTerminatePDB	Original VDD termination calls current VDM stop and floppy/fdisk PDB cleanup in order.	Session controlled-stop and original peripheral PDB owners.	Original bodies are built; no selected VDD invokes them.	Retain source body; session controlled-stop is the current bounded termination owner.
T341-S1-14	dos-handle	mvdm-host/dos/dem/demfile.c	VDDAllocateDosHandle / VDDAssociateNtHandle / VDDReleaseDosHandle / VDDRetrieveNtHandle	Original VDD-DOS SFT/JFT association and release APIs bridge a DOS handle with a host resource.	DEM SFT/JFT plus session host-resource mapping and checked guest leases.	Selected original DEM forms are built with the existing mvdm_vdd_sft_shadow boundary where the historical direct host-handle/SFT pointer representation cannot cross current session boundaries.	Retain original DEM algorithm and declared mapping boundary; no second VDD handle manager is admitted.
T341-S1-15	public-surface	mvdm-host/softpc.new/obj.vdm/obj/i386/ntvdm.def	VDD exports 183..206	The original public NTVDM surface is the union of IO, IRQ, DMA, memory, lifecycle, synchronous re-entry and DOS-handle APIs.	VDD DLL ABI; callers may be samples, Redirector, product extensions or monitor code.	All non-sample production definitions named by this ledger are selected in the formal CPU40 build; a link symbol is not evidence of provider lifecycle activation.	Treat this ledger, rather than an individual export, as the VDD owner-package contract.
T341-S1-16	selection-result	current product profile	MVDM-HOST-DIV-148 selected configuration result	No registry configuration is an explicit no-installable-VDD session selection, not a fabricated success response from an invented device provider.	App-selected product configuration via adapter-mvdm-host-out/softpc/mvdm_softpc_vdd_configuration.c.	Formal graph includes original VDD bodies and the named configuration boundary; it selects none.	Close S1 with no sample/provider recovery cohort; S2 may only verify this selected original no-provider package closure.
