"file_id"	"target_path"	"package_root"	"scan_state"	"candidate_count"	"evidence"
"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"c-like-lexical-scan"	"71"	"bde/bdecmds.c"
"MVDM-FILE-0004"	"bde/bdeheap.c"	"bde"	"c-like-lexical-scan"	"54"	"bde/bdeheap.c"
"MVDM-FILE-0005"	"bde/bdemisc.c"	"bde"	"c-like-lexical-scan"	"104"	"bde/bdemisc.c"
"MVDM-FILE-0006"	"bde/bdestack.c"	"bde"	"c-like-lexical-scan"	"103"	"bde/bdestack.c"
"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"c-like-lexical-scan"	"199"	"bde/bdesym.c"
"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"c-like-lexical-scan"	"95"	"bde/bdeutil.c"
"MVDM-FILE-0009"	"bde/data.c"	"bde"	"c-like-lexical-scan"	"0"	"bde/data.c"
"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"c-like-lexical-scan"	"315"	"bde/disasm.c"
"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"c-like-lexical-scan"	"468"	"dbg/dbg.c"
"MVDM-FILE-0018"	"dos/command/cmd.c"	"dos"	"c-like-lexical-scan"	"2"	"dos/command/cmd.c"
"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"c-like-lexical-scan"	"135"	"dos/command/cmdconf.c"
"MVDM-FILE-0021"	"dos/command/cmddata.c"	"dos"	"c-like-lexical-scan"	"0"	"dos/command/cmddata.c"
"MVDM-FILE-0022"	"dos/command/cmddisp.c"	"dos"	"c-like-lexical-scan"	"4"	"dos/command/cmddisp.c"
"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"c-like-lexical-scan"	"114"	"dos/command/cmdenv.c"
"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"c-like-lexical-scan"	"145"	"dos/command/cmdexec.c"
"MVDM-FILE-0025"	"dos/command/cmdexit.c"	"dos"	"c-like-lexical-scan"	"2"	"dos/command/cmdexit.c"
"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"c-like-lexical-scan"	"38"	"dos/command/cmdkeyb.c"
"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"c-like-lexical-scan"	"204"	"dos/command/cmdmisc.c"
"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"dos"	"c-like-lexical-scan"	"44"	"dos/command/cmdpif.c"
"MVDM-FILE-0031"	"dos/command/cmdredir.c"	"dos"	"c-like-lexical-scan"	"155"	"dos/command/cmdredir.c"
"MVDM-FILE-0034"	"dos/dem/dem.c"	"dos"	"c-like-lexical-scan"	"8"	"dos/dem/dem.c"
"MVDM-FILE-0036"	"dos/dem/demdasd.c"	"dos"	"c-like-lexical-scan"	"157"	"dos/dem/demdasd.c"
"MVDM-FILE-0038"	"dos/dem/demdata.c"	"dos"	"c-like-lexical-scan"	"0"	"dos/dem/demdata.c"
"MVDM-FILE-0039"	"dos/dem/demdir.c"	"dos"	"c-like-lexical-scan"	"39"	"dos/dem/demdir.c"
"MVDM-FILE-0040"	"dos/dem/demdisp.c"	"dos"	"c-like-lexical-scan"	"44"	"dos/dem/demdisp.c"
"MVDM-FILE-0041"	"dos/dem/demerror.c"	"dos"	"c-like-lexical-scan"	"103"	"dos/dem/demerror.c"
"MVDM-FILE-0042"	"dos/dem/demfcb.c"	"dos"	"c-like-lexical-scan"	"173"	"dos/dem/demfcb.c"
"MVDM-FILE-0043"	"dos/dem/demfile.c"	"dos"	"c-like-lexical-scan"	"163"	"dos/dem/demfile.c"
"MVDM-FILE-0044"	"dos/dem/demgset.c"	"dos"	"c-like-lexical-scan"	"146"	"dos/dem/demgset.c"
"MVDM-FILE-0045"	"dos/dem/demhndl.c"	"dos"	"c-like-lexical-scan"	"146"	"dos/dem/demhndl.c"
"MVDM-FILE-0046"	"dos/dem/demioctl.c"	"dos"	"c-like-lexical-scan"	"147"	"dos/dem/demioctl.c"
"MVDM-FILE-0047"	"dos/dem/demlabel.c"	"dos"	"c-like-lexical-scan"	"7"	"dos/dem/demlabel.c"
"MVDM-FILE-0048"	"dos/dem/demlock.c"	"dos"	"c-like-lexical-scan"	"16"	"dos/dem/demlock.c"
"MVDM-FILE-0049"	"dos/dem/demmisc.c"	"dos"	"c-like-lexical-scan"	"140"	"dos/dem/demmisc.c"
"MVDM-FILE-0050"	"dos/dem/demmsg.c"	"dos"	"c-like-lexical-scan"	"3"	"dos/dem/demmsg.c"
"MVDM-FILE-0052"	"dos/dem/demsrch.c"	"dos"	"c-like-lexical-scan"	"340"	"dos/dem/demsrch.c"
"MVDM-FILE-0061"	"dpmi/486/dxboot.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/486/dxboot.asm"
"MVDM-FILE-0062"	"dpmi/486/dxfunc.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/486/dxfunc.asm"
"MVDM-FILE-0063"	"dpmi/486/dxint31.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/486/dxint31.asm"
"MVDM-FILE-0064"	"dpmi/486/dxintr.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/486/dxintr.asm"
"MVDM-FILE-0065"	"dpmi/486/dxmain.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/486/dxmain.asm"
"MVDM-FILE-0066"	"dpmi/486/dxstrt.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/486/dxstrt.asm"
"MVDM-FILE-0067"	"dpmi/486/dxutil.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/486/dxutil.asm"
"MVDM-FILE-0073"	"dpmi/dxboot.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxboot.asm"
"MVDM-FILE-0074"	"dpmi/dxbug.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxbug.asm"
"MVDM-FILE-0075"	"dpmi/dxdisk.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxdisk.asm"
"MVDM-FILE-0076"	"dpmi/dxdma.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxdma.asm"
"MVDM-FILE-0077"	"dpmi/dxemm.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxemm.asm"
"MVDM-FILE-0078"	"dpmi/dxemm2.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxemm2.asm"
"MVDM-FILE-0079"	"dpmi/dxend.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxend.asm"
"MVDM-FILE-0080"	"dpmi/dxendpm.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxendpm.asm"
"MVDM-FILE-0081"	"dpmi/dxfind.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxfind.asm"
"MVDM-FILE-0082"	"dpmi/dxfunc.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxfunc.asm"
"MVDM-FILE-0083"	"dpmi/dxhpbios.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxhpbios.asm"
"MVDM-FILE-0084"	"dpmi/dxini.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxini.asm"
"MVDM-FILE-0085"	"dpmi/dxint31.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxint31.asm"
"MVDM-FILE-0086"	"dpmi/dxintr.asm"	"dpmi"	"not-c-like-lexical-scan"	"0"	"dpmi/dxintr.asm"
