bop	original_handler	original_source	current_disposition	formal_local_evidence	remaining_prerequisite_or_owner
53:00	DpmiSetDescriptorEntry	dpmi32/dpmiselr.c	original body locally composed; its historical host-LDT final call retains original FALSE failure	t289-s4-dpmi-composition-fixture x86/x64	Bochs-native descriptor publication before a success result
53:01	switch_to_protected_mode	dpmi32/i386/dpmi386.c	source-proven unavailable: raw SS:SP alias, direct CS/SS/EIP/ESP/CR0 writes and fixed VDM state mutation are not a valid modern product path	t289-s2 protected-machine interface audit	future selector-blind mode-transition owner; no DPMI-specific core change
53:02	DpmiSetProtectedmodeInterrupt	dpmi32/dpmiint.c	original registration body locally composed; handler delivery remains unavailable	t289-s5-dpmi-registration-fixture x86/x64	protected interrupt dispatch and DOSX frame lifecycle
53:03	DpmiGetFastBopEntry	dpmi32/i386/dpmi386.c plus v86/monitor/i386/fastpm.asm	source-proven unavailable: original monitor fast-PM entry publication is not present	t289-s1 source/ABI admission audit	monitor-owned fast protected-mode entry lifecycle
53:04	DpmiInitDosx	dpmi32/dpmi32.c	original body locally composed with bounded protected copy and numeric session state	t289-s4-dpmi-composition-fixture x86/x64	DOSX guest consumes state only after later protected runtime admission
53:05	DpmiInitApp	dpmi32/dpmi32.c	original body locally composed with bounded protected copy and numeric session state	t289-s4-dpmi-composition-fixture x86/x64	DOSX application continuation and protected runtime
53:06	DpmiXlatInt21Call	dpmi32/int21map.c	source-proven unavailable: full original translation holds raw protected aliases and needs DEM/COMMAND plus PM-to-real transition	t289-s1 source/ABI admission audit	cross-package DPMI-to-DEM transport owner
53:07	DpmiAllocateXmem	dpmi32/xmem.c	original body locally composed; pointer-shaped XMEM handle is a session opaque 32-bit identity	t289-s4-dpmi-composition-fixture x86/x64	BOP ingress only after package admission
53:08	DpmiFreeXmem	dpmi32/xmem.c	original body locally composed including stale-identity carry failure	t289-s4-dpmi-composition-fixture x86/x64	BOP ingress only after package admission
53:09	DpmiReallocateXmem	dpmi32/xmem.c	original body locally composed	t289-s4-dpmi-composition-fixture x86/x64	BOP ingress only after package admission
53:0A	DpmiSetFaultHandler	dpmi32/dpmiint.c	original registration body locally composed; fault delivery remains unavailable	t289-s5-dpmi-registration-fixture x86/x64	protected fault dispatch and DOSX frame lifecycle
53:0B	DpmiGetMemoryInfo	dpmi32/dpmimemr.c	original body locally composed with bounded protected response copy	t289-s4-dpmi-composition-fixture x86/x64	BOP ingress only after package admission
53:0C	DpmiDpmiInUse	dpmi32/i386/dpmimisc.c	original x86 body is a deliberate no-op and is locally executed	t289-s6-dpmi-vdd-misc-fixture x86/x64	none for the original x86 disposition
53:0D	DpmiDpmiNoLongerInUse	dpmi32/i386/dpmimisc.c	original x86 body is a deliberate no-op and is locally executed	t289-s6-dpmi-vdd-misc-fixture x86/x64	none for the original x86 disposition
53:0E	DpmiSetDebugRegisters	dpmi32/i386/dpmi386.c	source-proven unavailable: historical monitor ThreadSetDebugContext would program host thread registers, not Bochs CPU debug state	t289-s1 source/ABI admission audit	adapter-bochs debug-register operation plus monitor/debugger owner package
53:0F	DpmiPassTableAddress	dpmi32/dpmi32.c	original source order locally composed; historical host LDT and Intel-base aliases retain numeric/unavailable disposition	t289-s4-dpmi-composition-fixture x86/x64	Bochs-native descriptor publication before a guest-visible table is usable
53:10	DpmiFreeAppXmem	dpmi32/xmem.c	original owner-sweep body locally composed and stale-handle failure checked	t289-s4-dpmi-composition-fixture x86/x64	BOP ingress only after package admission
53:11	DpmiPassPmStackInfo	dpmi32/dpmiint.c	original source order locally composed; CX:DX returns session opaque identity rather than a host pointer	t289-s5-dpmi-registration-fixture x86/x64	monitor-owned guest-visible VDM-TIB/DOSX projection
53:12	DpmiVcdPmSvcCall32	dpmi32/vxd.c	original public-registry VCD version and serial-port bitmap branches locally composed	t289-s6-dpmi-vdd-misc-fixture x86/x64	VDD broker for remaining VCD operations remains unavailable
53:13	DpmiFreeAllXmem	dpmi32/xmem.c	original whole-list release body locally composed including identity retirement	t289-s4-dpmi-composition-fixture x86/x64	BOP ingress only after package admission
53:14	DpmiIntHandlerIret16	dpmi32/dpmiint.c	source-proven unavailable: needs protected DOSX 16-bit stack frame and atomic IRET commit	t289-s5-p4 dependency audit	protected interrupt/fault runtime owner
53:15	DpmiIntHandlerIret32	dpmi32/dpmiint.c	source-proven unavailable: needs protected DOSX 32-bit stack frame and atomic IRET commit	t289-s5-p4 dependency audit	protected interrupt/fault runtime owner
53:16	DpmiFaultHandlerIret16	dpmi32/dpmiint.c	source-proven unavailable: needs protected DOSX 16-bit fault frame and atomic IRET commit	t289-s5-p4 dependency audit	protected interrupt/fault runtime owner
53:17	DpmiFaultHandlerIret32	dpmi32/dpmiint.c	source-proven unavailable: needs protected DOSX 32-bit fault frame and atomic IRET commit	t289-s5-p4 dependency audit	protected interrupt/fault runtime owner
53:18	DpmiUnhandledExceptionHandler	dpmi32/dpmiint.c	source-proven unavailable: requires descriptor-aware fault reflection and DOSX fault stubs	t289-s5-p4 dependency audit	protected interrupt/fault runtime owner
