cluster_id	review_cluster	profile_class	candidate_count	source_file_count	candidate_kinds	review_state	required_source_review
T310-S8-P4-CLUSTER-001	SPC-CCPU-ACCESS-TABLE	selected-softpc-machine-source	529	2	function-pointer-declaration-or-slot:214;function-pointer-indirect-call:315	selected-initializer-closed-consumer-audit-pending	The active CPU-30 CCPU initializer's 62 slots are source-contract closed and x86/x64 compiled. The remaining 315 indirect-call candidates require their own caller/conditional audit; do not infer closure from the initializer alone.
T310-S8-P4-CLUSTER-002	MVDM-WOW32-OWNER-PACKAGE	unselected-owner-package-source	200	31	architecture-conditional:48;fixed-width-to-pointer-conversion:3;function-pointer-declaration-or-slot:2;function-pointer-indirect-call:136;pointer-to-fixed-width-conversion:11	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-003	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	162	11	architecture-conditional:13;function-pointer-indirect-call:147;pointer-to-fixed-width-conversion:2	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-004	SPC-HUNTER-UNSELECTED	unselected-debug-profile	148	1	function-pointer-declaration-or-slot:74;function-pointer-indirect-call:74	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-005	SPC-OTHER-MACHINE-SOURCE	selected-softpc-machine-source	110	20	architecture-conditional:1;function-pointer-declaration-or-slot:49;function-pointer-indirect-call:60	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-006	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	104	13	architecture-conditional:21;function-pointer-declaration-or-slot:1;function-pointer-indirect-call:82	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-007	SPC-SYSTEM-CONTROLLER-CALLBACKS	selected-softpc-machine-source	98	5	function-pointer-declaration-or-slot:11;function-pointer-indirect-call:86;pointer-to-fixed-width-conversion:1	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-008	SPC-HOST-PLATFORM-BINDINGS	selected-softpc-machine-source	85	14	architecture-conditional:1;fixed-width-to-pointer-conversion:1;function-pointer-declaration-or-slot:39;function-pointer-indirect-call:44	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-009	SPC-CCPU-EXECUTOR-DISPATCH	selected-softpc-machine-source	84	6	function-pointer-declaration-or-slot:2;function-pointer-indirect-call:77;pointer-to-fixed-width-conversion:5	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-010	SPC-VIDEO-CONTROLLER-DISPATCH	selected-softpc-machine-source	83	10	fixed-width-to-pointer-conversion:1;function-pointer-declaration-or-slot:11;function-pointer-indirect-call:71	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-011	SPC-SAS-MEMORY-CONTRACT	selected-softpc-machine-source	80	1	function-pointer-declaration-or-slot:40;function-pointer-indirect-call:40	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-012	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	68	11	architecture-conditional:23;function-pointer-declaration-or-slot:4;function-pointer-indirect-call:41	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-013	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	40	1	architecture-conditional:35;pointer-to-fixed-width-conversion:5	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-014	MVDM-SUPPORT-LIBRARY	support-library-source	28	9	architecture-conditional:11;function-pointer-declaration-or-slot:3;function-pointer-indirect-call:13;pointer-to-fixed-width-conversion:1	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
