interface_id	physical_original_caller	original_interface_shape	original_role	common_session_lifecycle	softpc_backend_disposition	bochs_backend_disposition	owner	next_s	boundary_or_failure_rule
SPC-IF-001	softpc.new/host/src/nt_cprgs.c	load_sw_cpu_access_functions(void); getXX_func/setXX_func tables; host_simulate_func	bind caller-visible CPU access functions to selected executor	bind only while session inactive; unbind before teardown	direct source binding candidate	adapter-backed existing typed facade	adapter-mvdm-host-out/softpc	S2/S3	No MVDM caller sees a backend type or raw CPU pointer.
SPC-IF-002	softpc.new/host/src/nt_cpu.c	host_start_cpu(void), host_simulate(void)	enter/continue original CPU execution	create or resume one selected active backend; return copied stop status	direct source candidate	adapter-backed finite resume	adapter-mvdm-host-out/softpc -> adapter-bochs	S2/S3	A session cannot call both execution paths while active.
SPC-IF-003	softpc.new/host/src/nt_cpu.c	host_set_hw_int(void), host_clear_hw_int(void), host_cpu_reset(void)	CPU interrupt/reset coordination	selected backend reset/interrupt request only	direct source candidate	adapter-backed typed mechanical request	adapter-mvdm-host-out/softpc	S2/S3	Preserve historical no-op branches until a reached caller proves a mechanical effect.
SPC-IF-004	softpc.new/host/src/nt_aorc.c	getAX/getBX/...; setAX/setBX/... mappings	provide historical register spelling to MVDM libraries	copied register operation; no partial cross-backend state	direct source candidate	adapter-backed copied frame/register facade	adapter-mvdm-host-out/softpc	S2/S3	No direct Bochs register/global access from mirror source.
SPC-IF-005	softpc.new/host/src/sim32.c	Sim32GetVDMPointer, Sim32FlushVDMPointer, Sim32FreeVDMPointer	guest-memory access lifecycle	bounded synchronous lease, explicit read/write/flush/release	direct source needs adapter-backed mapping	adapter-backed existing mapping facade	adapter-mvdm-host-out/softpc; session	S2/S3	A raw host pointer is never guest state and may not survive the call.
SPC-IF-006	softpc.new/host/src/nt_sas.c	sas_load*, sas_store*, GetVDMAddr	SAS memory transfer/caller binding	checked numeric guest span; copied success/failure	direct source needs adapter-backed mapping	adapter-backed existing mapping facade	adapter-mvdm-host-out/softpc; session	S2/S3	Use the sole guest-memory mapping-manager instance; no family-private mapper.
SPC-IF-007	softpc.new/base/ccpu386/ccpusas4.c	CCPU SAS/read-write entry forms	CPU execution-side memory access	backend-local checked memory provider	direct source candidate with source-shaped memory binding	not applicable to Bochs executor	original SoftPC backend	S2	CCPU implementation never calls Bochs or receives Bochs objects.
SPC-IF-008	softpc.new/base/ccpu386/ntthread.c	ccpu386*thread/SimulatePtr/Unsimulate thread forms	original CPU recursive/thread simulation support	bind/unbind session thread before imported CCPU entry	direct source candidate with session-thread binding	not applicable to Bochs executor	original SoftPC backend; session monitor binding	S2/S3	No unbounded global session registry; original TLS remains backend-private.
SPC-IF-009	softpc.new/host/src/nt_reset.c	reset and host reset/device calls	machine reset/startup lifecycle	reset selected backend before MVDM provider initialization	adapter-backed original source candidate	adapter-backed original source candidate	original SoftPC host composition; win32/VDD/softpc adapters	S2	Do not remove error/console/device branches from original source.
SPC-IF-010	softpc.new/host/src/nt_error.c	host_error, host_direct_access_error, ErrorDialogBox	per-thread error/UI/controlled termination	copied error result plus session controlled-stop	direct source candidate via same-shaped UI facade	adapter-backed same-shaped UI facade	adapter-mvdm-host-out/win32; session	S2	No process kill; preserve Ignore/Terminate observable selection where the original path is reached.
SPC-IF-011	softpc.new/host/src/nt_msscs.c	scs_init, InitialiseDosEmulation	startup/provider initialization/NTIO load	selected backend exists/reset before source initialization	adapter-backed source candidate	adapter-backed source candidate	app/session; original host composition	S2/S3	Reject historical AddSystemFiles installation mutation; only explicit staged guest input may replace it later.
SPC-IF-012	softpc.new/obj.vdm/sources	original library order and CCPU conditional selection	whole historical product composition	one chosen backend library in a session build graph	direct composition reference	adapter-backed composition reference	app build composition	S2/S3	Do not mix original CCPU and Bochs CPU object libraries in one process target.
SPC-IF-013	softpc.new/host/src/nt_mem.c	virtual address reserve/commit/decommit	memory backing topology	backend-owned memory topology selected at create	original host-memory model unavailable	not selected; Bochs owns current RAM	machine backend owner	later XMS/host memory	Host PVOID layout is not guest linear address on x86 or x64.
SPC-IF-014	softpc.new/host/src/nt_umb.c	UMB/VDD/section mapping state	upper-memory semantic lifecycle	defer until XMS/VDD owner packages	unavailable	not selected	XMS/VDD owner packages	later XMS/VDD	No UMB/DOS policy enters adapter-bochs.
SPC-IF-015	softpc.new/host/src/nt_msscs.c and nt_reset.c	firmware/BIOS and device startup inputs	immutable source-selected machine input	manifest-selected immutable input only	original SoftPC input candidate	adapter-bochs firmware input candidate	mvdm-softpc-firmware; app manifest	S2/S3	No firmware source links into MVDM host library.
SPC-IF-016	softpc.new/host/src/nt_error.c	DWORD WINAPI ErrorDialogBoxThread(VOID *)	host error-dialog worker passed to CreateThread	ordinary host worker lifetime; no guest pointer escapes	direct original source after registered ABI annotation	adapter-backed same-shaped UI facade	mvdm-host; adapter-mvdm-host-out/win32	S2	The two-site WINAPI annotation is sourced by NTVDMx64 callconv.patch and preserves the worker's parameters, return and ordering.
SPC-IF-017	softpc.new/base/ccpu386 and host memory roots	EDL_fast_bop; c_VirtualiseInstruction; c_sas_touch; VdmSetPhysRecStructs	NTVDMx64 fallback hook definitions	no lifecycle is admitted until each caller is reached	not selected as runtime implementation	not applicable to Bochs executor	mvdm-softpc-patch; later original SoftPC binding	S2/S3	fmstubs.c is compiled only as x86 patch evidence; its original int 3 behavior remains a deliberate stop, not a fallback success.
