id	original_location	transition_or_contract	original_contract	current_disposition	first_usable_recovery_rung	verification_state	next_owner
T336-01	softpc.new/host/src/nt_bop.c:MS_bop_4	54:05 service dispatch and return	Read one COMMAND service byte at CS:IP, dispatch it, then advance IP by that one byte.	Original body is selected; DIV-164 is an observer only and does not select or alter the service.	original-source-reuse	Observed fixed x86 run reaches 54:05; exact post-return instruction boundary is static-source-proved.	CCPU40 instruction continuation
T336-02	dos/command/cmddisp.c:CmdDispatch	SVC_CMDSETINFO dispatch	Index the original COMMAND service table and invoke cmdSetInfo for service 05.	Original dispatcher/table selected.	original-source-reuse	Static source-proved; fixed run observed the dispatched 54:05 ingress.	cmdSetInfo
T336-03	dos/command/cmdmisc.c:cmdSetInfo	SCSINFO registration	Retain SCS_ToSync, SCS_Is_Dos_Binary and SCS_FDACCESS locations supplied in DS:DX/BX/CX for later host-side COMMAND/DEM/SoftPC users.	SCS structure location is bounded through mvdm_command_guest_state_set_scs; pIsDosBinary and pFDAccess remain raw GetVDMAddr aliases and are not yet a complete mapping-lifetime binding.	smallest-adapter-shim	Static comparison proves the current divergence from the original direct aliases; no post-54:05 instruction yet dereferences either host alias.	COMMAND/SoftPC shared guest-span binding cohort
T336-04	doskrnl/dos/msinit.asm:346-355	Immediate guest continuation	After CMDSVC SVC_CMDSETINFO, pop BX/CX/DX in original order; no intervening BOP or host dispatcher is present.	Selected guest source/media; no host-link input is required.	original-source-reuse	Static source-proved. The fixed run cannot distinguish these instructions from later CCPU execution because it exits C0000005 without a source-owned exception record.	CCPU40/SAS instruction and stack mechanics
T336-05	doskrnl/dos/msinit.asm:363-380	BIOS exchange and DOS data setup	Copy DI:BX into BiosDataPtr, populate DOS/low-int segments, then save endmem and caller SS:SP.	Selected guest source; values must have been supplied by earlier original BIOS/host initialization.	original-source-reuse	Static source-proved; BIOS exchange initialization is a required sibling prerequisite, not yet proven reached at the crash.	Original BIOS exchange initialization cohort
T336-06	doskrnl/dos/msinit.asm:382-386	DOS disk-stack switch	Move DS to AX, load SS from AX and load SP with dosdata:dskstack before continuing initialization.	Selected guest source. CCPU40 owns instruction execution, segment load and stack effect.	original-source-reuse	This is the first high-risk unproven owner edge after the known BOP return. No evidence identifies it as the actual fault instruction.	CCPU40 segment/stack execution contract
T336-07	softpc.new/base/ccpu386/c_reg.c:c_setIP,c_setSS,c_setSP	CPU40 architectural state update	Apply the numeric IP/SS/SP updates used by the original BOP return and guest continuation.	Original CCPU40 selected; no alternate executor or Bochs route is admitted.	original-source-reuse	Definition and function-vector binding located; runtime state sequence remains unobserved.	T336 S2 observation and contract recovery
T336-08	softpc.new/base/inc/sas.h and guest memory	Guest instruction/data spans	Read instructions and write DOSDATA using the original CCPU40/SAS address model.	Original CPU40/SAS selected; current session mapping applies only at host guest-span boundaries, not ordinary CPU instructions.	original-source-reuse	Static owner classification only.	T336 S2 observation and contract recovery
T336-09	softpc.new/host/src/nt_fdisk.c, nt_rflop.c, dos/dem/demmisc.c	SCS_FDACCESS later consumers	Read/update the registered FD-access word when disk/floppy/DEM operations use it.	Current pFDAccess raw alias is an incomplete same-shape binding and must not be repaired as an isolated cmdSetInfo change.	smallest-adapter-shim	Source-wide consumers identified; no evidence they execute before the current continuity boundary.	COMMAND/SoftPC shared guest-span binding cohort
T336-10	softpc.new/host/src/nt_timer.c:VdmUnhandledExceptionFilter	Process exception diagnostic	Original timer-thread filter receives timer-thread exceptions, suspends timer and follows UnhandledExceptionFilter termination policy.	DIV-159 adds diagnostic output only when this original filter is entered.	original-source-reuse	Fixed run with MVDM_EXCEPTION_REPORT_PATH produced no report, proving only that this timer-thread filter did not receive the observed process crash.	Top-level CPU40 exception/termination observation
