record	original_source_or_contract	current_source_identity	current_disposition	recovery_cohort_or_successor
PACKAGE	mvdm-host/vdmredir/sources (16 original provider translation units)	all 16 source paths are present beneath src/mvdm-host/vdmredir; current formal product graph selects none	original package mirror; not yet product-selected	S2 external-form admission, then S3-S5 cohorts
MIRROR	vrdisp.c, vrinit.c, vrmisc.c, vrnetb.c, vrputil.c, vrdlc5c.c, vrdlcpst.c, vrdlcbuf.c, vrdlcdbg.c, vrdebug.c, vrdll.c, plus four manifest/resource carriers	byte-identical against O:\repos.external\OpenNT\base\mvdm\vdmredir	original mirror	select only after external ABI admission
MIRROR-DIVERGENCE	vrmslot.c	+36/-97 lines; MVDM-HOST-DIV-170 and existing adapter redir mailslot identity	binding-only x86/x64 host-handle/length repair	S4 mailslot cohort
MIRROR-DIVERGENCE	vrnmpipe.c	+84/-70 lines; MVDM-HOST-DIV-167..169 and mvdm-host-overlay/vdmredir async lifetime support	binding-only host-width and durable-async repair	S3 synchronous pipe then S4 async cohort
MIRROR-DIVERGENCE	vrnetapi.c	+21/-5 lines; MVDM-HOST-DIV-171 and bounded Redirector guest-copy adapter	binding-only public NetAPI output-span repair	S2 local public-call and source-failure admission; S5 network cohort
MIRROR-DIVERGENCE	vrremote.c	+15/-6 lines; MVDM-HOST-DIV-172	binding-only public Unicode/OEM conversion repair	S2 RAP boundary admission; S5 assignment/network cohort
DISPATCH	57:00 VrInitialize / vrinit.c	original row 00; present, unselected	original owner; runtime unproved	S3 lifecycle cohort
DISPATCH	57:01 VrUninitialize / vrinit.c	original row 01; present, unselected	original owner; runtime unproved	S3 lifecycle cohort
DISPATCH	57:02-08 VrGetNamedPipeInfo, VrGetNamedPipeHandleState, VrSetNamedPipeHandleState, VrPeekNamedPipe, VrTransactNamedPipe, VrCallNamedPipe, VrWaitNamedPipe / vrnmpipe.c	original rows present; formal graph unselected	original owner with opaque handle and bounded guest-span forms	S2 forms then S3 pipe cohort
DISPATCH	57:09-0E VrDeleteMailslot, VrGetMailslotInfo, VrMakeMailslot, VrPeekMailslot, VrReadMailslot, VrWriteMailslot / vrmslot.c	original rows present; formal graph unselected	original owner with WORD identity and bounded guest-span forms	S2 forms then S4 mailslot cohort
DISPATCH	57:0F VrTerminateDosProcess / vrmisc.c	original row present; formal graph unselected	original lifecycle owner	S3 lifecycle cohort
DISPATCH	57:10-1F,22,29-2E	VrNetTransactApi, VrNetRemoteApi, VrNetNullTransactApi, VrNetServerEnum, VrNetUse*, VrNetWksta*, VrNetMessageBufferSend, VrGetCDNames, VrGetComputerName, VrGetUserName, VrGetDomainName, VrGetLogonServer, VrNetGetDCName, VrReturn/SetAssignMode, VrGetAssignListEntry, VrDefine/BreakMacro, VrNetServiceControl / vrnetapi.c, vrremote.c	original rows present; formal graph unselected	original policy owner; public local calls and RAP/private paths not yet separated	S2 external-form admission then S5 network/assignment cohort
DISPATCH	57:20-21 VrNetHandleGetInfo/VrNetHandleSetInfo / vrnmpipe.c	original rows present; formal graph unselected	original owner with opaque host-resource identity form	S2 forms then S3 pipe cohort
DISPATCH	57:23-24 VrReadWriteAsyncNmPipe / vrnmpipe.c	original rows present; formal graph unselected	original policy owner; durable guest alias replaced only by registered overlay	S4 async-completion cohort
DISPATCH	57:25 VrNetbios5c / vrnetb.c	original row present; formal graph unselected	original owner; NetBIOS external boundary unadmitted	S2 classification then S5 NetBIOS cohort
DISPATCH	57:26 VrHandleAsyncCompletion / vrinit.c	original row present; formal graph unselected	original policy owner; no physical completion claim	S4 async-completion cohort
DISPATCH	57:27 VrDlc5cHandler / vrdlc5c.c	original row present; formal graph unselected	original owner; DLC driver boundary unadmitted	S2 classification then S5 exact unavailable/successor
DISPATCH	57:28 VrVdmWindowInit / vrdlcpst.c	original row present; formal graph unselected	original owner; VDD/window boundary unadmitted	S2 classification then S5 VDD successor
DISPATCH	57:2F-30 VrDismissInterrupt/VrEoiAndDismissInterrupt / vrinit.c	original rows present; formal graph unselected	original owner; CPU40 interrupt/ICA contract not yet bound	S2 forms then S4 completion cohort
DISPATCH	57:31 VrCheckPmNetbiosAnr / vrinit.c	original row present; formal graph unselected	original owner; protected NetBIOS/monitor boundary unadmitted	S2 classification then S5 successor
CALLER	mvdm-host/dos/command/cmdredir.c	current original COMMAND body is selected by formal product graph; redirection identities use registered MVDM-HOST-DIV-020	direct consumer but not proof that vdmredir DLL/provider is selected	S3 joint COMMAND/Redirector lifecycle review
CALLER	mvdm-host/dos/dem/demfile.c and demhndl.c	current original DEM callers retain LoadVdmRedir/IsVdmRedirLoaded call shape	original direct consumers; dynamic DLL product composition absent	S3 direct caller/broker review
ADAPTER	adapter-mvdm-host-out/redir/mvdm_redirector_handle.c	current same-shaped HANDLE_FROM_WORDS resolver delegates to adapter-mvdm-host-out/softpc identity facade	accepted external identity binding, not Redirector policy	retain and exercise in S2
ADAPTER	adapter-mvdm-host-out/redir/mvdm_redirector_mailslot.c	current session host-resource identity publication/resolution/release	accepted external identity binding, not mailslot policy	retain and exercise in S2/S4
ADAPTER	adapter-mvdm-host-out/redir/mvdm_redirector_guest_copy.c	current bounded guest-memory copy helper via adapter-mvdm-host-out/softpc	accepted external span binding, not NetAPI policy	retain and exercise in S2/S5
EXTERNAL	opennt-host/netapi/netlib/ntstatus.c	selected original non-MVDM helper slice	current selected helper, no evidence it closes RAP/NetAPI provider links	S2 source/import review
BUILD	tools/build/New-T310OriginalSoftpcNinja.ps1	formal x86/x64 product graph selects DEM, COMMAND, XMS and DPMI but no vdmredir provider body	Redirector package is not currently linked into formal product	S2 must define first admitted source cohort
STALE-EVIDENCE	T290/T324 Redirector fixture generators and matrices	retain as historic evidence only; paths include obsolete mvdm-host-overlay input and local warning suppressions	must not be used as current product evidence	S2 rebuild current source/build admission
