"interface_family"	"source_token"	"occurrence_count"	"source_callers"	"original_contract"	"pointer_or_identity_lifetime"	"current_same_shaped_binding"	"required_owner_path"	"exact_unavailable_prerequisite"	"final_s2_disposition"
"WOW-TF-01"	"GETVDMPTR"	"51"	"wow32/walias.c; wow32/wcall16.c; wow32/wow32.c; wow32/wres16.c; wow32/wstruc.c"	"bounded VDM structure/string access"	"synchronous checked guest-memory lease; must end before callback, worker, or component return"	"no; Redirector-only prepared scope is intentionally not reusable"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"source-shaped WOW pointer scope with dynamic bounds and explicit read/write lease release"	"adapter-backed after complete scope design; no provider body enabled"
"WOW-TF-01"	"FREEVDMPTR"	"60"	"wow32/walias.c; wow32/wcall16.c; wow32/wow32.c; wow32/wres16.c; wow32/wstruc.c"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"
"WOW-TF-01"	"FLUSHVDMPTR"	"21"	"wow32/wcall16.c; wow32/wow32.c; wow32/wstruc.c"	"publish modified VDM bytes before releasing the mapping"	"must commit the matching synchronous checked lease before release"	"no; no generic code-flush or unbounded alias is admitted"	"adapter-mvdm-host-out/softpc -> session.guest_memory -> adapter-bochs"	"paired WOW pointer scope with explicit write/commit designation"	"adapter-backed after complete scope design; no provider body enabled"
"WOW-TF-02"	"GETFRAMEPTR"	"6"	"wow32/wcall16.c; wow32/wow32.c"	"resolve a protected VDMFRAME/CBVDMFRAME at the current WOW task stack"	"synchronous frame lease only; VDMFRAME address remains a numeric VPVOID outside the lease"	"partial; monitor has source-shaped VDM_TIB storage but no WOW task/frame projection"	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session.guest_memory"	"complete task/frame projection and bounded protected stack-frame lease; no host TEB/CCPU stack alias"	"unresolved source-shaped interface; no provider body enabled"
"WOW-TF-03"	"CallBack16"	"37"	"wow32/walias.c; wow32/wcall16.c; wow32/wcall32.c; wow32/wow32.c; wow32/wres16.c"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"
"WOW-TF-04"	"Sim32GetVDMPointer"	"4"	"wow32/wow32.c"	"historical monitor pointer acquisition for numeric VDM address/span"	"only a bounded synchronous guest-memory lease; address zero plus size zero cannot become a whole-memory host alias"	"partial; protected-span and Redirector forms are purpose-limited and cannot satisfy this call shape"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"per-call bounded span binding or original source-defined unavailable result; no global IntelMemoryBase"	"unresolved source-shaped interface; no provider body enabled"
"WOW-TF-04"	"GetVDMAddr"	"2"	"wow32/wow32.c"	"historical real-mode monitor pointer acquisition"	"only one bounded synchronous real-mode lease; returned pointer cannot cross a component boundary"	"no for WOW; current macro is Redirector-only and scope-bound"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"per-call fixed BIOS-data span binding or source-defined unavailable result"	"unresolved source-shaped interface; no provider body enabled"
"WOW-TF-05"	"NtCurrentTeb"	"2"	"wow32/wcall16.c; wow32/wow32.c"	"read historical monitor-thread identity or install CurrentMonitorTeb for fast callback code"	"current bound session worker only; no pointer is durable or crosses an ABI"	"partial; monitor binds adapter-private TEB.Vdm only, not a historical monitor TEB/product shell"	"adapter-mvdm-host-out/monitor -> session"	"per-call monitor-thread facade or source-defined unavailable branch; no private NT TEB field recovery"	"unresolved source-shaped interface; no provider body enabled"
"WOW-TF-06"	"NtCurrentPeb"	"1"	"wow32/wow32.c"	"inspect NT4 private FastPebLock before AeDebug process launch"	"private product-shell state; no substitute pointer is permitted"	"no; public Win32 has no equivalent FastPebLock contract"	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/win32 -> session"	"preserve the source fallback/decline branch after a focused hard-error/AeDebug policy audit"	"source-defined unavailable/fallback required; no provider body enabled"
"WOW-TF-02"	"CURRENTPTD"	"17"	"wow32/walias.c; wow32/walloc16.c; wow32/wcall16.c; wow32/wow32.c; wow32/wparam.c; wow32/wres16.c; wow32/wstruc.c"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"
