ledger_id	original_owner	original_location	original_surface	original_role	dependency_or_state	four_rung_disposition	selected_owner	outcome	follow_up
"BASEVDM-001"	"BaseClient"	"base/win32/client/vdm.c:340"	"GetNextVDMCommand(NULL)"	"First-VDM query"	"BasepIsFirstVDM through CsrClientCallServer"	"original client body retained; private server transport cannot compose"	"broker (future P15)"	"deferred"	"Do not make app or adapter return an invented global first-VDM answer."
"BASEVDM-002"	"BaseClient"	"base/win32/client/vdm.c:340"	"GetNextVDMCommand reentry"	"Increment/decrement VDM reentry count"	"BasepSetReenterCount; console record"	"same-shaped local Base VDM facade after source-shaped request review"	"adapter-mvdm-host-out/basesrv plus session"	"recover in T302"	"Keep the original INCREMENT_REENTER_COUNT/DECREMENT_REENTER_COUNT inputs and status ordering."
"BASEVDM-003"	"BaseClient"	"base/win32/client/vdm.c:340"	"GetNextVDMCommand ordinary request"	"Populate BASE_GET_NEXT_VDM_COMMAND_MSG from VDMINFO"	"BASE_API_MSG, VDMINFO, current console identity"	"direct original algorithm through a fixed-width capture facade"	"opennt-host client mirror plus adapter-mvdm-host-out/basesrv"	"recover in T302"	"No caller VDMINFO pointer may survive the synchronous facade call."
"BASEVDM-004"	"BaseClient"	"base/win32/client/vdm.c:340"	"Capture sizing"	"Round all requested buffers and allocate capture pointers"	"CsrAllocateCaptureBuffer; CsrAllocateMessagePointer; CsrFreeCaptureBuffer"	"same-shaped captured-copy adapter"	"adapter-mvdm-host-out/basesrv"	"recover in T302"	"Preserve required-size retry contract; translate native pointers only inside the facade."
"BASEVDM-005"	"BaseClient"	"base/win32/client/vdm.c:340"	"Request dispatch"	"Send BasepGetNextVDMCommand and receive result"	"CsrClientCallServer; CSR API number; Base API message"	"source-shaped local dispatcher, not CSRSS transport recreation"	"adapter-mvdm-host-out/basesrv"	"recover in T302"	"The adapter decodes only admitted Base VDM request forms and owns no generic CSR broker."
"BASEVDM-006"	"BaseClient"	"base/win32/client/vdm.c:340"	"Wait/retry"	"Wait for server-provided wake object then set ASKING_FOR_SECOND_TIME"	"NtWaitForSingleObject; server duplicated event"	"public Win32 event/wait behind same-shaped adapter binding"	"adapter-mvdm-host-out/win32 and session"	"recover local single-session only"	"Keep retry and ExitCode reset order; no cross-process duplicate-handle contract in T302."
"BASEVDM-007"	"BaseClient"	"base/win32/client/vdm.c:340"	"Capacity failure"	"Return required lengths on STATUS_INVALID_PARAMETER; otherwise clear lengths"	"BaseSetLastNTError; VDMINFO result fields"	"direct original algorithm through adapter result copy"	"opennt-host client mirror plus adapter-mvdm-host-out/basesrv"	"recover in T302"	"Focused capacity/retry negative test is mandatory in the implementation S."
"BASEVDM-008"	"BaseClient"	"base/win32/client/vdm.c:340"	"WOW and PIF request forms"	"ASKING_FOR_WOW_BINARY, ASKING_FOR_SEPWOW_BINARY, ASKING_FOR_PIF"	"WOW records, PIF records, BaseSrv/UI product state"	"original branches retained as evidence; no fabricated service"	"WOW P11 and later host-capability owner"	"deferred"	"T302 must return the original-shaped unsupported/status path, not consume a DOS command."
"BASEVDM-009"	"BaseSrv"	"base/win32/server/srvvdm.c:130"	"BaseSrvGetNextVDMCommand DOS route"	"Select a DOS command record and update return/error state"	"PCSR_API_MSG; CONSOLE/DOS records; BaseSrvDOSCriticalSection"	"source-derived rehost of the reached algorithm through a bounded session record"	"adapter-mvdm-host-out/basesrv plus session"	"recover in T302"	"Retain field/order/failure behavior; do not compile the CSRSS server shell."
"BASEVDM-010"	"BaseSrv"	"base/win32/server/srvvdm.c:130"	"Server capacity/copy"	"Validate client capacities, write required sizes, copy command fields"	"PVDMINFO and BASE_GET_NEXT_VDM_COMMAND_MSG pointers"	"source-derived rehost with copied fixed-width request/result forms"	"adapter-mvdm-host-out/basesrv"	"recover in T302"	"This is the server counterpart of BASEVDM-004/007; no host pointer crosses an asynchronous boundary."
