id	original-source-member	original-contract	selected-disposition	caller-or-provider-boundary	later-owner-or-condition
S17-001	softpc.new/base/system/at_dma.c	8237 DMA register state, port handlers and physical-memory transfer algorithm	original-body / controller-owner	reset.c:dma_init/dma_post; disk, floppy and device callers	S17 owns controller mechanics; external device endpoint contracts remain S19/S21/S23
S17-002	softpc.new/base/system/cmosnt.c	NTVDM CMOS/RTC state, BCD conversion callbacks and periodic RTC behavior	original-body / controller-owner	reset.c setup and cmos_bis/rtc BIOS callers	S17 owns RTC/controller callback forms; firmware resource persistence remains closed S16
S17-003	softpc.new/base/system/ica.c	dual 8259 PIC state, port handlers, interrupt acknowledge and hardware-IRQ routing	original-body / controller-owner	reset.c, timer.c and nt_eoi.c	S17 owns PIC mechanics; input/storage/comms IRQ producers remain S19/S21/S23
S17-004	softpc.new/base/system/qevnt.c	NTVDM quick-event queue, typed callback record and delayed-controller scheduling	original-body / controller-owner	nt_eoi.c delayed IRQ and timer.c recalibration	S17 owns queue semantics; no kernel MONITOR timer is enabled
S17-005	softpc.new/base/system/timer.c	8253 PIT ports, tick progression, PIC timer interrupt and timer EOI hook	original-body / controller-owner	reset.c:timer_init/timer_post; nt_timer.c host heartbeat	S17 owns PIT/PIC coupling; video/input/storage side callbacks retain their later owners
S17-006	softpc.new/base/system/timestrb.c	central host alarm strobe dispatch to timer/RTC/controller service	original-body / controller-owner	nt_timer.c:host_timer_event	S17 owns controller-facing strobe; graphics/comms/floppy/sound leaf calls transfer to S19/S21/S23/S27
S17-007	softpc.new/base/system/dummy_nt.c	BIOS dummy interrupt body	original-body / controller-owner	BIOS IVT construction	No external behavior; remains exact original no-op body
S17-008	softpc.new/base/system/unexp_nt.c	unexpected-interrupt diagnosis, PIC EOI/mask and BIOS reason byte	original-body / controller-owner	BIOS IVT and CPU interrupt paths	S17 owns PIC/BIOS reason mechanics; host error presentation remains S28
S17-009	softpc.new/base/system/illegalp.c	CPU illegal-operation diagnostic/BIOS error path	original-body / transferred platform edge	CPU exception path	S28 owns host error presentation; S17 retains no replacement body
S17-010	softpc.new/base/system/idetect.c	idle-detection algorithm and host release-timeslice request	original-body / transferred platform edge	CPU polling and timer cadence	S28 host-platform/idle binding owns public wait/scheduling policy
S17-011	softpc.new/base/system/rom.c	ROM byte loading and SAS publication	closed original firmware route	firmware initialization	Closed S16; not reopened
S17-012	softpc.new/host/src/nt_timer.c	Win32 heartbeat thread, timer initialization, BDA initial state and strobe delivery	original-body / controller-host binding	TimerInit/host_timer_init and timer.c	S17 must audit heartbeat cancellation and BDA/PIT/RTC/PIC ordering; no Bochs or kernel VDM fallback
S17-013	softpc.new/host/src/nt_eoi.c	ICA lock, EOI hooks and non-MONITOR delayed IRQ quick-event bridge	original-body plus registered typed bridge	ICA/timer/Redirector callers	S17 owns PIC synchronization; WOW/Redirector-specific callers remain their packages
S17-014	softpc.new/host/src/nt_inthk.c	original installable interrupt-handler registration forms	original-body / controller-host binding	reset and interrupt providers	S17 audits selected handler registrations; BOP service behavior remains S31
S17-015	softpc.new/host/src/nt_reset.c	original host initialization/reset/termination orchestration	binding-only original body	app lifecycle and reset.c	S17 owns InitializeIcaLock/controller lifecycle portion; console/UI/process termination branches transfer S28
S17-016	softpc.new/base/system/cmos.c	alternative non-NT CMOS implementation	unselected original mirror	no selected CCPU40 sources entry	Not selected; no mirror change
S17-017	softpc.new/base/system/quick_ev.c	alternative non-NT quick-event implementation	unselected original mirror	no selected CCPU40 sources entry	Not selected; no mirror change
