id	original_declaration_or_call	original_location_and_consumers	modern_availability	final_recovery_disposition	failure_and_lifetime_rule	mapping_manager_rule
NTIO-01	IO_STATUS_BLOCK and PIO_STATUS_BLOCK	ntioapi.h:459; demsrch.c demerror.c demgset.c	modern winternl has a same-named layout but full old header conflicts	adapter-win32 reached subset must assert x86/x64 layout before source use	caller-owned synchronous stack record; only original NTSTATUS result is observable	no mapping: host-local record
NTIO-02	OBJECT_ATTRIBUTES and InitializeObjectAttributes	ntioapi.h/nt.h source form; demsrch.c demerror.c demgset.c	modern winternl same-name form is available	binding-only through existing adapter nt.h after layout audit	caller-owned synchronous object; RootDirectory/UNICODE_STRING never survive call	no mapping: host-local record
NTIO-03	OBJECT_NAME_INFORMATION and ObjectNameInformation	ntioapi.h object query form; demerror.c:202-232	modern winternl declares NtQueryObject but not this historical result layout	adapter-win32 same-shaped reached result declaration plus explicit query facade	exact buffer-length/error contract; caller owns byte buffer and ANSI conversion remains original caller logic	no mapping: host-local result buffer
NTIO-04	FILE_BOTH_DIR_INFORMATION and FileBothDirectoryInformation	ntioapi.h:591; demsrch.c:123,931,1233,1271,1382,1510,1584,1681	not safely imported wholesale beside modern winternl	adapter-win32 same-shaped reached directory record and NtQueryDirectoryFile facade	returned records stay caller-owned host buffer; preserve NextEntryOffset and original NTSTATUS branch rules	no mapping: host directory record; separate guest DTA uses adapter-softpc lease
NTIO-05	FILE_FS_DEVICE_INFORMATION and FileFsDeviceInformation	ntioapi.h:1009; demerror.c:200-215; demgset.c:243-320	no safe complete direct header import	adapter-win32 same-shaped reached device record and NtQueryVolumeInformationFile facade	caller-owned stack record; preserve FILE_REMOTE_DEVICE/device type branch behavior	no mapping: host-local record
NTIO-06	NtOpenFile and NtClose	ntioapi.h:1209; demsrch.c:1035; demgset.c:273; demerror.c:279	modern winternl exposes NtOpenFile and NtClose names, but historical header integration differs	adapter-win32 binding with explicit source-shaped declaration validation	ownership is session-local host handle; every success has original close path and unavailable result maps to NTSTATUS	no mapping: HANDLE stays host-local; never guest identity
NTIO-07	NtQueryDirectoryFile	ntioapi.h:1229; demsrch.c:1136,1312,1428,1532	not declared by current public facade as a usable complete historical call	adapter-win32 facade preferring same ntdll call shape, otherwise explicit unavailable until a source-derived public backend is admitted	preserve synchronous null Event/APC profile, IO_STATUS_BLOCK result, restart flag and status branches	no mapping for query buffer; guest copies occur only through separate adapter-softpc lease
NTIO-08	NtQueryVolumeInformationFile	ntioapi.h:1295; demerror.c:207; demgset.c:292	not declared by current public facade as a usable complete historical call	adapter-win32 facade preferring same ntdll call shape, otherwise explicit unavailable until source-derived backend admission	preserve FileFsDeviceInformation size/status semantics and caller-owned record	no mapping: host-local record
NTIO-09	NtQueryObject	original nt object API form; demerror.c:220	modern winternl declares a same-named entry but historical ObjectNameInformation result is not complete	adapter-win32 binding plus NTIO-03 reached result layout	preserve buffer overflow and name-query status results; no object data escapes facade	no mapping: host-local buffer
NTIO-10	NtOpenSymbolicLinkObject and NtQuerySymbolicLinkObject	original nt object API form; demerror.c:279-298	not a stable complete declaration in current facade	adapter-win32 same-shaped facade; public Win32 substitution requires a separately sourced failure-equivalence decision	link handle is session-local and always closed; unavailable behavior remains explicit NTSTATUS	no mapping: host-local handle/string
NTIO-11	statuses, access/share/open flags and information-class constants	ntioapi.h and ntstatus.h; all three callers	partially modern, but old header cannot be included whole	adapter-win32 reached constant subset sourced from exact mirror	values and branch comparisons retain original values; no blanket Win32 error collapse	no mapping: constants only
