id	original-owner	original-path	call-or-return-contract	current-mirror-disposition	selected-s2-disposition	boundary
T352-01	NTDOS bootstrap	mvdm-guest/dos/v86/doskrnl/dos/msinit.asm	CMDSVC SVC_CMDSETINFO enters 54:05 with DX/BX/CX scalar locations; the next instructions pop BX/CX/DX and continue BIOS/stack setup.	Unchanged load-only guest mirror; no host source modification.	Observe only whether original host return reaches its existing IP advance; do not rewrite guest continuation.	Guest bytes and stack remain owned by NTDOS.
T352-02	SoftPC CPU40	mvdm-host/softpc.new/base/ccpu386/c_main.c	CPU40 decodes the BOP immediate, advances Intel IP to the service byte, calls bop(), then cancels host IP and continues the CPU stream.	Original source selected by CPU_40_STYLE; no alternate executor or synthetic continuation.	Retain source. S2 observes the already-decoded service return at MS_bop_4, before its original setIP(+1), so it can distinguish provider return from a later CPU/guest boundary.	CPU40/SAS is the machine owner, not COMMAND.
T352-03	SoftPC BIOS BOP table	mvdm-host/softpc.new/base/bios/bios.c	BOP selector 54 dispatches to MS_bop_4.	Original selected table remains in the x86 graph.	No code or table change.	Firmware/CPU selector edge is already source-defined.
T352-04	MVDM BOP host	mvdm-host/softpc.new/host/src/nt_bop.c::MS_bop_4	Read service byte at CS:IP; CmdDispatch(service); increment IP by one to consume that byte.	Mirror has only MVDM-HOST-DIV-164 ingress observation before CmdDispatch; no routing/result/state divergence.	Extend DIV-164 with one post-dispatch, state-neutral record which copies already-live selector/service/CS:IP and flags/AX only. Original CmdDispatch and setIP order remain untouched.	This is the earliest host-owned return boundary.
T352-05	COMMAND dispatch	mvdm-host/dos/command/cmddisp.c	apfnSVCCmd[5] resolves to cmdSetInfo.	Original table and dispatch ordering compiled in selected graph.	No provider rewrite or leaf change.	COMMAND provider is already selected.
T352-06	COMMAND scalar registration	mvdm-host/dos/command/cmdmisc.c::cmdSetInfo	Registers SCS scalar 16:16 locations; on invalid source state retains original CF/AX failure direction; otherwise returns void.	Original algorithm is composed through the existing short-lifetime scalar binding facade; T351 source/fixture/formal evidence closes its selected consumers.	No new state or behavior. S2 observation reports the post-call architectural words rather than interpreting success.	Mapping lease remains adapter-softpc/session owned.
T352-07	CCPU thread return	mvdm-host/softpc.new/host/src/ntthread.c	ccpu386SimulatePtr/ccpu386Unsimulate establish per-thread setjmp/longjmp CPU simulation context.	Original selected CPU40 thread path.	Outside first return marker unless post-dispatch record proves CmdDispatch returned and no subsequent guest progress occurs.	Do not turn this into a BOP/COMMAND adapter.
T352-08	SAS	mvdm-host/softpc.new/base/ccpu386/ccpusas4.c	CPU fetch and guest reads/writes use selected SAS backing and original mapping boundaries.	Selected original/SAS adapter binding already in formal graph.	Outside first return marker; inspect only as the immediately next owner after proven MS_bop_4 return.	No new mapping manager or raw guest alias.
T352-09	NTDOS/BIOS bootstrap	mvdm-guest/dos/v86/doskrnl/dos/msinit.asm	After SVC_CMDSETINFO returns, restores BX/CX/DX from its existing stack, records BIOS/DOS segment data, then switches to DOS stack.	Unchanged guest mirror; not a host-linked provider.	Deferred until S2 can prove original MS_bop_4 return and original IP update.	Do not infer guest failure from ingress-only timeout.
T352-10	FDC/INT15/timer/PIT/ICA	mvdm-host/softpc.new/{base,host}	Potential later bootstrap machinery only; no source call occurs before the first post-SVC instructions above.	No selection in this admission.	Explicitly outside S2; a proven later entry is required before its owner package is selected.	Prevents speculative device repair.
