id	original-owner	original-source	current-source-or-binding	original-contract	current-disposition	failure-or-boundary	recovery-rung	T351-disposition
T351-S1-01	SoftPC BOP ingress	softpc.new/host/src/nt_bop.c::MS_bop_4	mvdm-host same file; MVDM-HOST-DIV-164 observer	load service byte from CS:IP; CmdDispatch; IP+=1	original-direct plus state-neutral observation	no new result or altered CPU state	original source with registered diagnostic intrusion	retain; observer is not a provider
T351-S1-02	COMMAND dispatch	dos/command/cmddisp.c::CmdDispatch	mvdm-host same file	index 05 selects cmdSetInfo then returns true	original-direct	debug-only out-of-range CF path remains original	original source reuse	retain byte-for-byte
T351-S1-03	COMMAND SCS registration	dos/command/cmdmisc.c::cmdSetInfo	mvdm-host cmdmisc.c; adapter-mvdm-host-out/softpc/mvdm_command_guest_state.c	GetVDMAddr DS:DX, DS:BX and DS:CX; retain SCSInfo/ToSync/IsDosBinary/FDAccess aliases	adapter-backed, same 16:16 locations and later byte/WORD observable operations	missing active bound session or lease returns CF plus ERROR_INVALID_ADDRESS; original assumes a valid NT4 alias	OpenNT source through smallest mapping lease facade	retain DIV-111/ADAPTER-SOFTPC-037; no safe direct alias exists
T351-S1-04	COMMAND global data	dos/command/cmddata.c globals pSCSInfo/pSCS_ToSync/pIsDosBinary	mvdm-host cmddata.c removes durable globals	persistent host pointer storage for T351 and later consumers	deleted only as part of adapter-backed scalar route	cannot preserve raw host pointers across session/lease epoch	registered adapter replacement	retain removal; no replacement global is permitted
T351-S1-05	outer original entry	softpc.new/obj.vdm/ntvdm.c::main and base/support/main.c::host_main	adapter-mvdm-host-out/softpc/mvdm_softpc_execution.c	original entry owns TimerInit/CpuEnvInit/NLS/host_main order	original-direct body through renamed entry bridge	bridge rejects inactive/wrong-backend session	original source through smallest composition binding	retain ADAPTER-SOFTPC-030
T351-S1-06	CPU40/SAS	softpc.new/host/src/nt_cpu.c::host_start_cpu; base/ccpu386 SAS	mvdm-host original CPU40/SAS; mvdm_softpc_guest_memory.c	CPU executes post-BOP bytes and owns normal return/re-entry	original-direct CPU40 with bounded session guest-memory facade	CPU/SAS source failure/termination remains source-owned; facade rejects invalid host lease	original source through smallest mapping facade	retain ADAPTER-SOFTPC-036; no alternate executor
T351-S1-07	NTDOS bootstrap	guest dos/v86/doskrnl/dos/msinit.asm	mvdm-guest same source/artifact	pop saved registers; save BIOS exchange; establish DOSDATA and dskstack	guest-load-only original	no host pointer/interface is consumed by this immediate sequence	original guest source/artifact	retain; no host code or guest change
T351-S1-08	later COMMAND consumers	dos/command/{cmdmisc,cmdexec,cmdpif}.c	current mirror plus command guest-state facade	write ToSync/IsDosBinary and acquire SCS only at use	adapter-backed at each direct-alias use	stale/absent session lease has deterministic ERROR_INVALID_ADDRESS route	OpenNT source through same facade	part of S2 sweep; no new mapper
T351-S1-09	later DEM/device consumers	dos/dem/demmisc.c; softpc.new/host/src/{nt_fdisk,nt_rflop}.c	current mirror plus command guest-state facade	read/update SCS_FDACCESS WORD with unsigned wrap	adapter-backed at each direct-alias use	stale/absent lease follows existing caller failure/termination direction	OpenNT source through same facade	part of S2 sweep; no new mapper
T351-S1-10	WOW DOS synchronization	wow32/{wkman,wdos}.c	mvdm-host source only; no selected CPU40 bootstrap binding	DOSWOWDATA stores a raw lpSCS_ToSync process alias	unselected future WOW owner	would require separate numeric location/lease treatment	unresolved outside immediate package	transfer to WOW package; do not add a global alias
T351-S1-11	graphics presentation	softpc.new host/video and app/session presentation sources	existing T346 closure	consume CPU output only after DOS runtime reaches selected workload	unreached	cannot use T350 timeout to choose controller work	separate queued owner package	transfer to Queue item 5
