edge_id	original_call_site	original_caller	contract_and_abi	lifetime_or_guest_boundary	recovery_rung_decision	final_S1_disposition
NETAPI-001	vrnetapi.c:219	GetLanmanSessionKey	NetWkstaGetInfo(NULL,100) returns WKSTA_INFO_100 for original session-key preparation	NetAPI owns wkstaInfo until matching NetApiBufferFree at line 281	2: same-shaped public Win32 facade candidate; original body is retained	S2 candidate; verify status, character conversion and matching free
NETAPI-002	vrnetapi.c:220	GetLanmanSessionKey	NetWkstaUserGetInfo(NULL,1) returns WKSTA_USER_INFO_1 for original session-key preparation	NetAPI owns userInfo until matching NetApiBufferFree at line 284	2: same-shaped public Win32 facade candidate; original body is retained	S2 candidate; verify status, character conversion and matching free
NETAPI-003	vrnetapi.c:281,284	GetLanmanSessionKey	NetApiBufferFree releases the preceding NetAPI allocations	The matching allocation is local to one call; no buffer crosses into guest state	1: public leaf, no source replacement	Pair with NETAPI-001/002 in S2
NETAPI-004	vrnetapi.c:476,479,501	VrGetUserName	NetWkstaUserGetInfo(NULL,0) supplies a username; original returns insufficient-buffer status when BX cannot hold the result	The NetAPI buffer is copied then freed; ES:DI is a synchronous, bounded guest result span	2: original body plus existing same-shaped NetAPI and mapping lease facade	Already source-bound; S2 must prove positive and capacity-negative behavior
NETAPI-005	vrnetapi.c:507	VrGetUserName	NetpCopyTStrToStr maps original Unicode carrier to the original ANSI result contract	Original macro/helper form; no durable identity	2: smallest character-conversion binding, not a new Netlib provider	Bind only with NETAPI-004's bounded-copy proof
NETAPI-006	vrnetapi.c:608	VrNetMessageBufferSend	XsNetMessageBufferSend performs an original downlevel message transaction and returns NTSTATUS/header status	Transaction header and parameters are call-local; no guest identity may be created	1-3 exhausted: private Xactsrv/RAP protocol has no public equivalent	Exact original unavailable; named future protocol owner only
NETAPI-007	vrnetapi.c:610 and Xs failure sites	VrNetMessageBufferSend, VrNetServerEnum, VrNetServiceControl, VrNetUse*, VrNetWkstaGetInfo, macro calls	NetpNtStatusToApiStatus maps original NTSTATUS before DOS-visible error handling	Pure scalar conversion; no identity or allocation crosses boundary	1: selected byte-identical opennt-host/netapi/netlib/ntstatus.c mirror	Compose original mirror directly; no adapter status-map rewrite
NETAPI-008	vrnetapi.c:814	VrNetRemoteApi password path	RxNetUserPasswordSet converts password material and performs a downlevel remote transaction	Passwords are call-local secret input and must not enter logs or session mapping	1-3 exhausted: private Rx/RAP path has no public contract-equivalent	Exact original unavailable; no host account mutation substitution
NETAPI-009	vrnetapi.c:1421	VrNetServerEnum	XsNetServerEnum2 serializes a downlevel server-enumeration request	Descriptors/header are call-local; response layout is RAP-specific	1-3 exhausted: Xactsrv/RAP transport is outside this closure	Exact original unavailable; named protocol owner transfer
NETAPI-010	vrnetapi.c:1581	VrNetServiceControl	XsNetServiceControl executes a downlevel service-control request	REM16 descriptor/header have transaction-local lifetime	1-3 exhausted: service-control capability is not layout-equivalent to original RAP form	Exact original unavailable; no public service-controller substitution
NETAPI-011	vrnetapi.c:1793,1889,1963,2120,3140,3525,3634	VrNetUseAdd, VrNetUseDel, VrNetUseEnum, VrNetUseGetInfo, VrGetAssignListEntry, VrDefineMacro, VrBreakMacro	XsNetUse* handles downlevel network-use and macro-drive transactions	REM16 descriptors are local; remote share or drive identity is not a session handle	1-3 exhausted: Xactsrv/RAP contract has no selected public equivalent	Exact original unavailable; no synthetic share/drive/macro success
NETAPI-012	vrnetapi.c:2297	VrNetWkstaGetInfo	XsNetWkstaGetInfo returns a RAP workstation response and transport status	Response descriptors/header have RAP-specific layout	1-3 exhausted: public NetWkstaGetInfo is not the original response layout	Exact original unavailable; named protocol owner transfer
NETAPI-013	vrnetapi.c:393-433	VrGetLogonServer	The selected original body logs the unavailable service in DBG and returns ERROR_NOT_SUPPORTED	No NetAPI allocation, guest write or host identity occurs	1: directly composable original explicit unavailable body	Retain exact original unsupported result; no public NetAPI substitute
NETAPI-014	vrnetapi.c:436-501	VrGetUserName	NetpCopyTStrToStr historical macro was replaced only at the original direct guest-copy site	The selected result is a bounded ES:DI write through one synchronous session lease	2: smallest OEM conversion binding behind the original body	S2 verifies conversion/capacity behavior with NETAPI-004; no separate Netlib provider
NETAPI-015	vrnetapi.c:3979	VrpTransactVdm	RxpTransactSmb executes packed SMB/RAP transaction against UNC server	Packed send/receive buffers are synchronous and may contain protocol data	1-3 exhausted: project may not recreate SMB	Exact original unavailable; named future protocol owner transfer
NETAPI-016	vrremote.c:129	VrTransaction	RxpTransactSmb executes generic remote transaction	Caller's parameter/data buffers and byte counts are synchronous only	1-3 exhausted: project may not recreate SMB	Exact original unavailable; named future protocol owner transfer
NETAPI-017	vrremote.c:664,681	VrRemoteApi	NetWkstaGetInfo(NULL,100) supplies local computer name if server name is absent	NetAPI buffer is converted into a local bounded value and freed before RAP branch	2: same-shaped public facade candidate; retained original fallback ordering	S2 candidate only for local-name preparation; it does not enable remote request
NETAPI-018	vrremote.c:722	VrRemoteApi / VrpTransactVdm	RxpTransactSmb sends the packed remote API request	UNC and packed buffers are transaction-local	1-3 exhausted: private SMB/RAP transport	Exact original unavailable; named future protocol owner transfer
