"file_id"	"source_path"	"package_root"	"file_kind"	"final_disposition"	"final_owner_or_link_boundary"	"final_change_class"	"named_adapter"	"tracker_state"	"evidence"
"MVDM-FILE-0001"	"bde/bde.def"	"bde"	"resource-or-other"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0001"
"MVDM-FILE-0002"	"bde/bde.h"	"bde"	"declaration"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0002"
"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"source"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0003"
"MVDM-FILE-0004"	"bde/bdeheap.c"	"bde"	"source"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0004"
"MVDM-FILE-0005"	"bde/bdemisc.c"	"bde"	"source"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0005"
"MVDM-FILE-0006"	"bde/bdestack.c"	"bde"	"source"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0006"
"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"source"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0007"
"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"source"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0008"
"MVDM-FILE-0009"	"bde/data.c"	"bde"	"source"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0009"
"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"source"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0010"
