"profile_id"	"package_root"	"x86_target"	"x64_target"	"original_inputs"	"include_and_library_closure"	"profile_state"	"compile_evidence"	"link_evidence"	"local_test_evidence"
"MVDM-PROFILE-BDE"	"bde"	"profile-excluded"	"profile-excluded"	"observed-source=8; observed-build-control=2"	"all selected files are tool, firmware, guest or non-host-runtime mirror; no main-host target"	"profile-excluded"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-DBG"	"dbg"	"profile-excluded"	"profile-excluded"	"observed-source=1; observed-build-control=2"	"all selected files are tool, firmware, guest or non-host-runtime mirror; no main-host target"	"profile-excluded"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-DIRS"	"dirs"	"profile-excluded"	"profile-excluded"	"observed-source=0; observed-build-control=1"	"all selected files are tool, firmware, guest or non-host-runtime mirror; no main-host target"	"profile-excluded"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-DOS"	"dos"	"static-closure-pending"	"static-closure-pending"	"observed-source=27; observed-build-control=5"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-DPMI"	"dpmi"	"profile-excluded"	"profile-excluded"	"observed-source=34; observed-build-control=1"	"all selected files are tool, firmware, guest or non-host-runtime mirror; no main-host target"	"profile-excluded"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-DPMI32"	"dpmi32"	"static-closure-pending"	"static-closure-pending"	"observed-source=18; observed-build-control=2"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-FAX"	"fax"	"static-closure-pending"	"static-closure-pending"	"observed-source=5; observed-build-control=5"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-IEUVDDEX"	"ieuvddex"	"profile-excluded"	"profile-excluded"	"observed-source=14; observed-build-control=6"	"all selected files are tool, firmware, guest or non-host-runtime mirror; no main-host target"	"profile-excluded"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-INC"	"inc"	"static-closure-pending"	"static-closure-pending"	"observed-source=0; observed-build-control=1"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-MAKEFIL0"	"makefil0"	"profile-excluded"	"profile-excluded"	"observed-source=0; observed-build-control=1"	"all selected files are tool, firmware, guest or non-host-runtime mirror; no main-host target"	"profile-excluded"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-OEMUNI"	"oemuni"	"static-closure-pending"	"static-closure-pending"	"observed-source=3; observed-build-control=2"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-SIM16"	"sim16"	"static-closure-pending"	"static-closure-pending"	"observed-source=2; observed-build-control=1"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-SIM32"	"sim32"	"static-closure-pending"	"static-closure-pending"	"observed-source=1; observed-build-control=2"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-SOFTPC-NEW"	"softpc.new"	"static-closure-pending"	"static-closure-pending"	"observed-source=339; observed-build-control=43"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-SUBALLOC"	"suballoc"	"static-closure-pending"	"static-closure-pending"	"observed-source=3; observed-build-control=2"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-V86"	"v86"	"static-closure-pending"	"static-closure-pending"	"observed-source=14; observed-build-control=8"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-VDD"	"vdd"	"profile-excluded"	"profile-excluded"	"observed-source=9; observed-build-control=19"	"all selected files are tool, firmware, guest or non-host-runtime mirror; no main-host target"	"profile-excluded"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-VDMDBG"	"vdmdbg"	"profile-excluded"	"profile-excluded"	"observed-source=1; observed-build-control=2"	"all selected files are tool, firmware, guest or non-host-runtime mirror; no main-host target"	"profile-excluded"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-VDMEXTS"	"vdmexts"	"profile-excluded"	"profile-excluded"	"observed-source=19; observed-build-control=2"	"all selected files are tool, firmware, guest or non-host-runtime mirror; no main-host target"	"profile-excluded"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-VDMREDIR"	"vdmredir"	"static-closure-pending"	"static-closure-pending"	"observed-source=15; observed-build-control=2"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-VDMUTILS"	"vdmutils"	"profile-excluded"	"profile-excluded"	"observed-source=6; observed-build-control=9"	"all selected files are tool, firmware, guest or non-host-runtime mirror; no main-host target"	"profile-excluded"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-WOW32"	"wow32"	"static-closure-pending"	"static-closure-pending"	"observed-source=85; observed-build-control=3"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"MVDM-PROFILE-XMS-486"	"xms.486"	"static-closure-pending"	"static-closure-pending"	"observed-source=8; observed-build-control=6"	"final file disposition selects a future static source/build closure; named interface contracts precede compile"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
"OPENNT-HOST-PROFILE-BASESRV-VDM"	"base/win32"	"static-closure-pending"	"static-closure-pending"	"source=3; direct-declaration-carriers=7"	"required original VDM client/server true subsets plus exact declaration carriers; bounded adapter-opennt-host closure"	"static-closure-pending"	"not claimed; m0-t291-s5-p5-build-profile-disposition-001.md"	"not claimed; candidate 2 owns static source/link closure"	"not claimed; audit-only packet"
