classification_id	source_path	source_line	warning	message	architectures	review_cluster	x86_x64_disposition	required_next_read	source_records
T310-S8-P4-CLASS-000001	src/mvdm-host/dos/command/cmd.c	23	C4100	'argv': unreferenced formal parameter	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-unless-call-contract-evidence	unused formal is not a width defect by itself.  Retain as evidence; inspect only when the selected declaration/caller shows a pointer, calling-convention, or omitted-result boundary	T310-S8-P4-WARN-000001,T310-S8-P4-WARN-000004
T310-S8-P4-CLASS-000002	src/mvdm-host/dos/command/cmd.c	23	C4100	'argc': unreferenced formal parameter	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-unless-call-contract-evidence	unused formal is not a width defect by itself.  Retain as evidence; inspect only when the selected declaration/caller shows a pointer, calling-convention, or omitted-result boundary	T310-S8-P4-WARN-000002,T310-S8-P4-WARN-000005
T310-S8-P4-CLASS-000003	src/mvdm-host/dos/command/cmd.c	23	C4131	'CMDInit': uses old-style declarator	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000003,T310-S8-P4-WARN-000006
T310-S8-P4-CLASS-000004	src/mvdm-host/dos/command/cmdconf.c	391	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000007,T310-S8-P4-WARN-000008
T310-S8-P4-CLASS-000005	src/mvdm-host/dos/command/cmdconf.c	416	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000009,T310-S8-P4-WARN-000010
T310-S8-P4-CLASS-000006	src/mvdm-host/dos/command/cmdconf.c	498	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000011,T310-S8-P4-WARN-000012
T310-S8-P4-CLASS-000007	src/mvdm-host/dos/command/cmdconf.c	518	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000013,T310-S8-P4-WARN-000014
T310-S8-P4-CLASS-000008	src/mvdm-host/dos/command/cmdconf.c	542	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000015,T310-S8-P4-WARN-000016
T310-S8-P4-CLASS-000009	src/mvdm-host/dos/command/cmdconf.c	543	C4996	'strcat': This function or variable may be unsafe. Consider using strcat_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000017,T310-S8-P4-WARN-000018
T310-S8-P4-CLASS-000010	src/mvdm-host/dos/command/cmdconf.c	546	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000019,T310-S8-P4-WARN-000020
T310-S8-P4-CLASS-000011	src/mvdm-host/dos/command/cmdconf.c	547	C4996	'strcat': This function or variable may be unsafe. Consider using strcat_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000021,T310-S8-P4-WARN-000022
T310-S8-P4-CLASS-000012	src/mvdm-host/dos/command/cmdenv.c	326	C4996	'_strupr': This function or variable may be unsafe. Consider using _strupr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000023,T310-S8-P4-WARN-000024
T310-S8-P4-CLASS-000013	src/mvdm-host/dos/command/cmdenv.c	369	C4996	'strncpy': This function or variable may be unsafe. Consider using strncpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000025,T310-S8-P4-WARN-000026
T310-S8-P4-CLASS-000014	src/mvdm-host/dos/command/cmdenv.c	482	C4996	'_strupr': This function or variable may be unsafe. Consider using _strupr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000027,T310-S8-P4-WARN-000028
