"package_id"	"package_root"	"selected_paths"	"source_paths"	"declaration_paths"	"build_or_resource_paths"	"retained_original_boundary"	"direct_internal_edges"	"direct_external_edges"	"expected_final_disposition"	"prerequisite_package_groups"	"reversion_or_exclusion_note"	"evidence"
"MVDM-HOST-BOUNDARY-0001"	"dos"	"40"	"27"	"7"	"6"	"DEM and COMMAND host providers, BOP dispatch and DOS-host state"	"softpc.new; xms.486; vdd; mvdm-support"	"Base VDM service; public Win32/NTDLL; console/process interfaces"	"complete-original-mvdm-host-package; adapter-bound interconnection"	"Base VDM service; common support; monitor/SoftPC control"	"Current command-source and monitor command-provider paths are reversion candidates under OPENNT-BOUNDARY-0001; no removal before source-shaped service closure."	"m0-t291-s5-mvdm-opennt-package-boundary-audit-plan-001.md; base/mvdm/dos/{dem,command}/sources"
"MVDM-HOST-BOUNDARY-0002"	"xms.486"	"15"	"8"	"1"	"6"	"XMS allocation, move, A20, UMB and INT15 provider"	"softpc.new; sim16; mvdm-support"	"guest-RAM/A20/IVT machine contract"	"complete-original-mvdm-host-package; adapter-bound"	"monitor/SIM/SoftPC-control substrate; session guest-memory mapping"	"Direct host-pointer memory branches remain excluded in favor of same-shaped mapping-manager/Bochs binding."	"base/mvdm/xms.486/sources; XMS package closure evidence"
"MVDM-HOST-BOUNDARY-0003"	"sim16"	"8"	"2"	"3"	"3"	"16-bit simulation/monitor declarations and handlers"	"sim32; v86; softpc.new"	"kernel VDM declarations; machine execution boundary"	"complete-original-mvdm-host-package; adapter-bound"	"monitor/SIM/SoftPC-control substrate"	"Kernel VDM implementation is OPENNT-BOUNDARY-0004, not an import prerequisite."	"base/mvdm/sim16/sources"
"MVDM-HOST-BOUNDARY-0004"	"sim32"	"5"	"1"	"1"	"3"	"32-bit simulation control declarations/library"	"sim16; v86; softpc.new"	"kernel VDM declarations; machine execution boundary"	"complete-original-mvdm-host-package; adapter-bound"	"monitor/SIM/SoftPC-control substrate"	"No second CPU executor; Bochs remains mechanical owner."	"base/mvdm/sim32/sources"
"MVDM-HOST-BOUNDARY-0005"	"v86"	"35"	"14"	"9"	"12"	"VDM monitor, event, interrupt and execution-control package"	"sim16; sim32; softpc.new; ieuvddex"	"NtVdmControl/kernel VDM; public Win32 control surfaces"	"complete-original-mvdm-host-package; adapter-bound"	"monitor/SIM/SoftPC-control substrate"	"Kernel VDM branches retain explicit adapter outcomes; they do not pull in base/ntos/vdm."	"base/mvdm/v86/monitor/sources; OPENNT-BOUNDARY-0004"
"MVDM-HOST-BOUNDARY-0006"	"ieuvddex"	"23"	"14"	"1"	"8"	"IEU/VDD extension and keyboard/interrupt host control"	"v86; vdd; softpc.new"	"public Win32; machine keyboard/IVT interfaces"	"complete-original-mvdm-host-package; adapter-bound"	"monitor/SIM/SoftPC-control substrate; VDD package"	"Machine operations must remain through adapter-mvdm-host-out/softpc and adapter-bochs."	"base/mvdm/ieuvddex/sources"
"MVDM-HOST-BOUNDARY-0007"	"dpmi"	"59"	"34"	"14"	"11"	"16-bit DPMI host provider"	"dpmi32; sim16; softpc.new; mvdm-support"	"protected-context, LDT, interrupt and guest-memory contracts"	"complete-original-mvdm-host-package; adapter-bound"	"monitor/SIM/SoftPC-control substrate; session mapping"	"No host LDT or private kernel VDM import; unmet protected-machine operations retain source-proven unavailable result."	"base/mvdm/dpmi/sources"
"MVDM-HOST-BOUNDARY-0008"	"dpmi32"	"25"	"18"	"5"	"2"	"32-bit DPMI protected-mode provider"	"dpmi; sim32; softpc.new"	"NtVdmControl; protected-context and guest-memory contracts"	"complete-original-mvdm-host-package; adapter-bound"	"monitor/SIM/SoftPC-control substrate; session mapping"	"base/ntos/vdm is an explicit stop; only its declaration/adapter contract is retained."	"base/mvdm/dpmi32/sources; OPENNT-BOUNDARY-0004"
"MVDM-HOST-BOUNDARY-0009"	"vdmredir"	"25"	"15"	"6"	"4"	"VDM Redirector file/network/pipe provider"	"dos; softpc.new; mvdm-support"	"public file/pipe/NetAPI and historical network/DLC interfaces"	"complete-original-mvdm-host-package; adapter-bound plus explicit unavailable branches"	"common support; Redirector interface family"	"Private/DLC/network product branches remain explicit unavailable rather than importing Net/CSR product packages."	"base/mvdm/vdmredir/sources; Redirector package audit"
"MVDM-HOST-BOUNDARY-0010"	"wow32"	"201"	"85"	"105"	"11"	"WOW32 host thunk, task, callback and UI bridge"	"dos; v86; vdd; softpc.new; mvdm-support"	"Base VDM service; CSR declaration surface; public USER/GDI/Win32; private graphics branches"	"complete-original-mvdm-host-package; adapter-bound with profile exclusions"	"Base VDM service; monitor substrate; VDD; public UI bindings"	"Private graphics/CSRSS branches do not authorize importing USER/GDI/CSR packages."	"base/mvdm/wow32/sources; OPENNT-BOUNDARY-0001; OPENNT-BOUNDARY-0008"
"MVDM-HOST-BOUNDARY-0011"	"fax"	"21"	"5"	"4"	"12"	"WOW fax/graphics extension package"	"wow32; mvdm-support"	"public printing/UI plus private graphics engine branches"	"complete-original-mvdm-host-package; profile-excluded until WOW/UI closure"	"WOW package; public UI/printing binding"	"Private graphics engine is a stopping boundary; package remains mirror even when excluded."	"base/mvdm/fax/sources; OPENNT-BOUNDARY-0008"
"MVDM-HOST-BOUNDARY-0012"	"vdd"	"47"	"9"	"10"	"28"	"VDD product interfaces and samples"	"v86; ieuvddex; softpc.new"	"machine callbacks; public Win32; VDD product contract"	"complete-original-mvdm-host-package; profile-excluded until VDD owner closure"	"monitor/SIM/SoftPC-control substrate"	"Samples/tools never become default runtime inputs."	"base/mvdm/vdd/sources"
"MVDM-HOST-BOUNDARY-0013"	"bde"	"13"	"8"	"2"	"3"	"binary debugger extension"	"v86; softpc.new"	"debugger/VDD and public Win32 interfaces"	"complete-original-mvdm-host-package; profile-excluded until debugger closure"	"monitor/SIM substrate; debugger product package"	"No debugger product shell is inferred from source availability."	"base/mvdm/bde/sources"
