"audit_id"	"source_path"	"source_line"	"interface_family"	"source_token"	"original_contract"	"pointer_or_identity_lifetime"	"current_same_shaped_binding"	"required_owner_path"	"exact_unavailable_prerequisite"	"final_s2_disposition"	"source_excerpt"
"WOW-TF-01-132"	"wow32/walias.c"	"132"	"WOW-TF-01"	"GETVDMPTR"	"bounded VDM structure/string access"	"synchronous checked guest-memory lease; must end before callback, worker, or component return"	"no; Redirector-only prepared scope is intentionally not reusable"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"source-shaped WOW pointer scope with dynamic bounds and explicit read/write lease release"	"adapter-backed after complete scope design; no provider body enabled"	"GETVDMPTR( vp, sizeof(DWORD)*3, lpdw );"
"WOW-TF-01-140"	"wow32/walias.c"	"140"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR( lpdw );"
"WOW-TF-03-176"	"wow32/walias.c"	"176"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"if (!CallBack16(RET_SUBCLASSPROC, &Parm16, (VPPROC)NULL,"
"WOW-TF-02-422"	"wow32/walias.c"	"422"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"ptd = CURRENTPTD();"
"WOW-TF-02-554"	"wow32/walias.c"	"554"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"ptd = CURRENTPTD();"
"WOW-TF-02-257"	"wow32/walloc16.c"	"257"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"ptd = CURRENTPTD();"
"WOW-TF-03-060"	"wow32/wcall16.c"	"60"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_LOCALALLOC, &Parm16, 0, &vp);"
"WOW-TF-03-083"	"wow32/wcall16.c"	"83"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_LOCALREALLOC, &Parm16, 0, &vp);"
"WOW-TF-03-104"	"wow32/wcall16.c"	"104"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_LOCALLOCK, &Parm16, 0, &vp);"
"WOW-TF-03-120"	"wow32/wcall16.c"	"120"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_LOCALUNLOCK, &Parm16, 0, &vp);"
