"worklist_id"	"lexical_name"	"declaration_path"	"source_form"	"call_abi_evidence"	"availability_or_guard_evidence"	"failure_or_result_evidence"	"package_prerequisite"	"owner_decision"	"recovery_state"	"notes"
"MVDM-WORK-00002"	"init_gen_drivers"	"softpc.new/base/inc/gendrvr.h"	"no-selected-provider-body-profile-guarded"	"softpc.new/base/inc/gendrvr.h:22 declares unprototyped void; reset.c:991 calls with no arguments"	"reset.c:990-992 is compiled only for GEN_DRVR or CDROM"	"void call; selected source records no provider-specific result or failure contract"	"select or exclude the optional generic-driver/CDROM package in build-profile ledger"	"unreviewed"	"unreviewed"	"Profile evidence is sufficient to avoid an invented adapter; implementation remains outside T276."
"MVDM-WORK-00003"	"host_validate_pathname"	"softpc.new/base/inc/host.h"	"no-selected-provider-body"	"softpc.new/base/inc/host.h:43 declares boolean host_validate_pathname(); nt_rflop.c:426 passes floppy_data device_name"	"nt_rflop.c:415-426 lies under #ifndef NTVDM"	"nt_rflop.c:426-430 maps false to host_strerror(errno), clears device_name, returns EG_MISSING_FILE"	"host floppy/path capability package plus adapter-win32 public path API review"	"unreviewed"	"unreviewed"	"Modern implementation must preserve boolean result and original EG_MISSING_FILE path, not substitute a generic exception."
"MVDM-WORK-00006"	"hunter_init"	"softpc.new/base/inc/hunter.h"	"no-selected-provider-body-profile-guarded"	"softpc.new/base/inc/hunter.h:611 declares unprototyped void; reset.c:1028 calls with no arguments"	"reset.c:1026-1029 is compiled only under HUNTER"	"void call; selected source records no result/failure channel"	"debug/Hunter profile decision before selecting any diagnostic package"	"unreviewed"	"unreviewed"	"No selected or upstream provider body was found; do not fabricate a runtime service merely to satisfy a guard-disabled call."
"MVDM-WORK-00007"	"do_hunter"	"softpc.new/base/inc/hunter.h"	"no-selected-provider-body-profile-guarded"	"softpc.new/base/inc/hunter.h:612 declares unprototyped void; timestrb.c:82 calls with no arguments"	"timestrb.c:80-83 is compiled only under HUNTER"	"void call; selected source records no result/failure channel"	"debug/Hunter profile decision before selecting any diagnostic package"	"unreviewed"	"unreviewed"	"The timer call is guarded; it is not evidence for a general session timer adapter."
"MVDM-WORK-00012"	"malloc"	"softpc.new/base/inc/standard.h"	"toolchain-runtime-import"	"softpc.new/base/inc/standard.h:83 declares char *malloc(); callers use historical unprototyped C form"	"no MVDM product guard; toolchain import occurs across selected packages"	"selected source does not define allocation failure semantics; it relies on the C runtime contract and callers' own null checks"	"x86/x64 CRT selection and historical pointer-width compatibility review"	"unreviewed"	"unreviewed"	"This is not an adapter-softpc interface and must remain a build-profile/toolchain decision."
"MVDM-WORK-00014"	"do_setSF"	"softpc.new/host/inc/host_cpu.h"	"no-selected-provider-body"	"host_cpu.h:484 declares void do_setSF(); nt_cprgs.c:1580-1584 passes unsigned int val"	"no selected source guard identifies a provider; caller is a SoftPC a2CPU setter wrapper"	"void call mutates CPU status; no source-visible failure return"	"adapter-softpc CPU-status compatibility contract and Bochs CPU-state mapping"	"unreviewed"	"unreviewed"	"The old unprototyped declaration must not be silently widened into a new public ABI."
"MVDM-WORK-00015"	"do_setOF"	"softpc.new/host/inc/host_cpu.h"	"no-selected-provider-body"	"host_cpu.h:485 declares void do_setOF(); nt_cprgs.c:1598-1602 passes unsigned int val"	"no selected source guard identifies a provider; caller is a SoftPC a2CPU setter wrapper"	"void call mutates CPU status; no source-visible failure return"	"adapter-softpc CPU-status compatibility contract and Bochs CPU-state mapping"	"unreviewed"	"unreviewed"	"The old unprototyped declaration must not be silently widened into a new public ABI."
"MVDM-WORK-00016"	"do_setPF"	"softpc.new/host/inc/host_cpu.h"	"no-selected-provider-body"	"host_cpu.h:486 declares void do_setPF(); nt_cprgs.c:1553-1561 passes unsigned int val"	"no selected source guard identifies a provider; caller is a SoftPC a2CPU setter wrapper"	"void call mutates CPU status; no source-visible failure return"	"adapter-softpc CPU-status compatibility contract and Bochs CPU-state mapping"	"unreviewed"	"unreviewed"	"The old unprototyped declaration must not be silently widened into a new public ABI."
"MVDM-WORK-00017"	"do_setZF"	"softpc.new/host/inc/host_cpu.h"	"no-selected-provider-body"	"host_cpu.h:487 declares void do_setZF(); nt_cprgs.c:1589-1593 passes unsigned int val"	"no selected source guard identifies a provider; caller is a SoftPC a2CPU setter wrapper"	"void call mutates CPU status; no source-visible failure return"	"adapter-softpc CPU-status compatibility contract and Bochs CPU-state mapping"	"unreviewed"	"unreviewed"	"The old unprototyped declaration must not be silently widened into a new public ABI."
"MVDM-WORK-00018"	"do_setCF"	"softpc.new/host/inc/host_cpu.h"	"no-selected-provider-body"	"host_cpu.h:488 declares void do_setCF(); nt_cprgs.c:1607-1611 passes unsigned int val"	"no selected source guard identifies a provider; caller is a SoftPC a2CPU setter wrapper"	"void call mutates CPU status; no source-visible failure return"	"adapter-softpc CPU-status compatibility contract and Bochs CPU-state mapping"	"unreviewed"	"unreviewed"	"The old unprototyped declaration must not be silently widened into a new public ABI."
"MVDM-WORK-00024"	"ReadMem"	"vdmexts/vdmexts.h"	"selected-callback-global"	"vdmexts/vdmexts.h:30 declares PWINDBG_READ_PROCESS_MEMORY_ROUTINE ReadMem; wow32/debug.c:80-86 assigns and invokes it"	"wow32/debug.c:80 selects callback only when fWinDbg; otherwise it calls ReadProcessMemory"	"callback result contract is defined by the external WINDBG extension type, not by the selected MVDM declaration"	"adapter-debugger WinDbg callback ABI and x86/x64 pointer/object-space review"	"unreviewed"	"unreviewed"	"Do not convert the callback global into a normal host-memory procedure."
"MVDM-WORK-00025"	"WriteMem"	"vdmexts/vdmexts.h"	"selected-callback-global"	"vdmexts/vdmexts.h:31 declares PWINDBG_WRITE_PROCESS_MEMORY_ROUTINE WriteMem; wow32/debug.c:88-94 assigns and invokes it"	"wow32/debug.c:88 selects callback only when fWinDbg; otherwise it calls WriteProcessMemory"	"callback result contract is defined by the external WINDBG extension type, not by the selected MVDM declaration"	"adapter-debugger WinDbg callback ABI and x86/x64 pointer/object-space review"	"unreviewed"	"unreviewed"	"Do not convert the callback global into a normal host-memory procedure."
