"interface_id"	"row_kind"	"caller_file_id"	"caller_path"	"caller_package"	"source_line"	"symbol"	"declaration_path"	"declaration_package"	"correlation"	"reachability_state"	"owner_state"	"abi_state"	"failure_state"	"evidence"
"MVDM-DECL-00001"	"lexical-declaration-candidate"	""	""	""	"6"	"Print"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00001"
"MVDM-DECL-00002"	"lexical-declaration-candidate"	""	""	""	"7"	"GetExpression"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00002"
"MVDM-DECL-00003"	"lexical-declaration-candidate"	""	""	""	"8"	"GetSymbol"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00003"
"MVDM-DECL-00004"	"lexical-declaration-candidate"	""	""	""	"9"	"Disassemble"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00004"
"MVDM-DECL-00005"	"lexical-declaration-candidate"	""	""	""	"10"	"CheckCtrlC"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00005"
"MVDM-DECL-00006"	"lexical-declaration-candidate"	""	""	""	"12"	"ReadProcessMemWinDbg"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00006"
"MVDM-DECL-00007"	"lexical-declaration-candidate"	""	""	""	"13"	"WriteProcessMemWinDbg"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00007"
"MVDM-DECL-00008"	"lexical-declaration-candidate"	""	""	""	"14"	"GetThreadContextWinDbg"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00008"
"MVDM-DECL-00009"	"lexical-declaration-candidate"	""	""	""	"15"	"SetThreadContextWinDbg"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00009"
"MVDM-DECL-00010"	"lexical-declaration-candidate"	""	""	""	"17"	"fWinDbg"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00010"
