candidate_id	caller_definition_id	caller_source_path	caller_source_sha256	caller_source_line	caller_symbol	callee_spelling	call_form	boundary
"MVDM-SECOND-CANDIDATE-000001"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"31"	"cmdCheckCopyForRedirection"	"ASSERT"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000002"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"55"	"cmdCheckCopyForRedirection"	"EnterCriticalSection"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000003"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"57"	"cmdCheckCopyForRedirection"	"WaitForSingleObject"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000004"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"58"	"cmdCheckCopyForRedirection"	"TerminateThread"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000005"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"59"	"cmdCheckCopyForRedirection"	"WaitForSingleObject"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000006"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"61"	"cmdCheckCopyForRedirection"	"LeaveCriticalSection"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000007"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"62"	"cmdCheckCopyForRedirection"	"CloseHandle"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000008"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"63"	"cmdCheckCopyForRedirection"	"CloseHandle"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000009"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"64"	"cmdCheckCopyForRedirection"	"CloseHandle"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000010"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"65"	"cmdCheckCopyForRedirection"	"CloseHandle"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000011"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"66"	"cmdCheckCopyForRedirection"	"DeleteCriticalSection"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000012"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"67"	"cmdCheckCopyForRedirection"	"DeleteFile"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000013"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"68"	"cmdCheckCopyForRedirection"	"free"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000014"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"69"	"cmdCheckCopyForRedirection"	"free"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
"MVDM-SECOND-CANDIDATE-000015"	"MVDM-FIRST-DEFINITION-000001"	"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"78"	"cmdCheckCopyForRedirection"	"SetEvent"	"direct-named-call"	"T294 records direct outgoing expression only; a later degree may inspect the callee body"
