"debt_id"	"adapter_owner"	"original_package_callers"	"original_declaration_evidence"	"missing_interface_or_family"	"required_historical_contract"	"permitted_mirror_change"	"modern_recovery_or_failure"	"successor"	"symbol_record_status"
"MVDM-DEBT-001"	"adapter-bop"	"softpc.new/host/src/nt_bop.c"	"softpc.new/host/inc/host_bop.h"	"CCPU #UD ingress and typed resume/stop transfer"	"copy a fixed-width frame; dispatch remains MVDM-owned; return only typed resume or controlled stop"	"include/import binding only"	"typed adapter-bochs/adapter-softpc endpoint; no selector recognition"	"T275 S3"	"family frozen; list each reached function before source enablement"
"MVDM-DEBT-002"	"adapter-softpc"	"dos/dem/demfile.c; dos/dem/demhndl.c; dos/dem/demsrch.c; dos/dem/demdasd.c"	"inc/softpc.h; softpc.new/base/inc/sas.h"	"CCPU register access and SAS guest span aliases"	"original register ordering and bounded synchronous guest span access"	"include/import binding only"	"same-shaped adapter-bochs call plus session checked lease"	"T275 S4"	"family frozen; list each reached function before source enablement"
"MVDM-DEBT-003"	"adapter-softpc"	"xms.486/xmsa20.c; xms.486/xmsumb.c; xms.486/xmsmemr.c"	"xms.486/xms.h; inc/softpc.h"	"A20, UMB and SAS memory seam"	"source-shaped A20 state and bounded guest memory operation"	"include/import binding only"	"same-shaped mechanical seam or explicit unavailable result; no XMS policy in adapter"	"later XMS owner package"	"family frozen; list each reached function before source enablement"
"MVDM-DEBT-004"	"adapter-win32"	"dos/dem/demdir.c; dos/dem/demfile.c; dos/dem/demgset.c; dos/dem/demsrch.c"	"inc/oemuni.h; inc/vdmredir.h"	"OEM path, file, directory and search host APIs"	"original conversion ordering, Win32 error mapping and unavailable behavior"	"include/import binding only"	"same-shaped public Win32 facade; monitor calls stay in monitor adapter"	"T275 S5"	"family frozen; list each reached function before source enablement"
"MVDM-DEBT-005"	"adapter-win32"	"dos/command/cmdenv.c; dos/command/cmdexec.c; dos/command/cmdconf.c; dos/command/cmdkeyb.c"	"inc/cmdsvc.h; inc/vdmtib.h"	"RTL, environment, OEM and local command exchange APIs"	"original conversion, environment, directory, status and command-record ordering"	"include/import binding only"	"same-shaped public Win32/session facade; BaseSrv coordination goes to broker"	"T275 S5 / T275 S8"	"family frozen; list each reached function before source enablement"
"MVDM-DEBT-006"	"adapter-win32"	"softpc.new/host/src/nt_error.c"	"softpc.new/host/inc/error.h"	"NTVDM host error-dialog surface"	"reason/reply ordering and VDM-session termination boundary"	"include/import binding only"	"public dialog subset; session controlled stop; no CSRSS placement"	"T275 S5"	"family frozen; list each reached function before source enablement"
"MVDM-DEBT-007"	"adapter-vdm-monitor"	"v86/monitor/i386/monitor.c; v86/monitor/i386/int.c; v86/monitor/i386/sas.c; ieuvddex/i386/vdmtib.c"	"inc/vdmtib.h; inc/v86def.h; sim32/sim32.h"	"NtVdmControl, VDM_TIB, V86 events and handler installation"	"same-sized records, handler ordering and deterministic unavailable response"	"include/import binding only"	"bound session context and public user-mode facilities; no kernel/CSRSS recreation"	"T275 S6"	"family frozen; list each reached function before source enablement"
"MVDM-DEBT-008"	"adapter-redir"	"vdmredir/vrdisp.c; vdmredir/vrinit.c; vdmredir/vrnmpipe.c; vdmredir/vrremote.c; vdmredir/vrnetapi.c"	"inc/vdmredir.h; inc/rdrsvc.h"	"Redirector control, remote and named-pipe interface family"	"original boundary and failure ordering without a substitute redirector"	"include/import binding only"	"public IPC/Win32 implementation where source-equivalent; otherwise explicit unavailable"	"T275 S7"	"family frozen; list each reached function before source enablement"
"MVDM-DEBT-009"	"adapter-wow"	"wow32 and wowexec packages"	"selected inc/wow*.h declarations"	"WOW host broker, callbacks and launch interfaces"	"original callback/launch shape and explicit unsupported subsystem behavior"	"include/import binding only"	"public process/event/console facilities where same-shaped; otherwise explicit unavailable"	"T275 S7"	"family frozen; list each reached function before source enablement"
"MVDM-DEBT-010"	"adapter-vdd"	"vdd packages; softpc.new/host VDD callbacks"	"selected VDD headers and host callback declarations"	"VDD registration, callback and host bridge"	"callback ABI and device/provider ownership separation"	"include/import binding only"	"bounded callback facade or explicit unavailable; device semantics remain Bochs-owned"	"T275 S7"	"family frozen; list each reached function before source enablement"
"MVDM-DEBT-011"	"adapter-debugger"	"bde; dbg; vdmdbg; vdmexts; reached diagnostic hooks"	"selected debugger headers and callback declarations"	"Debugger registration, notification and control"	"original boundary and deterministic unavailable behavior"	"include/import binding only"	"same-shaped facade or explicit unavailable; never a replacement debugger"	"T275 S7"	"family frozen; list each reached function before source enablement"
"MVDM-DEBT-012"	"broker"	"dos/command/cmdexec.c; dos/command/cmdexit.c; dos/command/cmdmisc.c; softpc.new/host/src/nt_thred.c"	"inc/vdmtib.h; historical thread declarations"	"CCPU worker and CSR/BaseSrv multi-VDM coordination"	"registration, copied command/completion notification, identity and disconnect cleanup"	"include/import binding only"	"fixed-width public IPC broker; no CCSR/BaseSrv/CCPU recreation"	"T275 S8"	"family frozen; list each reached function before source enablement"
