"interface_id"	"family"	"original_caller"	"original_declaration"	"historical_dependency"	"observable_contract"	"old_candidate_scope"	"source_first_disposition"	"failure_or_boundary"	"successor"
"ADAPTER-IF-001"	"bop-transport"	"softpc.new/host/src/nt_bop.c"	"softpc.new/host/inc/host_bop.h"	"CCPU exception ingress and register/IP advancement"	"copy fault frame, dispatch outside CPU, return typed resume or controlled stop"	"adapter-bop/{bop_ingress,frame_transaction,generic_ud_bridge}.*"	"split-recover in S2"	"no selector/service recognition; no guest-pointer retention; no Bochs type"	"T275 S2"
"ADAPTER-IF-002"	"softpc-ccpu-sas"	"dos/dem/{demfile,demhndl,demsrch,demdasd}.c"	"inc/softpc.h; softpc.new/base/inc/sas.h"	"process-global CCPU registers and SAS guest-address aliases"	"same-shaped register read/write and bounded guest span access during one source call"	"adapter-softpc/{ccpu_frame_context,guest_pointer_manager,guest_range,guest_read_action,guest_write_abi,dem/ccpu_sas_facade,dem/direct_context}.*"	"split-recover in S3"	"session mapping lease required; no raw pointer crosses component boundary"	"T275 S3"
"ADAPTER-IF-003"	"softpc-ccpu-sas"	"softpc.new/base/ccpu386/{c_getset,c_main,c_intr,c_stack,c_xcptn}.c"	"softpc.new/base/inc/{cpu3,cpu4,sas}.h"	"SoftPC CCPU execution engine"	"CPU execution and native interrupt semantics"	"adapter-softpc/{machine_engine,machine_composition,machine_stage,finite_run,machine_profile_abi}.*"	"retire-as-non-adapter-machine-shell"	"Bochs execution belongs to adapter-bochs; no SoftPC CPU body is recovered"	"T273 closed foundation / later machine profile admission"
"ADAPTER-IF-004"	"softpc-ccpu-sas"	"xms.486/{xmsa20,xmsumb,xmsmemr}.c"	"xms.486/xms.h; inc/softpc.h"	"SAS A20, UMB and guest memory access"	"source-shaped A20 state and bounded guest-memory operations"	"adapter-softpc/{a20_capability,opennt_xms_softpc_facade,ordinary_ram_reservation,softpc_memory_size_shim}.*"	"defer to XMS owner after S3 base mapping facade"	"do not add XMS policy to generic adapter; unavailable machine seam must fail deterministically"	"queued XMS owner package"
"ADAPTER-IF-005"	"softpc-ccpu-sas"	"softpc.new/host/src/{nt_lpt,nt_mouse,nt_timer,nt_umb}.c"	"softpc.new/host/inc/{host_def,nt_uis}.h"	"product device/port/state shell"	"device-specific host callback semantics"	"adapter-softpc/{physical_irq,port_action,spckbd_handoff_shim,softpc_mouse_vector_shim,softpc_printer_openclose_shim,softpc_tape_io_shim}.*"	"defer by original device owner"	"no generic device policy and no OpenNT/DOS meaning in adapter-bochs"	"machine/VDD/debugger owner packages"
"ADAPTER-IF-006"	"softpc-ccpu-sas"	"none: project diagnostics only"	"none"	"none"	"instruction/segment/physical-write trace observation"	"adapter-softpc/{instruction_history,instruction_window_abi,segment_access_observation,software_interrupt_observation,physical_write_observation,ivt_watch,first_fault_observation,interrupt_return_observation}.*"	"retire from production recovery"	"diagnostic evidence is not a historical adapter ABI"	"docs/etc evidence or a separately admitted diagnostic facility"
"ADAPTER-IF-007"	"win32-ntdll"	"dos/dem/{demdir,demfile,demgset,demsrch}.c"	"inc/{oemuni,vdmredir}.h"	"NTVDM OEM path/file/search and NtVdmControl helpers"	"original names, ANSI/OEM conversion order, Win32 last-error and explicit unsupported result"	"adapter-win32/facade/{opennt_dem_oem,opennt_dem_file_oem,opennt_dem_gset,opennt_dem_search,demfile_create_observation}.*"	"recover only reached source-shaped facades in S4"	"public Win32 replacement only; `NtVdmControl` remains explicit unavailable unless monitor facade admits it"	"T275 S4"
"ADAPTER-IF-008"	"win32-ntdll"	"dos/command/{cmdenv,cmdexec,cmdconf,cmdkeyb}.c"	"inc/{cmdsvc,vdmtib}.h"	"NT RTL/environment/OEM/keyboard and BaseSrv command exchange"	"original conversion, environment, current-directory, status and command-record ordering"	"adapter-win32/facade/{opennt_rtl_compat,opennt_command_oem,opennt_vdm_api}.*"	"recover only local public-API/session-shaped calls in S4"	"BaseSrv/CSR broker is not silently emulated; external/multi-VDM paths remain broker disposition"	"T275 S4 and S6"
"ADAPTER-IF-009"	"win32-ntdll"	"softpc.new/host/src/nt_error.c"	"softpc.new/host/inc/error.h"	"NTVDM resource/error dialog product surface"	"reason/reply ordering and VDM-session termination boundary"	"adapter-win32/facade/opennt_error_dialog_facade.*"	"recover public-dialog subset in S4"	"no process termination and no CSRSS window placement"	"T275 S4"
"ADAPTER-IF-010"	"vdm-monitor"	"v86/monitor/i386/{monitor,int,sas}.c; ieuvddex/i386/vdmtib.c"	"inc/{vdmtib,v86def}.h; sim32/sim32.h"	"NtVdmControl, VDM_TIB, V86 event/handler family"	"same-sized fixed-width records, handler disposition and deterministic unavailable response"	"none"	"define complete disposition family in S5 before implementation"	"no kernel/private NtVdmControl recreation; no local resource or Bochs object in ABI"	"T275 S5"
"ADAPTER-IF-011"	"broker"	"dos/command/{cmdexec,cmdexit,cmdmisc}.c"	"inc/vdmtib.h; softpc.new/host/src/nt_thred.c"	"CCPU worker and CSR/BaseSrv multi-VDM coordination"	"registration, copied command/completion notification, identity and disconnect cleanup"	"none"	"new minimal public-IPC implementation only after exact interface ledger"	"one imported MVDM host context per process; no CCSR/BaseSrv/CCPU recreation and no native handle/pointer transport"	"T275 S6"
