"candidate_id"	"source_package_root"	"direct_selected_mvdm_callers"	"original_service_boundary"	"retained_source_value"	"outgoing_closure"	"final_disposition"	"target_owner"	"binding_or_stop_owner"	"current_reversion_candidates"	"evidence"
"OPENNT-BOUNDARY-0001"	"base/win32/server + base/win32/client Base VDM vertical slice"	"dos/command/{cmdexec,cmdmisc}.c; softpc.new/host/src/{config,nt_msscs,nt_term,nt_reset,nt_event}.c; v86/scaffold/i386/{softpc,fakekbd}.c; wow32/{wkman,wow32}.c"	"VDMINFO command lifecycle, capacity/re-entry, DOS/WOW records and wait/wake ordering"	"substantial original server/client state machine"	"private CSR client/server capture, process context and event-pair operations; public event/process APIs can support a bounded same-shaped adapter"	"accepted-required-slice; full-file evidence mirrors must be reduced/proven before runtime selection"	"opennt-host/base/win32"	"adapter-opennt-host; adapter-mvdm-host-out/win32 where exact RTL facade exists"	"app/command_source.c; adapter-mvdm-host-out/monitor/source/vdm_command.c"	"m0-t291-s5-p5-base-vdm-vertical-slice-audit-001.md; OpenNT base/win32/server/srvvdm.c; base/win32/client/vdm.c"
"OPENNT-BOUNDARY-0002"	"base/ntdll CSR client transport (csrutil.c, csrtask.c)"	"indirect through base/win32/client/vdm.c and wow32/wow32.c"	"CSR capture buffers, client port dispatch and TEB/PEB-bound request transport"	"capture-layout/copy/cleanup fragment in csrutil.c is eligible only as a source-derived adapter fragment; port/TEB/heap transport is not"	"requires NT4 CSR port, process connection and private NTDLL state; selected capture fragment closes through copied records and session mappings"	"rejected-not-host-runtime; selected adapter fragment candidate"	"none"	"adapter-opennt-host capture-layout fragment; no CSR transport"	"none; current code remains until OPENNT-BOUNDARY-0001 interface closure"	"adapter-source-reuse-at-stopping-boundaries-001.md; OpenNT base/ntdll/csrutil.c; public/sdk/inc/ntcsrdll.h"
"OPENNT-BOUNDARY-0003"	"base/subsys/csr/server (csrsrv)"	"indirect through base/win32/server/srvvdm.c"	"CSRSS process/thread database, API dispatch, LPC/session lifecycle"	"wait.c ordering is eligible only as a source-derived broker/adapter fragment; process/thread database and dispatch are not"	"requires CSRSS executable hosting and NT4 subsystem internals; selected wait fragment closes through copied broker/session records and public events"	"rejected-not-host-runtime; selected wait-order fragment candidate"	"none"	"broker or adapter-opennt-host bounded wait-order fragment; never process.c/CSRSS"	"none"	"adapter-source-reuse-at-stopping-boundaries-001.md; OpenNT base/subsys/csr/server/wait.c; process.c"
"OPENNT-BOUNDARY-0004"	"base/ntos/vdm"	"dpmi32/dpmiint.c; monitor/NtVdmControl callers"	"kernel NtVdmControl, VDM_TIB and V86 event control"	"kernel-only implementation; declarations remain useful"	"requires NT kernel VDM facilities unavailable to an application"	"rejected-not-host-runtime"	"mvdm-platform-abi declarations only"	"adapter-mvdm-host-out/monitor"	"existing monitor facade remains source-shaped candidate, not a package reversion"	"OpenNT base/ntos/vdm/vdm.c; x86/vdmentry.c; public/internal/base/inc/vdm.h"
"OPENNT-BOUNDARY-0005"	"base/win32/client full BaseClient / Kernel32 product"	"indirect through VDM client slice only"	"general Win32 client process/thread/file/console product"	"the VDM functions are already isolated by OPENNT-BOUNDARY-0001; the rest is not a direct MVDM service package"	"expands into Kernel32 process, console, loader and CSR product dependencies"	"rejected-except-selected-vdm-slice"	"none beyond opennt-host/base/win32 client/vdm.c"	"adapter-win32/adapter-opennt-host per reached interface"	"none"	"OpenNT base/win32/client/sources; vdm.c"
"OPENNT-BOUNDARY-0006"	"base/win32/server full BaseSrv product"	"indirect through Base VDM service vertical slice only"	"general Base API server dispatch, process, NLS, INI, access and VDM operations"	"the VDM server body is isolated by OPENNT-BOUNDARY-0001; unrelated server services do not improve MVDM closure"	"links csrsrv.lib and general BaseSrv service units"	"rejected-except-selected-vdm-slice"	"none beyond opennt-host/base/win32 server/srvvdm.c"	"adapter-opennt-host only for reached VDM-service boundary"	"none"	"OpenNT base/win32/server/sources; srvinit.c; srvvdm.c"
"OPENNT-BOUNDARY-0007"	"public/internal/base/inc and base/win32/inc VDM declarations"	"all selected MVDM packages including COMMAND, WOW, monitor and DPMI"	"VDM API/messages/layout declarations"	"exact declarations are required to retain source ABI"	"declaration-only; no executable outgoing closure"	"accepted-declaration-only"	"mvdm-platform-abi and opennt-host package-local exact headers"	"none"	"none"	"OpenNT public/internal/base/inc/vdmapi.h, vdm.h; base/win32/inc/base.h, basevdm.h, basemsg.h"
"OPENNT-BOUNDARY-0008"	"private/ntos/w32/ntgdi and USER/GDI server packages"	"wow32 and fax build metadata / graphics-specific branches"	"private graphics/window-server product services"	"no bounded standalone VDM service identified"	"requires Win32k/CSRSS graphics server internals"	"rejected-not-host-runtime"	"none"	"adapter-mvdm-host-out/wow or public modern USER/GDI only when a reached owner package admits it"	"none"	"OpenNT base/mvdm/wow32/sources; fax/wowfax/sources"
"OPENNT-BOUNDARY-0009"	"com/ole32/olethunk + com/oleaut32"	"wow32/{wole2.c,wcall16.c,wcall32.c,walias.c}"	"WOW OLE thunk and automation client behavior"	"possible original thunk algorithms; public COM/OLE APIs alone may not preserve all WOW contracts"	"public COM/OLE; historical USER/CSR/OLE product paths"	"candidate-pending-stage-two-BFS"	"undecided"	"adapter-opennt-host only after exact original OLE package slice and finite closure are proven"	"current WOW OLE shims/routes, if any, must be audited before replacement"	"opennt-non-mvdm-dependency-bfs-ledger.tsv:OPENNT-BFS-0023"
"OPENNT-BOUNDARY-0010"	"net/sockets/winsock2"	"wow32/{winsockp.h,wsdata.c,wsext.c,wsraw.c}"	"WOW Winsock thunk table and provider calls"	"possible source-shaped thunk/table behavior"	"public Winsock APIs; possible provider/catalog product dependencies"	"candidate-pending-stage-two-BFS"	"undecided"	"adapter-opennt-host or adapter-win32 only after reached exports and provider closure are proven"	"current WOW socket routes must be audited before replacement"	"opennt-non-mvdm-dependency-bfs-ledger.tsv:OPENNT-BFS-0024"
