"family_id"	"owner_package"	"original_interface_family"	"source_proven_callers"	"original_contract"	"boundary_owners"	"mapping_instance"	"final_s1_disposition"	"source_evidence"
"WOW32-IF-01"	"wow32"	"GETVDMPTR / FREEVDMPTR synchronous guest range access"	"wstruc.c; wcall16.c; wmsg16.c; wkman.c; wkfileio.c; wuser.c; wgdi31.c; wow32fax.c"	"Resolve a numeric VDM address for a bounded synchronous conversion/callback operation, then release the mapping before control escapes."	"adapter-mvdm-host-out/softpc -> session"	"session.guest_memory"	"same-shaped facade required; no raw process pointer or durable guest pointer"	"source calls to GETVDMPTR/FREEVDMPTR in listed original bodies"
"WOW32-IF-02"	"wow32"	"CallBack16 and VDMFRAME continuation"	"wcall16.c; wcall32.c; walias.c; wdde.c; wgfont.c; wgmeta.c; wowhooks.c; wkman.c; wutmr.c; wuwind.c"	"Marshal an original parameter frame, enter a Win16 callback, and restore the historical return/continuation state."	"adapter-mvdm-host-out/softpc -> adapter-mvdm-host-out/monitor -> session"	"session.guest_memory"	"same-shaped monitor/callback facade required; no standalone WOW callback scheduler"	"CallBack16 definition at wow32/wcall16.c and source call sites"
"WOW32-IF-03"	"wow32"	"Sim32GetVDMPointer / GetVDMAddr monitor memory access"	"wow32.c"	"Obtain monitor-visible VDM memory for initialization, validation and BIOS-data access."	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"session.guest_memory"	"historical monitor facade required; direct Sim32 or host pointer implementation excluded"	"wow32/wow32.c comments and calls near Sim32GetVDMPointer/GetVDMAddr"
"WOW32-IF-04"	"wow32"	"VDD DOS-handle and file/pipe association services"	"wkfileio.c"	"Translate a DOS SFT/JFT handle to a native file endpoint, perform original file/pipe operation, and associate the resulting handle back with DOS state."	"adapter-mvdm-host-out/monitor -> session"	"session.guest_memory; session.host_resource"	"same-shaped VDD facade required; Redirector protocol remains separately package-owned"	"VDDRetrieveNtHandle; VDDAllocateDosHandle; VDDAssociateNtHandle calls in wow32/wkfileio.c"
"WOW32-IF-05"	"wow32"	"Private USER/GDI WOW words and gdi32p/user32p coupling"	"walias.c; wcall32.c; wsubcls.c; wuser.c; wgdi.c; wow32/sources"	"Store/retrieve WOW-specific class/window words and preserve 16/32 object alias behavior around USER/GDI operations."	"adapter-mvdm-host-out/wow"	"session.guest_memory; session.host_resource"	"private historical API requires explicit adapter-mvdm-host-out/wow compatibility assessment; public Win32 lookalikes are not presumed equivalent"	"GWL/GCL_WOW macros and private API comments in walias.c; gdi32p/user32p links in wow32/sources"
"WOW32-IF-06"	"wow32"	"NT4 monitor/process/thread and TEB/PEB product-shell interfaces"	"wow32.c; wcall16.c; wkman.c; wole2.c"	"Coordinate historical monitor thread state, process/thread query, debugger and task lifecycle with the NTVDM product shell."	"adapter-mvdm-host-out/monitor; session; broker"	"broker copied IDs"	"same-shaped modern facade only after per-call ABI/failure audit; CSRSS/BaseSrv or kernel VDM reconstruction is excluded"	"NtCurrentTeb/NtCurrentPeb/NtQueryInformation* calls in listed original bodies"
"WOW32-IF-07"	"wow32"	"Public Windows shell, registry, dialog, spooler and serial integration"	"wkernel.c; wshell.c; wcommdlg.c; wspool.c; wucomm.c; wow32fax.c"	"Invoke the original Win16-to-host service conversion while retaining the original parameter, error and conversion order."	"adapter-mvdm-host-out/win32"	"session.guest_memory; session.host_resource"	"public API may be used directly only after contract match; unavailable/deprecated form needs same-shaped adapter-mvdm-host-out/win32 facade"	"winreg.h, winspool.h, ntddser.h and public link inputs in original sources/sources"
"WOW32-IF-08"	"wow32"	"Multimedia and network provider/thunk interfaces"	"wsman.c; wmmedia.c; wmmedia1.c; wmmedia2.c; wmmstruc.c; wmmstru1.c; wmmstru2.c; wmmalias.c; wsdata.c; wsext.c; wsraw.c"	"Convert Win16 multimedia/socket data and native provider identities while preserving callback and error ordering."	"adapter-mvdm-host-out/wow; adapter-mvdm-host-out/win32"	"session.host_resource"	"whole subdomain remains package prerequisite; no isolated replacement thunk"	"original source headers and WMM/Winsock provider source set in wow32/sources"
"WOW32-IF-09"	"wow32"	"WOW task creation, environment, DOS current-directory and cross-process handoff"	"wkman.c; wdos.c; wkfileio.c; wkgthunk.c"	"Maintain original task/command/environment/current-directory ordering while invoking host lifecycle or file behavior."	"session; broker; adapter-mvdm-host-out/win32; adapter-mvdm-host-out/monitor"	"session.guest_memory; session.host_resource; broker copied IDs"	"requires source-shaped session/broker composition; no ad-hoc process-global lifecycle rewrite"	"WOWINFO, GetNextVDMCommand, VDD file services and DOS current-directory source forms in listed bodies"
"FAX-IF-01"	"fax"	"NT4 GDI graphics-engine driver (DDI)"	"fax/wowfax/wowfax.c"	"Register DrvFnTab and execute printer rendering in the historical graphics-engine/CSRSS context."	"adapter-mvdm-host-out/wow"	"session.host_resource"	"Private GDI product-shell prerequisite; no user-mode replacement or driver body admitted by this audit."	"wowfax.c header; DrvFnTab; wowfax/sources TARGETTYPE=GDI_DRIVER and NTGDIK defines"
